LU_ID_L1,LU_ID_L2,LU_ID_L3,LU_CODE,LU_DES_TH,LU_DES_EN,,,,"LU 1101: available=187474, sampled=5000", ตัวเมืองและย่านการค้า,LU_Code,Crop,
1,11,1101,U101, ตัวเมืองและย่านการค้า,"City, Town, Commercial",,,,"LU 1200: available=7676, sampled=5000",หมู่บ้าน/ที่ดินจัดสรรร้าง,2101,นาข้าว,Active paddy field
1,12,1200,U200,หมู่บ้าน/ที่ดินจัดสรรร้าง,Abandoned village,,,,"LU 1201: available=1074665, sampled=5000",หมู่บ้านบนพื้นราบ,2204,มันสำปะหลัง  ,Cassava
1,12,1201,U201      ,หมู่บ้านบนพื้นราบ,Village,,,,"LU 1301: available=447228, sampled=5000",สถานที่ราชการและสถาบันต่าง ๆ,2205,สับปะรด  ,Pineapple
1,12,1202,U202,หมู่บ้านชาวไทยภูเขา  ,Hill tribe village,,,,"LU 1401: available=75027, sampled=5000",สนามบิน,2302,ยางพารา  ,Para rubber
1,12,1203,U203,หมู่บ้านชาวเล,Moken village,,,,"LU 1404: available=385, sampled=385",ท่าเรือ,2303,ปาล์มน้ำมัน  ,Oil palm
1,13,1300,U300,สถานที่ราชการและสถาบันต่าง ๆ ร้าง,Abandoned institutional land,,,,"LU 1405: available=3652, sampled=3652",ถนน,2403,ทุเรียน  ,Durian
1,13,1301,U301,สถานที่ราชการและสถาบันต่าง ๆ,Institutional land,,,,"LU 1500: available=2657, sampled=2657",พื้นที่อุตสาหกรรมร้าง ,2404,เงาะ  ,Rambutan
1,14,1400,U400,สถานีคมนาคมร้าง,Abandoned communication and utility,,,,"LU 1501: available=840502, sampled=5000",นิคมอุตสาหกรรม ,2405,มะพร้าว   ,Coconut
1,14,1401,U401,สนามบิน,Airport,,,,"LU 1502: available=499099, sampled=5000",โรงงานอุตสาหกรรม  ,2407,มะม่วง  ,Mango
1,14,1402,U402 ,สถานีรถไฟ  ,Railway station,,,,"LU 1503: available=1829, sampled=1829",ลานตากและแหล่งรับซื้อทางการเกษตร,2413,ลำไย   ,Longan
1,14,1403,U403,สถานีขนส่ง  ,Bus station,,,,"LU 1600: available=3606, sampled=3606",สถานที่ร้าง ,2416,ขนุน  ,Jack fruit
1,14,1404,U404 ,ท่าเรือ,Harbor,,,,"LU 1601: available=27452, sampled=5000",สถานที่พักผ่อนหย่อนใจ ,2419,มังคุด  ,Mangosteen
1,14,1405,U405,ถนน,Road,,,,"LU 1602: available=44690, sampled=5000",รีสอร์ท โรงแรม เกสต์เฮ้าส์,2420,ลางสาด ลองกอง ,Langsat
