,precision,recall,f1-score,support,train_unique_support,train_final_support,test_support
2101,0.6307271963009667,0.8336111111111111,0.7181143814309644,3600.0,16800,16800,3600
2204,0.4572262773722628,0.435,0.44583629893238436,3600.0,16800,16800,3600
2205,0.524008350730689,0.5577777777777778,0.5403659849300323,3600.0,16800,16800,3600
2302,0.6134810275748291,0.7230555555555556,0.6637766160907815,3600.0,16800,16800,3600
2303,0.6187175043327556,0.595,0.6066270178419712,3600.0,16800,16800,3600
2403,0.3694745621351126,0.36916666666666664,0.3693205502292622,3600.0,16800,16800,3600
2404,0.3714821763602251,0.25647668393782386,0.30344827586206896,772.0,3603,6000,772
2405,0.49469964664310956,0.2229299363057325,0.30735455543358947,1256.0,5859,6000,1256
2407,0.5373242850218128,0.6158333333333333,0.5739062904478385,3600.0,16800,16800,3600
2413,0.47297297297297297,0.38704581358609796,0.4257167680278019,2532.0,11815,11815,2532
2416,0.39465875370919884,0.36944444444444446,0.381635581061693,3600.0,16800,16800,3600
2419,0.47776073619631904,0.2677266867211001,0.3431561553291104,2327.0,10860,10860,2327
2420,0.23493044822256567,0.6129032258064516,0.3396648044692737,248.0,1159,6000,248
accuracy,0.5128426325309586,0.5128426325309586,0.5128426325309586,0.5128426325309586,,,
macro avg,0.47672799519790926,0.48045932578816114,0.46299409846821316,35935.0,,,
weighted avg,0.5064681005712787,0.5128426325309586,0.5025594347480021,35935.0,,,
