LU_CODE,count,F0_mean,F0_median,F1_mean,F1_median,F2_mean,F2_median,F3_mean,F3_median,F4_mean,F4_median,F5_mean,F5_median,F6_mean,F6_median,F7_mean,F7_median,F8_mean,F8_median,F9_mean,F9_median,F10_mean,F10_median,F11_mean,F11_median,F12_mean,F12_median,F13_mean,F13_median,F14_mean,F14_median,F15_mean,F15_median,F16_mean,F16_median,F17_mean,F17_median,F18_mean,F18_median,F19_mean,F19_median,F20_mean,F20_median,F21_mean,F21_median,F22_mean,F22_median,F23_mean,F23_median,F24_mean,F24_median,F25_mean,F25_median,F26_mean,F26_median,F27_mean,F27_median,F28_mean,F28_median,F29_mean,F29_median,F30_mean,F30_median,F31_mean,F31_median,F32_mean,F32_median,F33_mean,F33_median,F34_mean,F34_median
2101,204017,-0.1746559590101242,-0.17636887729167938,-0.13275159895420074,-0.11518324911594391,-0.3379438817501068,-0.35281676054000854,-0.23173396289348602,-0.23642440140247345,-0.14139887690544128,-0.12946754693984985,0.5205950736999512,0.587890625,0.45509734749794006,0.564697265625,0.7085866928100586,0.7735595703125,0.6737470626831055,0.719482421875,0.6362462639808655,0.66357421875,-0.2717287838459015,-0.27943113446235657,-0.21367979049682617,-0.21833862364292145,-0.474168598651886,-0.4942651391029358,-0.3559761941432953,-0.3716683089733124,-0.24347762763500214,-0.24520818889141083,0.3820028305053711,0.4163326621055603,0.3426963984966278,0.39340659976005554,0.5812659859657288,0.630723774433136,0.5309450030326843,0.5617585778236389,0.4884423315525055,0.4965266287326813,-0.34563344717025757,-0.38543248176574707,-0.3229147791862488,-0.3819107115268707,-0.507136881351471,-0.5458663702011108,-0.5050755739212036,-0.5254597067832947,-0.48862650990486145,-0.5006242394447327,0.49563661217689514,0.4839710593223572,0.4341396391391754,0.4642857015132904,0.34732353687286377,0.3336887061595917,0.4909873604774475,0.45554035902023315,0.6485002040863037,0.6060848832130432,-0.31380167603492737,-0.3309771418571472,-0.2533390522003174,-0.2795180678367615,-0.5112228989601135,-0.5317997336387634,-0.3994327783584595,-0.4162886142730713,-0.2959546744823456,-0.3017638027667999
2204,643831,-0.12743815779685974,-0.08789461851119995,-0.1683967113494873,-0.1520327925682068,-0.31000038981437683,-0.3319334387779236,-0.2336287647485733,-0.2506004869937897,-0.13386070728302002,-0.12185633182525635,0.5022275447845459,0.5634765625,0.5674266815185547,0.64990234375,0.7706901431083679,0.816650390625,0.7196189165115356,0.775146484375,0.653202474117279,0.698974609375,-0.2064967304468155,-0.16935305297374725,-0.2601141035556793,-0.2583162188529968,-0.41234976053237915,-0.4354638159275055,-0.3300004005432129,-0.35169491171836853,-0.220759317278862,-0.21278825402259827,0.37176644802093506,0.3922101557254791,0.44068577885627747,0.48152634501457214,0.6471227407455444,0.6900584697723389,0.5890297293663025,0.6328257322311401,0.510371744632721,0.5372750759124756,-0.3659571409225464,-0.39656195044517517,-0.42899972200393677,-0.4712841510772705,-0.6006556153297424,-0.6238378882408142,-0.56767737865448,-0.5937601327896118,-0.5196899771690369,-0.5389105081558228,0.5738111734390259,0.5842600464820862,0.5111479759216309,0.5041031837463379,0.4324067234992981,0.3913595974445343,0.5367777943611145,0.47891420125961304,0.6838883757591248,0.6486161351203918,-0.24449248611927032,-0.2185911387205124,-0.300246924161911,-0.3073893189430237,-0.44826841354370117,-0.4718835949897766,-0.36545276641845703,-0.3884720206260681,-0.26242825388908386,-0.2585345506668091
2205,568354,-0.21461018919944763,-0.2090451717376709,-0.22407056391239166,-0.22620633244514465,-0.34851542115211487,-0.37120020389556885,-0.28845667839050293,-0.3046497702598572,-0.23026679456233978,-0.23751699924468994,0.552165687084198,0.62744140625,0.5865265727043152,0.67529296875,0.7691890001296997,0.814453125,0.7316713333129883,0.786865234375,0.6874024868011475,0.741943359375,-0.3239026367664337,-0.3328455686569214,-0.3356899619102478,-0.35363534092903137,-0.46980413794517517,-0.4887557625770569,-0.4050045609474182,-0.4228760004043579,-0.3435315191745758,-0.3538232147693634,0.4223192632198334,0.4572603106498718,0.4594891369342804,0.5096418857574463,0.6435595750808716,0.6870498657226562,0.6031547784805298,0.6486138105392456,0.5489540696144104,0.589595377445221,-0.410468190908432,-0.44465935230255127,-0.4449963867664337,-0.49344608187675476,-0.603641152381897,-0.6244039535522461,-0.5851941704750061,-0.6082985401153564,-0.549250602722168,-0.5693037509918213,0.44287925958633423,0.3816869854927063,0.41783127188682556,0.3859042525291443,0.38557934761047363,0.34314867854118347,0.4634014964103699,0.4055944085121155,0.5378931164741516,0.47708994150161743,-0.35736218094825745,-0.3754027485847473,-0.37132883071899414,-0.39811521768569946,-0.5015621781349182,-0.5210912823677063,-0.43582117557525635,-0.4559764564037323,-0.3779427409172058,-0.3912774324417114
2302,10617006,-0.37671685218811035,-0.4464969336986542,-0.36953482031822205,-0.46953505277633667,-0.428381085395813,-0.4505782127380371,-0.4225378930568695,-0.44864413142204285,-0.3705976605415344,-0.40170592069625854,0.7018611431121826,0.7978515625,0.7201353907585144,0.8525390625,0.9026747941970825,0.88330078125,0.9316768646240234,0.897705078125,0.8853440284729004,0.871826171875,-0.4494227468967438,-0.560892641544342,-0.427921861410141,-0.5662156343460083,-0.4795140027999878,-0.5299999713897705,-0.4743829369544983,-0.5184151530265808,-0.43765896558761597,-0.4796502888202667,0.5685403943061829,0.663551390171051,0.6125075221061707,0.7430894374847412,0.7760166525840759,0.7910447716712952,0.8200842142105103,0.8144712448120117,0.7604726552963257,0.7728237509727478,-0.48119884729385376,-0.5564738512039185,-0.5102002620697021,-0.6339665055274963,-0.6064988970756531,-0.6929770112037659,-0.648415744304657,-0.7139761447906494,-0.6029365062713623,-0.6794150471687317,0.27227693796157837,0.2590782046318054,0.25220027565956116,0.25401461124420166,0.3073963224887848,0.3043762147426605,0.34279656410217285,0.31715717911720276,0.37880373001098633,0.3490949273109436,-0.4791249930858612,-0.5938882231712341,-0.46385109424591064,-0.6018989682197571,-0.5015159249305725,-0.5670102834701538,-0.49477526545524597,-0.5500372648239136,-0.46304312348365784,-0.5180668234825134
2303,258558,-0.4039807915687561,-0.46613404154777527,-0.36874711513519287,-0.4431704878807068,-0.4724816083908081,-0.48488378524780273,-0.46648067235946655,-0.4868432879447937,-0.4102211594581604,-0.4345889687538147,0.7407746315002441,0.81787109375,0.6902483105659485,0.83056640625,0.8604726791381836,0.888916015625,0.8690652251243591,0.90380859375,0.8307859897613525,0.871337890625,-0.5054957866668701,-0.5819013118743896,-0.4534730017185211,-0.5511982440948486,-0.5634758472442627,-0.5710642337799072,-0.5461027026176453,-0.5627850294113159,-0.499590128660202,-0.5231754779815674,0.6250540614128113,0.6918330192565918,0.5959247946739197,0.7104107141494751,0.7654121518135071,0.7998747229576111,0.7810306549072266,0.824443519115448,0.7258280515670776,0.7721211910247803,-0.5467838048934937,-0.5939127206802368,-0.5271818041801453,-0.6199104189872742,-0.6887378096580505,-0.7059437036514282,-0.7095177173614502,-0.7280359864234924,-0.6667934060096741,-0.6878612637519836,0.3008703291416168,0.24860191345214844,0.2654457092285156,0.24877451360225677,0.2881360352039337,0.2723625600337982,0.3138900697231293,0.27975040674209595,0.3571830987930298,0.31217464804649353,-0.5365551114082336,-0.6145257949829102,-0.4840054512023926,-0.5877999067306519,-0.5949482321739197,-0.6028709411621094,-0.5738607048988342,-0.5910798907279968,-0.5311548113822937,-0.5542535781860352
2403,251516,-0.2612762451171875,-0.3016931414604187,-0.23947562277317047,-0.2727571725845337,-0.3427301049232483,-0.3642629384994507,-0.3350379765033722,-0.3542953133583069,-0.3090478479862213,-0.33112582564353943,0.561276912689209,0.675537109375,0.5719678401947021,0.724853515625,0.7935932278633118,0.82763671875,0.8219385743141174,0.84619140625,0.8024027943611145,0.8349609375,-0.35382381081581116,-0.41264966130256653,-0.321541428565979,-0.38227295875549316,-0.44408702850341797,-0.4698938727378845,-0.42672500014305115,-0.448674738407135,-0.4009981155395508,-0.4265434443950653,0.4393695592880249,0.5101251602172852,0.46525833010673523,0.5684012770652771,0.6722086071968079,0.7058099508285522,0.7067099213600159,0.7333333492279053,0.6832141876220703,0.7167500853538513,-0.3824540674686432,-0.447826087474823,-0.4227186143398285,-0.5215744376182556,-0.6193513870239258,-0.6445177793502808,-0.6633976697921753,-0.6789319515228271,-0.6500555276870728,-0.6701765060424805,0.33005964756011963,0.3372093141078949,0.3250015079975128,0.3424142301082611,0.3816961348056793,0.35596799850463867,0.4161550998687744,0.3805408775806427,0.44230854511260986,0.4001513123512268,-0.3883476257324219,-0.45756304264068604,-0.35824981331825256,-0.43330806493759155,-0.4857453405857086,-0.5121076703071594,-0.4641661047935486,-0.4861111044883728,-0.44382625818252563,-0.4687145948410034
2404,3311,-0.27063608169555664,-0.3107520341873169,-0.1756439208984375,-0.041872814297676086,-0.36683619022369385,-0.396619588136673,-0.36137619614601135,-0.3860507905483246,-0.3417925536632538,-0.3633161783218384,0.5377295613288879,0.638427734375,0.39817342162132263,0.478759765625,0.8011314272880554,0.8427734375,0.8311377167701721,0.858154296875,0.8139535784721375,0.845947265625,-0.3754064738750458,-0.419676810503006,-0.23356513679027557,-0.12778827548027039,-0.46696794033050537,-0.5,-0.4527125060558319,-0.4771929681301117,-0.4364839196205139,-0.45902901887893677,0.41687822341918945,0.4690000116825104,0.32271087169647217,0.31464511156082153,0.6842401027679443,0.7281191945075989,0.7204524874687195,0.7516802549362183,0.7006507515907288,0.7328903675079346,-0.3534461557865143,-0.41415661573410034,-0.2872105538845062,-0.34181034564971924,-0.6180651187896729,-0.6488339900970459,-0.6640284061431885,-0.6813211441040039,-0.6523000001907349,-0.6705762147903442,0.3086278438568115,0.30460450053215027,0.22848540544509888,0.23715847730636597,0.36068376898765564,0.3295901119709015,0.38895487785339355,0.35391923785209656,0.40684524178504944,0.3707692325115204,-0.4081285893917084,-0.4622601270675659,-0.2595032751560211,-0.1851523220539093,-0.507580041885376,-0.5413874983787537,-0.48873841762542725,-0.5127759575843811,-0.4792309105396271,-0.5005181431770325
2405,7800,-0.22710567712783813,-0.25583192706108093,-0.2620609998703003,-0.30468833446502686,-0.36614537239074707,-0.3907429575920105,-0.33283406496047974,-0.35127145051956177,-0.26924529671669006,-0.29390692710876465,0.539734959602356,0.680908203125,0.6556662917137146,0.76025390625,0.7977441549301147,0.828125,0.7929249405860901,0.823486328125,0.7511553764343262,0.7857666015625,-0.31505268812179565,-0.36844903230667114,-0.35618656873703003,-0.41771185398101807,-0.47506266832351685,-0.501801609992981,-0.43428143858909607,-0.4541293680667877,-0.3665710985660553,-0.3967931270599365,0.42567187547683716,0.5161622762680054,0.5371850728988647,0.6133304238319397,0.6765234470367432,0.7067110538482666,0.6708734631538391,0.6999621987342834,0.6170120239257812,0.6470915079116821,-0.3789472281932831,-0.46563804149627686,-0.4870641827583313,-0.5473062992095947,-0.6151793003082275,-0.6295533180236816,-0.6220738887786865,-0.6360198855400085,-0.5816161036491394,-0.5936468839645386,0.3334212899208069,0.35471439361572266,0.39493149518966675,0.3669891059398651,0.3671955168247223,0.3314492702484131,0.4112042784690857,0.3753499388694763,0.4889061450958252,0.43179482221603394,-0.3470156192779541,-0.4120320677757263,-0.394581139087677,-0.46187663078308105,-0.5108179450035095,-0.536783754825592,-0.46821150183677673,-0.48712486028671265,-0.40520137548446655,-0.43790167570114136
2407,45107,-0.2674744725227356,-0.2879432737827301,-0.24337129294872284,-0.26621514558792114,-0.3560469150543213,-0.37548789381980896,-0.3452323377132416,-0.3574846088886261,-0.2797456383705139,-0.2947867214679718,0.6235257983207703,0.70703125,0.6577548384666443,0.751220703125,0.8182457089424133,0.84033203125,0.8134257793426514,0.84033203125,0.7742144465446472,0.80224609375,-0.35954320430755615,-0.3909166753292084,-0.3322494924068451,-0.37055617570877075,-0.4505294859409332,-0.47419947385787964,-0.4362041652202606,-0.450801819562912,-0.36942076683044434,-0.3889816403388977,0.4926522672176361,0.5467328429222107,0.5368696451187134,0.6015056371688843,0.7014631628990173,0.7246291041374207,0.6962915658950806,0.7247706651687622,0.6429556608200073,0.6696781516075134,-0.421352356672287,-0.4731707274913788,-0.4820616543292999,-0.545393705368042,-0.6256915926933289,-0.6414927840232849,-0.6220138072967529,-0.6395165324211121,-0.588223397731781,-0.6044732332229614,0.3810329735279083,0.3856455981731415,0.41693419218063354,0.40539467334747314,0.3854380249977112,0.3552197813987732,0.4042148292064667,0.3775689899921417,0.4815889894962311,0.4397830069065094,-0.3964077830314636,-0.43393275141716003,-0.3739977777004242,-0.41982242465019226,-0.4883718192577362,-0.5107486844062805,-0.47153469920158386,-0.48632150888442993,-0.4098988473415375,-0.4301172196865082
2413,13060,-0.31691768765449524,-0.3668225407600403,-0.29798659682273865,-0.3531208634376526,-0.37130501866340637,-0.39528703689575195,-0.3826872408390045,-0.4242706298828125,-0.3262379467487335,-0.36522695422172546,0.654775083065033,0.74169921875,0.6430754065513611,0.7921142578125,0.8178141117095947,0.843017578125,0.8405067920684814,0.868896484375,0.7911500930786133,0.844482421875,-0.41727349162101746,-0.49348121881484985,-0.38420987129211426,-0.46864086389541626,-0.4716273546218872,-0.4989563524723053,-0.47310158610343933,-0.5169501304626465,-0.4167511463165283,-0.46114063262939453,0.5290669798851013,0.5895595550537109,0.5390758514404297,0.655747652053833,0.7003945112228394,0.7287638187408447,0.7330999970436096,0.7681368589401245,0.676983118057251,0.7309266328811646,-0.46273481845855713,-0.5159691572189331,-0.4829389154911041,-0.5840280055999756,-0.6376187205314636,-0.6566493511199951,-0.6739487648010254,-0.6895408630371094,-0.6366367340087891,-0.6705255508422852,0.3346598148345947,0.3036721348762512,0.3067757189273834,0.30753767490386963,0.3649485409259796,0.3332153558731079,0.37271273136138916,0.3184349536895752,0.4075756072998047,0.35822606086730957,-0.4523704946041107,-0.5339057445526123,-0.419906884431839,-0.5135475993156433,-0.5115517973899841,-0.5387800931930542,-0.5071457028388977,-0.5504672527313232,-0.4560719132423401,-0.5012236833572388
