,precision,recall,f1-score,support,train_unique_support,train_final_support,test_support
2403,0.6565765466909935,0.7539281973145415,0.7018928143978013,10501.0,48999,48999,10501
2404,0.13737373737373737,0.4892086330935252,0.21451104100946372,278.0,1301,20000,278
2407,0.7506985408258305,0.6533369359632532,0.6986420109794858,3701.0,17272,20000,3701
2413,0.37316715542521994,0.4387931034482759,0.40332805071315375,1160.0,5414,20000,1160
2416,0.6052631578947368,0.19155264723378942,0.2910076818798012,3362.0,15685,20000,3362
2419,0.28412874583795783,0.26283367556468173,0.2730666666666667,974.0,4542,20000,974
2420,0.14161220043572983,0.8024691358024691,0.24074074074074073,81.0,381,20000,81
accuracy,0.5955526748766017,0.5955526748766017,0.5955526748766017,0.5955526748766017,,,
macro avg,0.42126001206917224,0.5131603326315052,0.40331271519815903,20057.0,,,
weighted avg,0.6215892775193321,0.5955526748766017,0.5857097220256021,20057.0,,,
