,Stage,precision,recall,f1-score,support
economic_crops,Stage 1,0.2504619364375462,0.6993421901199536,0.36883099214312437,7753.0
water,Stage 1,0.48412698412698413,0.7726666666666666,0.5952747817154597,3000.0
others,Stage 1,0.8717043200619226,0.4956538482697915,0.631968434896975,36354.0
accuracy,Stage 1,0.5468189441059715,0.5468189441059715,0.5468189441059715,0.5468189441059715
macro avg,Stage 1,0.5354310802088177,0.6558875683521371,0.532024736251853,47107.0
weighted avg,Stage 1,0.7447757487658391,0.5468189441059715,0.5863237206673455,47107.0
ข้าว,Stage 2,0.5006839945280438,0.61,0.549962434259955,600.0
มันสำปะหลัง,Stage 2,0.26776859504132233,0.27,0.2688796680497925,600.0
สับปะรด,Stage 2,0.433931484502447,0.44333333333333336,0.4385820280296785,600.0
ยางพารา,Stage 2,0.4166666666666667,0.55,0.47413793103448276,600.0
ปาล์มน้ำมัน,Stage 2,0.4364123159303882,0.5433333333333333,0.4840386043058649,600.0
ทุเรียน,Stage 2,0.24005486968449932,0.2916666666666667,0.2633559066967645,600.0
เงาะ,Stage 2,0.32113821138211385,0.2633333333333333,0.2893772893772894,600.0
มะพร้าว,Stage 2,0.3048780487804878,0.25,0.27472527472527475,600.0
มะม่วง,Stage 2,0.34968354430379744,0.36833333333333335,0.3587662337662338,600.0
ลำไย,Stage 2,0.2914572864321608,0.09666666666666666,0.14518147684605756,600.0
ขนุน,Stage 2,0.22799097065462753,0.16833333333333333,0.19367209971236818,600.0
มังคุด,Stage 2,0.26666666666666666,0.23333333333333334,0.24888888888888888,600.0
ลางสาด/ลองกอง,Stage 2,0.3486370157819225,0.48893360160965793,0.40703517587939697,497.0
accuracy,Stage 2,0.3502663375341042,0.3502663375341042,0.3502663375341042,0.3502663375341042
macro avg,Stage 2,0.33892074387347265,0.3520974565340762,0.33820023165938823,7697.0
weighted avg,Stage 2,0.3387907223057748,0.3502663375341042,0.3372790936504678,7697.0
