LU_CODE,count,F0_mean,F0_median,F1_mean,F1_median,F2_mean,F2_median,F3_mean,F3_median,F4_mean,F4_median,F5_mean,F5_median,F6_mean,F6_median,F7_mean,F7_median,F8_mean,F8_median,F9_mean,F9_median,F10_mean,F10_median,F11_mean,F11_median,F12_mean,F12_median,F13_mean,F13_median,F14_mean,F14_median,F15_mean,F15_median,F16_mean,F16_median,F17_mean,F17_median,F18_mean,F18_median,F19_mean,F19_median,F20_mean,F20_median,F21_mean,F21_median,F22_mean,F22_median,F23_mean,F23_median,F24_mean,F24_median,F25_mean,F25_median,F26_mean,F26_median,F27_mean,F27_median,F28_mean,F28_median,F29_mean,F29_median,F30_mean,F30_median,F31_mean,F31_median,F32_mean,F32_median,F33_mean,F33_median,F34_mean,F34_median,F35_mean,F35_median,F36_mean,F36_median,F37_mean,F37_median,F38_mean,F38_median,F39_mean,F39_median,F40_mean,F40_median,F41_mean,F41_median,F42_mean,F42_median,F43_mean,F43_median,F44_mean,F44_median,F45_mean,F45_median,F46_mean,F46_median,F47_mean,F47_median,F48_mean,F48_median,F49_mean,F49_median,F50_mean,F50_median,F51_mean,F51_median,F52_mean,F52_median,F53_mean,F53_median,F54_mean,F54_median,F55_mean,F55_median,F56_mean,F56_median,F57_mean,F57_median,F58_mean,F58_median,F59_mean,F59_median,F60_mean,F60_median,F61_mean,F61_median,F62_mean,F62_median,F63_mean,F63_median,F64_mean,F64_median,F65_mean,F65_median,F66_mean,F66_median,F67_mean,F67_median,F68_mean,F68_median,F69_mean,F69_median,F70_mean,F70_median,F71_mean,F71_median,F72_mean,F72_median,F73_mean,F73_median,F74_mean,F74_median,F75_mean,F75_median,F76_mean,F76_median,F77_mean,F77_median,F78_mean,F78_median,F79_mean,F79_median,F80_mean,F80_median,F81_mean,F81_median,F82_mean,F82_median,F83_mean,F83_median,F84_mean,F84_median,F85_mean,F85_median,F86_mean,F86_median,F87_mean,F87_median,F88_mean,F88_median,F89_mean,F89_median,F90_mean,F90_median,F91_mean,F91_median,F92_mean,F92_median,F93_mean,F93_median,F94_mean,F94_median,F95_mean,F95_median,F96_mean,F96_median,F97_mean,F97_median,F98_mean,F98_median,F99_mean,F99_median,F100_mean,F100_median,F101_mean,F101_median,F102_mean,F102_median,F103_mean,F103_median,F104_mean,F104_median,F105_mean,F105_median,F106_mean,F106_median,F107_mean,F107_median,F108_mean,F108_median,F109_mean,F109_median,F110_mean,F110_median,F111_mean,F111_median,F112_mean,F112_median,F113_mean,F113_median,F114_mean,F114_median,F115_mean,F115_median,F116_mean,F116_median,F117_mean,F117_median,F118_mean,F118_median,F119_mean,F119_median,F120_mean,F120_median,F121_mean,F121_median,F122_mean,F122_median,F123_mean,F123_median,F124_mean,F124_median,F125_mean,F125_median,F126_mean,F126_median,F127_mean,F127_median,F128_mean,F128_median,F129_mean,F129_median,F130_mean,F130_median,F131_mean,F131_median,F132_mean,F132_median,F133_mean,F133_median
2101,107894,168.6986846923828,156.9672393798828,,,,,,,,,,,,,,,,,,,4.1306538581848145,3.8277881145477295,,,4.138099193572998,3.739022731781006,,,,,,,,,4.05609130859375,3.7401530742645264,,,3.973571300506592,3.647202491760254,,,9.220047950744629,6.158724784851074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5874316096305847,-0.5850704312324524,,,-0.5813391208648682,-0.5776182413101196,,,,,,,,,-0.5800576210021973,-0.5772755146026611,,,-0.5711526870727539,-0.5687456130981445,,,1.1617017984390259,0.7559678554534912,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,,,0.7948008179664612,0.5162417888641357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.637359619140625,-9.60538387298584,,,-9.848459243774414,-9.872596740722656,,,,,,,,,-10.149674415588379,-10.133155822753906,,,-10.382516860961914,-10.390386581420898,,,,,,,,,,,-15.596468925476074,-15.49281120300293,,,-15.755240440368652,-15.677465438842773,,,,,,,,,-16.017709732055664,-15.90739631652832,,,-16.143863677978516,-16.026477813720703,,,,,,,,,,,-5.959076881408691,-5.824275016784668,,,-5.906617164611816,-5.724817276000977,,,,,,,,,-5.868110179901123,-5.722550392150879,,,-5.761316299438477,-5.612198829650879,,
2204,488223,,,,,,,,,,,,,,,,,,,,,4.08382511138916,3.9562342166900635,,,3.687124252319336,3.5679945945739746,,,,,,,,,3.8876585960388184,3.7571914196014404,,,3.5859150886535645,3.4632959365844727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5921502709388733,-0.5958908200263977,,,-0.5579732060432434,-0.5618524551391602,,,,,,,,,-0.5757142305374146,-0.5789434313774109,,,-0.547953724861145,-0.5511634945869446,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.008376121520996,-9.076863288879395,,,-9.546357154846191,-9.648818969726562,,,,,,,,,-8.806828498840332,-8.832415580749512,,,-9.536541938781738,-9.632452964782715,,,,,,,,,,,-14.995478630065918,-15.02872085571289,,,-15.086272239685059,-15.149650573730469,,,,,,,,,-14.576359748840332,-14.567333221435547,,,-14.952215194702148,-14.992691040039062,,,,,,,,,,,-5.98684549331665,-5.9679365158081055,,,-5.5402045249938965,-5.521604061126709,,,,,,,,,-5.769527912139893,-5.743341445922852,,,-5.415388584136963,-5.388914108276367,,
2205,460961,,,,,,,,,,,,,,,,,,,,,3.9336581230163574,3.807750940322876,,,3.5873184204101562,3.4832651615142822,,,,,,,,,3.7462751865386963,3.6397218704223633,,,3.473212480545044,3.3692567348480225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5804929137229919,-0.5834482908248901,,,-0.5497667789459229,-0.5535812973976135,,,,,,,,,-0.5649932026863098,-0.5683108568191528,,,-0.538017213344574,-0.5415703058242798,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.971222400665283,-7.851051330566406,,,-8.31959056854248,-8.16604995727539,,,,,,,,,-7.556053638458252,-7.469788074493408,,,-8.231220245361328,-8.118631362915039,,,,,,,,,,,-13.799629211425781,-13.672800064086914,,,-13.750996589660645,-13.586986541748047,,,,,,,,,-13.17879581451416,-13.077836036682129,,,-13.518330574035645,-13.410896301269531,,,,,,,,,,,-5.828339099884033,-5.802170276641846,,,-5.431292533874512,-5.417322158813477,,,,,,,,,-5.622745513916016,-5.605495929718018,,,-5.28671932220459,-5.269705295562744,,
2302,8906245,,,,,,,,,,,,,,,,,,,,,4.54624605178833,4.455883979797363,,,4.104982376098633,3.9823503494262695,,,,,,,,,4.4817657470703125,4.386889457702637,,,3.9994094371795654,3.8767282962799072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6020087003707886,-0.6329169869422913,,,-0.572474479675293,-0.5983157157897949,,,,,,,,,-0.5976973176002502,-0.6281399726867676,,,-0.5651452541351318,-0.5892588496208191,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.938631057739258,-7.840661525726318,,,-8.347055435180664,-8.504242897033691,,,,,,,,,-7.6784162521362305,-7.567282676696777,,,-8.401030540466309,-8.600993156433105,,,,,,,,,,,-15.145451545715332,-14.357366561889648,,,-15.226901054382324,-14.525035858154297,,,,,,,,,-14.711795806884766,-14.009319305419922,,,-15.197431564331055,-14.497806549072266,,,,,,,,,,,-6.585599422454834,-6.484842300415039,,,-5.990082263946533,-5.99913215637207,,,,,,,,,-6.503871917724609,-6.416356563568115,,,-5.849125385284424,-5.87937068939209,,
2303,363692,173.82833862304688,163.94830322265625,,,,,,,,,,,,,,,,,,,5.707612037658691,5.583373069763184,,,5.309451103210449,5.193066120147705,,,,,,,,,5.387577056884766,5.270671367645264,,,5.128154754638672,5.009476661682129,,,59.29631805419922,59.026222229003906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6868571639060974,-0.6957900524139404,,,-0.666752815246582,-0.6768261194229126,,,,,,,,,-0.6719040274620056,-0.6805112361907959,,,-0.6567841172218323,-0.6666005253791809,,,3.984377861022949,2.9912185668945312,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,,,2.91070294380188,1.997666835784912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.300373554229736,-7.227753639221191,,,-8.038540840148926,-7.99981689453125,,,,,,,,,-6.995446681976318,-6.918320655822754,,,-8.068488121032715,-8.024187088012695,,,,,,,,,,,-14.716913223266602,-14.733671188354492,,,-15.13428783416748,-15.195576667785645,,,,,,,,,-14.165225982666016,-14.155309677124023,,,-15.00999927520752,-15.070272445678711,,,,,,,,,,,-7.4162917137146,-7.4650068283081055,,,-7.095765590667725,-7.152094841003418,,,,,,,,,-7.1697492599487305,-7.213430404663086,,,-6.9416117668151855,-6.992270469665527,,
2403,272853,181.18223571777344,182.00320434570312,,,,,,,,,,,,,,,,,,,4.121635437011719,3.9856784343719482,,,3.8039703369140625,3.7100300788879395,,,,,,,,,3.997798204421997,3.8685643672943115,,,3.673001766204834,3.56982421875,,,29.80200958251953,27.64291763305664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5947404503822327,-0.598284125328064,,,-0.5695703625679016,-0.575026273727417,,,,,,,,,-0.5848066210746765,-0.5884954333305359,,,-0.5576032996177673,-0.5616527795791626,,,5.197757720947266,4.161888122558594,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,,,3.7683582305908203,2.8296327590942383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.8451337814331055,-7.775688171386719,,,-8.788383483886719,-8.697129249572754,,,,,,,,,-7.780303955078125,-7.701308250427246,,,-8.9277982711792,-8.848817825317383,,,,,,,,,,,-13.868454933166504,-13.78680419921875,,,-14.473491668701172,-14.403342247009277,,,,,,,,,-13.670673370361328,-13.595120429992676,,,-14.459342002868652,-14.382197380065918,,,,,,,,,,,-6.023530960083008,-6.000172138214111,,,-5.685100078582764,-5.6909332275390625,,,,,,,,,-5.890344142913818,-5.8695387840271,,,-5.531567573547363,-5.520793437957764,,
2404,4048,176.07984924316406,169.76710510253906,,,,,,,-0.1678185611963272,-0.1854867786169052,,,,,,,,,,,4.2533345222473145,4.12159538269043,,,3.9678261280059814,3.903355836868286,,,,,,,,,3.9274284839630127,3.7986440658569336,,,3.7906532287597656,3.6945457458496094,,,20.194021224975586,15.419283866882324,,,,,,,0.5066025257110596,0.5213578939437866,,,,,,,,,0.453986793756485,0.46643561124801636,,,,,,,,,-0.20750269293785095,-0.22482219338417053,,,,,,,,,0.7318000197410583,0.7651175260543823,,,,,,,,,-0.6702889800071716,-0.6907482147216797,,,,,,,,,,,-0.6035524010658264,-0.6089612245559692,,,-0.5839312076568604,-0.5919140577316284,,,,,,,,,-0.578433632850647,-0.5826951861381531,,,-0.5678980946540833,-0.573339581489563,,,3.5051376819610596,2.9208335876464844,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,,,2.5071089267730713,2.0612287521362305,,,,,,,0.6709522008895874,0.6328873634338379,,,,,,,,,0.30965688824653625,0.31690800189971924,,,,,,,,,,,-7.816898345947266,-7.75091028213501,,,-8.605356216430664,-8.44914436340332,,,,,,,,,-7.90010404586792,-7.847604751586914,,,-8.722471237182617,-8.60999870300293,,,,,,,,,,,-13.967042922973633,-13.935951232910156,,,-14.477569580078125,-14.368865966796875,,,,,,,,,-13.708680152893066,-13.66408920288086,,,-14.388458251953125,-14.368081092834473,,,,,,,,,,,-6.150139331817627,-6.146265029907227,,,-5.872199535369873,-5.9135003089904785,,,,,,,,,-5.808586120605469,-5.792362689971924,,,-5.665988445281982,-5.670760154724121,,
2405,6886,169.84194946289062,157.42063903808594,,,,,,,,,-0.10438165813684464,-0.11219926178455353,,,,,,,,,4.531157970428467,4.3840227127075195,,,4.219801425933838,4.041591644287109,,,,,,,,,4.562833309173584,4.432384014129639,,,4.145487308502197,4.055929660797119,,,61.18586349487305,59.01237487792969,,,,,,,,,0.4279441833496094,0.4311617612838745,,,,,,,,,0.36363646388053894,0.36348921060562134,,,,,,,,,-0.14607006311416626,-0.15643619000911713,,,,,,,,,0.626869797706604,0.6478102207183838,,,,,,,,,-0.5870699286460876,-0.5932631492614746,,,,,,,,,-0.6242249608039856,-0.6278409361839294,,,-0.6000968813896179,-0.6029680967330933,,,,,,,,,-0.6264069676399231,-0.6312351822853088,,,-0.5956981778144836,-0.603706955909729,,,3.7098519802093506,3.2939186096191406,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,,,2.8188154697418213,2.4336538314819336,,,,,,,,,0.7682371735572815,0.7294479608535767,,,,,,,,,0.2607075572013855,0.26704615354537964,,,,,,,,,-8.308296203613281,-8.320323944091797,,,-8.516361236572266,-8.369434356689453,,,,,,,,,-8.483590126037598,-8.447514533996582,,,-8.745737075805664,-8.767030715942383,,,,,,,,,,,-14.743499755859375,-14.814353942871094,,,-14.623870849609375,-14.683272361755371,,,,,,,,,-14.94981861114502,-15.009309768676758,,,-14.787832260131836,-14.773396492004395,,,,,,,,,,,-6.4351911544799805,-6.415154457092285,,,-6.107517242431641,-6.063072204589844,,,,,,,,,-6.466244220733643,-6.461420059204102,,,-6.042054176330566,-6.075500011444092,,
2407,49058,,,,,,,,,,,,,,,,,,,,,4.462138652801514,4.342926025390625,,,4.146440505981445,4.034076690673828,,,,,,,,,4.3026862144470215,4.201061248779297,,,4.079944610595703,3.989164352416992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6207112669944763,-0.6251535415649414,,,-0.5970125198364258,-0.602401852607727,,,,,,,,,-0.6093562841415405,-0.6148197650909424,,,-0.5927080512046814,-0.5983693599700928,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.412008285522461,-8.346799850463867,,,-8.61191177368164,-8.409661293029785,,,,,,,,,-8.645268440246582,-8.603534698486328,,,-8.802497863769531,-8.657541275024414,,,,,,,,,,,-14.790769577026367,-14.743500709533691,,,-14.664772033691406,-14.569284439086914,,,,,,,,,-14.86507797241211,-14.794205665588379,,,-14.793174743652344,-14.70888900756836,,,,,,,,,,,-6.378843784332275,-6.373894214630127,,,-6.0528178215026855,-6.054744243621826,,,,,,,,,-6.219706058502197,-6.228269100189209,,,-5.990606784820557,-6.002368927001953,,
2413,13733,200.2583770751953,218.6116180419922,,,,,,,-0.1989995837211609,-0.22064606845378876,,,,,,,,,,,4.293964385986328,4.190077781677246,,,3.7871885299682617,3.698615312576294,,,,,,,,,4.0218825340271,3.8877696990966797,,,3.602383613586426,3.520977735519409,,,28.824161529541016,21.803279876708984,,,,,,,0.5258524417877197,0.5387856364250183,,,,,,,,,0.47084298729896545,0.48329514265060425,,,,,,,,,-0.23879732191562653,-0.2627197206020355,,,,,,,,,0.7566325664520264,0.7839739322662354,,,,,,,,,-0.6875050067901611,-0.7021259665489197,,,,,,,,,,,-0.607032060623169,-0.6140571236610413,,,-0.5684602856636047,-0.5740737318992615,,,,,,,,,-0.5873191952705383,-0.5900028347969055,,,-0.5496364235877991,-0.5570165514945984,,,3.7743213176727295,2.781728744506836,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,,,2.6888246536254883,1.9347031116485596,,,,,,,0.6279969811439514,0.5838802456855774,,,,,,,,,0.32255953550338745,0.3328604996204376,,,,,,,,,,,-7.854838848114014,-7.798010349273682,,,-9.011421203613281,-8.974518775939941,,,,,,,,,-7.857930660247803,-7.851735591888428,,,-9.271650314331055,-9.21706771850586,,,,,,,,,,,-14.050848007202148,-14.032923698425293,,,-14.679757118225098,-14.642850875854492,,,,,,,,,-13.779280662536621,-13.793852806091309,,,-14.70858383178711,-14.667181968688965,,,,,,,,,,,-6.196058750152588,-6.217294692993164,,,-5.6683244705200195,-5.678525924682617,,,,,,,,,-5.921335220336914,-5.89024543762207,,,-5.4369378089904785,-5.461348056793213,,
