,crop,precision,recall,f1-score,support
2101,Rice,0.34953898452747517,0.5516355903930337,0.4279262852310351,296743.0
2204,Cassava,0.27999589769200584,0.4667178693093837,0.35001119454635143,807250.0
2205,Pineapple,0.398349050624294,0.5934630885815289,0.4767141852212276,714833.0
2302,Rubber,0.9560488358177398,0.637105661495258,0.7646516731337015,12320950.0
2303,Oil palm,0.3223469974562787,0.5583039517020978,0.40871494585031337,490953.0
2403,Durian,0.19455531766589237,0.6169919269125529,0.29582765794520455,353768.0
2404,Rambutan,0.010675856597411612,0.33719655442443225,0.020696450457811637,6385.0
2405,Coconut,0.01258087120903476,0.1107206884187881,0.022594405543238872,13945.0
2407,Mango,0.05480199455778555,0.34664278537416454,0.09464173897486358,68673.0
2413,Longan,0.0590432929287942,0.3643611618931546,0.10161953927754527,19692.0
2416,Jackfruit,0.05544515364874646,0.19653394910549762,0.0864901484785186,42873.0
2419,Mangosteen,0.03799964701458751,0.2563810509966347,0.06618905047048759,19315.0
2420,Langsat,0.012656877733138977,0.19316332067281605,0.02375709042375709,1843.0
micro avg,,0.6563945851153117,0.6172113453763926,0.6362002174729029,15157223.0
macro avg,,0.2110799059594757,0.4022475076368725,0.2415257204272351,15157223.0
weighted avg,,0.8332213394434665,0.6172113453763926,0.6921339671070055,15157223.0
