LU_CODE,count,F0_mean,F0_median,F1_mean,F1_median,F2_mean,F2_median,F3_mean,F3_median,F4_mean,F4_median,F5_mean,F5_median,F6_mean,F6_median,F7_mean,F7_median,F8_mean,F8_median,F9_mean,F9_median,F10_mean,F10_median,F11_mean,F11_median,F12_mean,F12_median,F13_mean,F13_median,F14_mean,F14_median,F15_mean,F15_median,F16_mean,F16_median,F17_mean,F17_median,F18_mean,F18_median,F19_mean,F19_median,F20_mean,F20_median,F21_mean,F21_median,F22_mean,F22_median,F23_mean,F23_median,F24_mean,F24_median,F25_mean,F25_median,F26_mean,F26_median,F27_mean,F27_median,F28_mean,F28_median,F29_mean,F29_median,F30_mean,F30_median,F31_mean,F31_median,F32_mean,F32_median,F33_mean,F33_median,F34_mean,F34_median,F35_mean,F35_median,F36_mean,F36_median,F37_mean,F37_median,F38_mean,F38_median,F39_mean,F39_median,F40_mean,F40_median,F41_mean,F41_median,F42_mean,F42_median,F43_mean,F43_median,F44_mean,F44_median,F45_mean,F45_median,F46_mean,F46_median,F47_mean,F47_median,F48_mean,F48_median,F49_mean,F49_median,F50_mean,F50_median,F51_mean,F51_median,F52_mean,F52_median,F53_mean,F53_median,F54_mean,F54_median,F55_mean,F55_median,F56_mean,F56_median,F57_mean,F57_median,F58_mean,F58_median,F59_mean,F59_median,F60_mean,F60_median,F61_mean,F61_median,F62_mean,F62_median,F63_mean,F63_median,F64_mean,F64_median,F65_mean,F65_median,F66_mean,F66_median,F67_mean,F67_median,F68_mean,F68_median,F69_mean,F69_median,F70_mean,F70_median,F71_mean,F71_median,F72_mean,F72_median,F73_mean,F73_median,F74_mean,F74_median,F75_mean,F75_median,F76_mean,F76_median,F77_mean,F77_median,F78_mean,F78_median,F79_mean,F79_median,F80_mean,F80_median,F81_mean,F81_median,F82_mean,F82_median,F83_mean,F83_median,F84_mean,F84_median,F85_mean,F85_median,F86_mean,F86_median,F87_mean,F87_median,F88_mean,F88_median,F89_mean,F89_median,F90_mean,F90_median,F91_mean,F91_median,F92_mean,F92_median,F93_mean,F93_median,F94_mean,F94_median,F95_mean,F95_median,F96_mean,F96_median,F97_mean,F97_median,F98_mean,F98_median,F99_mean,F99_median,F100_mean,F100_median,F101_mean,F101_median,F102_mean,F102_median,F103_mean,F103_median,F104_mean,F104_median,F105_mean,F105_median,F106_mean,F106_median,F107_mean,F107_median,F108_mean,F108_median,F109_mean,F109_median,F110_mean,F110_median,F111_mean,F111_median,F112_mean,F112_median,F113_mean,F113_median,F114_mean,F114_median,F115_mean,F115_median,F116_mean,F116_median,F117_mean,F117_median,F118_mean,F118_median,F119_mean,F119_median,F120_mean,F120_median,F121_mean,F121_median,F122_mean,F122_median,F123_mean,F123_median,F124_mean,F124_median,F125_mean,F125_median,F126_mean,F126_median,F127_mean,F127_median,F128_mean,F128_median,F129_mean,F129_median,F130_mean,F130_median,F131_mean,F131_median,F132_mean,F132_median,F133_mean,F133_median
2101,182532,169.29603576660156,158.70230102539062,,,,,,,,,,,,,,,,,,,4.786613464355469,3.9969587326049805,,,4.713245391845703,3.9135894775390625,,,,,,,,,4.826610088348389,3.9650931358337402,,,4.6335225105285645,3.894753932952881,,,9.410259246826172,6.065112113952637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6054351925849915,-0.5990655422210693,,,-0.5966019034385681,-0.5925688743591309,,,,,,,,,-0.6044568419456482,-0.5962801575660706,,,-0.593600869178772,-0.5905153751373291,,,1.0966277122497559,0.7044171094894409,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,,,0.7416980266571045,0.477546751499176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.661439895629883,-9.648092269897461,,,-9.88082218170166,-9.937980651855469,,,,,,,,,-9.97510051727295,-9.94508171081543,,,-10.247897148132324,-10.281338691711426,,,,,,,,,,,-15.985885620117188,-15.707477569580078,,,-16.107690811157227,-15.869922637939453,,,,,,,,,-16.300939559936523,-16.011199951171875,,,-16.42281150817871,-16.138771057128906,,,,,,,,,,,-6.324699878692627,-6.011219501495361,,,-6.2268500328063965,-5.922097682952881,,,,,,,,,-6.3256964683532715,-5.974252223968506,,,-6.174609661102295,-5.897220611572266,,
2204,603563,,,,,,,,,,,,,,,,,,,,,4.290946006774902,4.043116569519043,,,3.8998451232910156,3.660332441329956,,,,,,,,,4.093204021453857,3.8452625274658203,,,3.7886078357696533,3.5461156368255615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6016296148300171,-0.6028451919555664,,,-0.5697081685066223,-0.5705282688140869,,,,,,,,,-0.5856016874313354,-0.5865514874458313,,,-0.5594152212142944,-0.5593350529670715,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.00102710723877,-9.056906700134277,,,-9.497037887573242,-9.598991394042969,,,,,,,,,-8.74783706665039,-8.751935005187988,,,-9.477694511413574,-9.56675910949707,,,,,,,,,,,-15.143784523010254,-15.08204174041748,,,-15.216800689697266,-15.205118179321289,,,,,,,,,-14.675929069519043,-14.570443153381348,,,-15.066344261169434,-15.026898384094238,,,,,,,,,,,-6.142875671386719,-6.062317371368408,,,-5.719925880432129,-5.632546424865723,,,,,,,,,-5.9279351234436035,-5.843554496765137,,,-5.588771820068359,-5.49160099029541,,
2205,594357,,,,,,,,,,,,,,,,,,,,,3.991091728210449,3.81235671043396,,,3.656913995742798,3.4995551109313965,,,,,,,,,3.79447078704834,3.6429216861724854,,,3.53537654876709,3.384510040283203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5817403793334961,-0.5838464498519897,,,-0.5525555610656738,-0.5552110075950623,,,,,,,,,-0.5659708976745605,-0.5686110258102417,,,-0.5408501029014587,-0.5431433916091919,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.949909687042236,-7.803495407104492,,,-8.278101921081543,-8.10285472869873,,,,,,,,,-7.5377678871154785,-7.430415153503418,,,-8.19428825378418,-8.043100357055664,,,,,,,,,,,-13.809185981750488,-13.567480087280273,,,-13.759687423706055,-13.493597030639648,,,,,,,,,-13.186004638671875,-13.009154319763184,,,-13.529217720031738,-13.322972297668457,,,,,,,,,,,-5.859349250793457,-5.807319641113281,,,-5.481472969055176,-5.437686443328857,,,,,,,,,-5.648172855377197,-5.6092963218688965,,,-5.334622383117676,-5.289294242858887,,
2302,10039158,,,,,,,,,,,,,,,,,,,,,4.534426689147949,4.450712203979492,,,4.116705894470215,3.981780529022217,,,,,,,,,4.463024139404297,4.373929977416992,,,4.020279407501221,3.87959361076355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5921592712402344,-0.6325596570968628,,,-0.5648693442344666,-0.5982695817947388,,,,,,,,,-0.5875364542007446,-0.6272332072257996,,,-0.5582204461097717,-0.5894913673400879,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.018460273742676,-7.878300666809082,,,-8.356913566589355,-8.534235000610352,,,,,,,,,-7.757094383239746,-7.603950500488281,,,-8.395520210266113,-8.626141548156738,,,,,,,,,,,-15.318180084228516,-14.382951736450195,,,-15.36633586883545,-14.546667098999023,,,,,,,,,-14.894786834716797,-14.032022476196289,,,-15.329727172851562,-14.517477035522461,,,,,,,,,,,-6.5989580154418945,-6.479703903198242,,,-5.993597030639648,-5.998502731323242,,,,,,,,,-6.504396915435791,-6.403431415557861,,,-5.854433536529541,-5.882514953613281,,
2303,429709,174.1342010498047,164.9436492919922,,,,,,,,,,,,,,,,,,,5.655554294586182,5.5233845710754395,,,5.2779741287231445,5.157761573791504,,,,,,,,,5.33720588684082,5.211455821990967,,,5.092410564422607,4.972108364105225,,,58.16661834716797,58.00454330444336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6836817860603333,-0.69296795129776,,,-0.6638244390487671,-0.674965500831604,,,,,,,,,-0.6687589287757874,-0.6774770617485046,,,-0.6534655094146729,-0.6645013689994812,,,3.9951813220977783,2.9983291625976562,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,,,2.917222261428833,2.0026233196258545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.398314476013184,-7.280810832977295,,,-8.134117126464844,-8.060099601745605,,,,,,,,,-7.067774295806885,-6.964294910430908,,,-8.149297714233398,-8.083568572998047,,,,,,,,,,,-14.767244338989258,-14.752092361450195,,,-15.192028999328613,-15.239480018615723,,,,,,,,,-14.191177368164062,-14.16576862335205,,,-15.048192024230957,-15.102863311767578,,,,,,,,,,,-7.368693828582764,-7.417619705200195,,,-7.057778835296631,-7.122315406799316,,,,,,,,,-7.123236656188965,-7.164544582366943,,,-6.898764610290527,-6.959709644317627,,
2403,317704,180.87379455566406,180.67013549804688,,,,,,,,,,,,,,,,,,,4.139459609985352,3.9944634437561035,,,3.8537750244140625,3.7441892623901367,,,,,,,,,4.007279396057129,3.871027946472168,,,3.728166341781616,3.6086814403533936,,,30.29827117919922,27.735597610473633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5952916741371155,-0.5989737510681152,,,-0.5728971362113953,-0.5781199932098389,,,,,,,,,-0.5848013758659363,-0.5887253880500793,,,-0.5615459084510803,-0.565332293510437,,,5.204785346984863,4.195595741271973,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,,,3.761837959289551,2.8389081954956055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.890562534332275,-7.801128387451172,,,-8.805289268493652,-8.699751853942871,,,,,,,,,-7.829056262969971,-7.731757164001465,,,-8.938377380371094,-8.845184326171875,,,,,,,,,,,-13.925236701965332,-13.815774917602539,,,-14.53808879852295,-14.434938430786133,,,,,,,,,-13.722923278808594,-13.622344017028809,,,-14.52502155303955,-14.415264129638672,,,,,,,,,,,-6.034891605377197,-6.00969934463501,,,-5.732835292816162,-5.731151580810547,,,,,,,,,-5.8938140869140625,-5.872419357299805,,,-5.586538791656494,-5.567601203918457,,
2404,4630,176.529052734375,169.1079864501953,,,,,,,-0.16487208008766174,-0.18619903922080994,,,,,,,,,,,4.270998477935791,4.127586364746094,,,4.020834922790527,3.94970703125,,,,,,,,,3.980562925338745,3.859724521636963,,,3.827371120452881,3.72552227973938,,,20.531545639038086,15.599855422973633,,,,,,,0.5057274699211121,0.522650420665741,,,,,,,,,0.45384982228279114,0.46827787160873413,,,,,,,,,-0.20364412665367126,-0.22587618231773376,,,,,,,,,0.7298393249511719,0.7668994665145874,,,,,,,,,-0.6687089204788208,-0.6909450888633728,,,,,,,,,,,-0.6040869951248169,-0.6092486381530762,,,-0.5875047445297241,-0.5956370234489441,,,,,,,,,-0.5816199779510498,-0.5876791477203369,,,-0.5698385238647461,-0.5757825374603271,,,3.464418888092041,2.9024577140808105,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,,,2.4354805946350098,2.0033535957336426,,,,,,,0.67962247133255,0.6314839124679565,,,,,,,,,0.30981382727622986,0.31834155321121216,,,,,,,,,,,-7.848025798797607,-7.7646613121032715,,,-8.617815017700195,-8.483738899230957,,,,,,,,,-7.9165472984313965,-7.850113391876221,,,-8.735386848449707,-8.620540618896484,,,,,,,,,,,-14.009425163269043,-13.975678443908691,,,-14.540867805480957,-14.417119979858398,,,,,,,,,-13.77298355102539,-13.743087768554688,,,-14.432363510131836,-14.381792068481445,,,,,,,,,,,-6.161391258239746,-6.149476051330566,,,-5.923051834106445,-5.963183879852295,,,,,,,,,-5.856451034545898,-5.858308792114258,,,-5.696976661682129,-5.704488754272461,,
2405,7310,174.3672332763672,166.16989135742188,,,,,,,,,-0.10724161565303802,-0.12072798609733582,,,,,,,,,4.673247814178467,4.487666606903076,,,4.34721040725708,4.15047025680542,,,,,,,,,4.607878684997559,4.468266487121582,,,4.343883991241455,4.1824188232421875,,,57.00409698486328,57.05976104736328,,,,,,,,,0.4294548034667969,0.43769413232803345,,,,,,,,,0.3669171631336212,0.37223637104034424,,,,,,,,,-0.14786545932292938,-0.1636141538619995,,,,,,,,,0.6318584084510803,0.667126476764679,,,,,,,,,-0.5901942849159241,-0.6057697534561157,,,,,,,,,-0.6303901076316833,-0.6350255012512207,,,-0.6069527268409729,-0.6114054918289185,,,,,,,,,-0.6277225017547607,-0.6334457397460938,,,-0.6080771684646606,-0.6135127544403076,,,3.7425785064697266,3.273730754852295,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,,,2.874368906021118,2.4223437309265137,,,,,,,,,0.7706868052482605,0.7187798023223877,,,,,,,,,0.2641029357910156,0.2727521061897278,,,,,,,,,-8.1279296875,-8.103412628173828,,,-8.330754280090332,-8.191215515136719,,,,,,,,,-8.285516738891602,-8.185651779174805,,,-8.525115013122559,-8.464784622192383,,,,,,,,,,,-14.66615104675293,-14.703516006469727,,,-14.544584274291992,-14.578470230102539,,,,,,,,,-14.779820442199707,-14.810659408569336,,,-14.749185562133789,-14.696460723876953,,,,,,,,,,,-6.538188934326172,-6.514346122741699,,,-6.21382999420166,-6.1789751052856445,,,,,,,,,-6.494330406188965,-6.49515438079834,,,-6.2240777015686035,-6.211176872253418,,
2407,47423,,,,,,,,,,,,,,,,,,,,,4.513319492340088,4.3814544677734375,,,4.210806369781494,4.078788757324219,,,,,,,,,4.367335319519043,4.264719486236572,,,4.127206325531006,4.008360862731934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6238973140716553,-0.6278278827667236,,,-0.6005783081054688,-0.6059190630912781,,,,,,,,,-0.6142780780792236,-0.6195037364959717,,,-0.5953064560890198,-0.6000769734382629,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.294565200805664,-8.22288703918457,,,-8.476306915283203,-8.270606994628906,,,,,,,,,-8.541474342346191,-8.479053497314453,,,-8.684464454650879,-8.534793853759766,,,,,,,,,,,-14.719927787780762,-14.663958549499512,,,-14.5840482711792,-14.481496810913086,,,,,,,,,-14.82818603515625,-14.741973876953125,,,-14.714982986450195,-14.601469993591309,,,,,,,,,,,-6.425412654876709,-6.411749362945557,,,-6.107704162597656,-6.102996826171875,,,,,,,,,-6.2866363525390625,-6.293528079986572,,,-6.030505180358887,-6.024786949157715,,
2413,17206,204.0782470703125,222.8092041015625,,,,,,,-0.1969660222530365,-0.22433465719223022,,,,,,,,,,,4.2632036209106445,4.127599716186523,,,3.854062080383301,3.758244037628174,,,,,,,,,4.025436878204346,3.8807740211486816,,,3.658320903778076,3.5579299926757812,,,29.658281326293945,22.644699096679688,,,,,,,0.5217215418815613,0.5399801731109619,,,,,,,,,0.46778857707977295,0.4845273494720459,,,,,,,,,-0.23624008893966675,-0.26614049077033997,,,,,,,,,0.7520799040794373,0.7861565351486206,,,,,,,,,-0.6864567399024963,-0.7040607929229736,,,,,,,,,,,-0.6038143634796143,-0.6093789339065552,,,-0.5738691687583923,-0.5793657302856445,,,,,,,,,-0.5868500471115112,-0.5894705057144165,,,-0.5540403127670288,-0.5604738593101501,,,3.8270251750946045,2.888728141784668,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,,,2.7501583099365234,2.0217928886413574,,,,,,,0.6364683508872986,0.5796010494232178,,,,,,,,,0.3229786157608032,0.333991676568985,,,,,,,,,,,-7.850464820861816,-7.802551746368408,,,-8.994787216186523,-8.925443649291992,,,,,,,,,-7.83154296875,-7.834091663360596,,,-9.233933448791504,-9.158160209655762,,,,,,,,,,,-14.005364418029785,-13.991974830627441,,,-14.735695838928223,-14.644586563110352,,,,,,,,,-13.749346733093262,-13.750123977661133,,,-14.729917526245117,-14.654777526855469,,,,,,,,,,,-6.154976844787598,-6.152237415313721,,,-5.740887641906738,-5.747673034667969,,,,,,,,,-5.917787075042725,-5.8831095695495605,,,-5.49596643447876,-5.5054450035095215,,
