,precision,recall,f1-score,support,train_unique_support,train_final_support,test_support
2403,0.6609533137446948,0.7712380952380953,0.7118495077355836,10500.0,49000,49000,10500
2404,0.2367706919945726,0.5530903328050714,0.3315914489311164,631.0,2943,20000,631
2407,0.8852377396066716,0.9195758986294285,0.9020801623541349,3867.0,18045,20000,3867
2413,0.4958791208791209,0.49907834101382487,0.49747358750574183,2170.0,10126,20000,2170
2416,0.6491853360488798,0.2744886975242196,0.3858374943259192,4645.0,21677,21677,4645
2419,0.42251950947603123,0.373767258382643,0.39665096807953953,2028.0,9465,20000,2028
2420,0.2571428571428571,1.0,0.4090909090909091,54.0,252,20000,54
accuracy,0.6349863988282067,0.6349863988282067,0.6349863988282067,0.6349863988282067,,,
macro avg,0.515384081270404,0.627319803370469,0.5192248682889921,23895.0,,,
weighted avg,0.6476210628911787,0.6349863988282067,0.6223155447461886,23895.0,,,
