,2018-03-31,2018-04-30,2018-10-31,2018-11-30,2018-12-31
Rice,0.4106,0.4491,0.5485,0.5218,0.498
Cassava,0.4198,0.484,0.6214,0.5684,0.5003
Pineapple,0.4651,0.5098,0.6194,0.5801,0.5302
Para rubber,0.6484,0.7179,0.7569,0.7712,0.7339
Oil palm,0.6601,0.711,0.7809,0.8017,0.7539
Durian,0.5355,0.6005,0.6803,0.7027,0.6836
Rambutan,0.5322,0.6098,0.7305,0.7526,0.7394
Coconut,0.5408,0.6086,0.671,0.672,0.6326
Mango,0.5561,0.6125,0.7026,0.6882,0.648
Longan,0.5931,0.668,0.722,0.7449,0.7183
Jackfruit,0.5578,0.5899,0.6891,0.698,0.6641
Mangosteen,0.5842,0.6355,0.7051,0.7461,0.7298
Langsat,0.5686,0.7489,0.7325,0.7641,0.7603
