arm,class,precision,recall,f1
wet3,Rice,0.6288,0.8008,0.7044
wet3,Cassava,0.4406,0.5168,0.4757
wet3,Pineapple,0.5402,0.56,0.5499
wet3,Para rubber,0.6274,0.7181,0.6697
wet3,Oil palm,0.6251,0.5431,0.5812
wet3,Durian,0.3441,0.2368,0.2805
wet3,Rambutan,0.5291,0.469,0.4973
wet3,Coconut,0.4939,0.5351,0.5137
wet3,Mango,0.4732,0.5968,0.5278
wet3,Longan,0.4431,0.4056,0.4236
wet3,Jackfruit,0.3636,0.3517,0.3576
wet3,Mangosteen,0.4808,0.3661,0.4157
wet3,Langsat,0.6573,0.4523,0.5359
dry2,Rice,0.3975,0.5872,0.4741
dry2,Cassava,0.4052,0.4095,0.4073
dry2,Pineapple,0.5128,0.4842,0.4981
dry2,Para rubber,0.5216,0.6022,0.559
dry2,Oil palm,0.4535,0.3638,0.4037
dry2,Durian,0.2843,0.1014,0.1495
dry2,Rambutan,0.4313,0.327,0.372
dry2,Coconut,0.404,0.4781,0.438
dry2,Mango,0.4087,0.5301,0.4615
dry2,Longan,0.3708,0.3713,0.371
dry2,Jackfruit,0.3592,0.2996,0.3267
dry2,Mangosteen,0.2983,0.3794,0.334
dry2,Langsat,0.6318,0.2722,0.3805
all5,Rice,0.6419,0.7972,0.7112
all5,Cassava,0.4724,0.5206,0.4953
all5,Pineapple,0.5665,0.5627,0.5646
all5,Para rubber,0.631,0.7151,0.6704
all5,Oil palm,0.6426,0.5327,0.5825
all5,Durian,0.393,0.2449,0.3018
all5,Rambutan,0.5423,0.5435,0.5429
all5,Coconut,0.5272,0.5811,0.5528
all5,Mango,0.5092,0.6472,0.57
all5,Longan,0.4917,0.4744,0.4829
all5,Jackfruit,0.4179,0.3919,0.4045
all5,Mangosteen,0.5065,0.4516,0.4775
all5,Langsat,0.7742,0.4962,0.6048
