arm,class,lu_code,precision,recall,f1,test_parcels,train_parcels,test_pixels
wet3,Rice,2101,0.5735,0.7775,0.6601,224,224,4000
wet3,Cassava,2204,0.4165,0.5155,0.4607,1026,1025,4000
wet3,Pineapple,2205,0.5414,0.5477,0.5446,544,543,4000
wet3,Para rubber,2302,0.7135,0.7117,0.7126,2359,2359,4000
wet3,Oil palm,2303,0.635,0.5925,0.613,453,453,4000
wet3,Durian,2403,0.2486,0.2717,0.2597,815,815,4000
wet3,Rambutan,2404,0.3644,0.368,0.3662,73,72,3448
wet3,Coconut,2405,0.3912,0.3675,0.379,60,59,4000
wet3,Mango,2407,0.4213,0.4363,0.4286,150,149,4000
wet3,Longan,2413,0.2248,0.158,0.1856,45,45,4000
wet3,Jackfruit,2416,0.2448,0.2993,0.2693,175,175,4000
wet3,Mangosteen,2419,0.2816,0.2335,0.2553,132,132,4000
wet3,Langsat,2420,0.0,0.0,0.0,8,8,1483
dry2,Rice,2101,0.3243,0.5443,0.4064,224,224,4000
dry2,Cassava,2204,0.3918,0.3992,0.3955,1026,1025,4000
dry2,Pineapple,2205,0.4721,0.4865,0.4792,544,543,4000
dry2,Para rubber,2302,0.5465,0.5497,0.5481,2359,2359,4000
dry2,Oil palm,2303,0.4597,0.3065,0.3678,453,453,4000
dry2,Durian,2403,0.1846,0.1155,0.1421,815,815,4000
dry2,Rambutan,2404,0.2309,0.1752,0.1992,73,72,3448
dry2,Coconut,2405,0.3035,0.3192,0.3112,60,59,4000
dry2,Mango,2407,0.3186,0.287,0.302,150,149,4000
dry2,Longan,2413,0.2138,0.2057,0.2097,45,45,4000
dry2,Jackfruit,2416,0.2304,0.1885,0.2074,175,175,4000
dry2,Mangosteen,2419,0.1569,0.2848,0.2023,132,132,4000
dry2,Langsat,2420,0.05,0.0007,0.0013,8,8,1483
all5,Rice,2101,0.5876,0.7498,0.6588,224,224,4000
all5,Cassava,2204,0.4275,0.5258,0.4716,1026,1025,4000
all5,Pineapple,2205,0.5429,0.5537,0.5483,544,543,4000
all5,Para rubber,2302,0.66,0.6967,0.6779,2359,2359,4000
all5,Oil palm,2303,0.6266,0.586,0.6056,453,453,4000
all5,Durian,2403,0.2337,0.2695,0.2503,815,815,4000
all5,Rambutan,2404,0.3564,0.3263,0.3407,73,72,3448
all5,Coconut,2405,0.3884,0.3685,0.3782,60,59,4000
all5,Mango,2407,0.4369,0.4333,0.435,150,149,4000
all5,Longan,2413,0.2891,0.199,0.2357,45,45,4000
all5,Jackfruit,2416,0.2406,0.2622,0.251,175,175,4000
all5,Mangosteen,2419,0.2696,0.2812,0.2753,132,132,4000
all5,Langsat,2420,0.0,0.0,0.0,8,8,1483
