crop,lu_code,train_parcels,test_parcels,shared_parcels,share_of_test_also_in_train,test_pixels
Rice,2101,280,289,237,0.8201,3985
Cassava,2204,955,952,715,0.7511,3990
Pineapple,2205,638,625,490,0.784,4011
Rubber,2302,668,712,388,0.5449,3984
OilPalm,2303,525,512,418,0.8164,3942
Durian,2403,816,822,613,0.7457,4042
Rambutan,2404,139,139,133,0.9568,3196
Coconut,2405,111,111,104,0.9369,4020
Mango,2407,243,239,214,0.8954,3943
Longan,2413,82,84,79,0.9405,4016
Jackfruit,2416,293,294,269,0.915,4009
Mangosteen,2419,232,234,211,0.9017,4043
Langsat,2420,14,16,14,0.875,933
