arm,class,lu_code,precision,recall,f1,test_parcels,train_parcels,test_pixels
A_s2only,Rice,2101,0.5876,0.7498,0.6588,224,224,4000
A_s2only,Cassava,2204,0.4275,0.5258,0.4716,1026,1025,4000
A_s2only,Pineapple,2205,0.5429,0.5537,0.5483,544,543,4000
A_s2only,Para rubber,2302,0.66,0.6967,0.6779,2359,2359,4000
A_s2only,Oil palm,2303,0.6266,0.586,0.6056,453,453,4000
A_s2only,Durian,2403,0.2337,0.2695,0.2503,815,815,4000
A_s2only,Rambutan,2404,0.3564,0.3263,0.3407,73,72,3448
A_s2only,Coconut,2405,0.3884,0.3685,0.3782,60,59,4000
A_s2only,Mango,2407,0.4369,0.4333,0.435,150,149,4000
A_s2only,Longan,2413,0.2891,0.199,0.2357,45,45,4000
A_s2only,Jackfruit,2416,0.2406,0.2622,0.251,175,175,4000
A_s2only,Mangosteen,2419,0.2696,0.2812,0.2753,132,132,4000
A_s2only,Langsat,2420,0.0,0.0,0.0,8,8,1483
B_fused,Rice,2101,0.6529,0.93,0.7672,224,224,4000
B_fused,Cassava,2204,0.4525,0.512,0.4804,1026,1025,4000
B_fused,Pineapple,2205,0.5541,0.6783,0.6099,544,543,4000
B_fused,Para rubber,2302,0.6545,0.7047,0.6787,2359,2359,4000
B_fused,Oil palm,2303,0.6347,0.688,0.6603,453,453,4000
B_fused,Durian,2403,0.2895,0.332,0.3093,815,815,4000
B_fused,Rambutan,2404,0.4431,0.3683,0.4023,73,72,3448
B_fused,Coconut,2405,0.4706,0.3282,0.3867,60,59,4000
B_fused,Mango,2407,0.5349,0.488,0.5104,150,149,4000
B_fused,Longan,2413,0.3025,0.2345,0.2642,45,45,4000
B_fused,Jackfruit,2416,0.3063,0.2893,0.2975,175,175,4000
B_fused,Mangosteen,2419,0.3409,0.3695,0.3546,132,132,4000
B_fused,Langsat,2420,0.0,0.0,0.0,8,8,1483
