alpha2,alpha3,cal_macro_f1,cal_alive,tune_macro_f1,tune_alive
0.0,0.0,0.2618,8,0.2169,7
0.0,0.1,0.2618,9,0.2191,8
0.0,0.2,0.2621,10,0.2214,8
0.0,0.3,0.2619,10,0.2243,9
0.0,0.4,0.2626,10,0.2255,10
0.0,0.5,0.263,10,0.2263,10
0.0,0.6,0.2632,10,0.2256,10
0.0,0.7,0.2608,10,0.2242,10
0.0,0.8,0.2541,9,0.2197,10
0.0,0.9,0.2427,10,0.2089,10
0.0,1.0,0.223,10,0.1912,10
0.0,1.1,0.2021,9,0.1764,10
0.0,1.2,0.1825,8,0.1603,9
0.1,0.0,0.2659,8,0.2213,7
0.1,0.1,0.2663,9,0.2238,8
0.1,0.2,0.2669,10,0.2266,8
0.1,0.3,0.267,10,0.2295,10
0.1,0.4,0.268,10,0.2306,10
0.1,0.5,0.2685,10,0.2317,10
0.1,0.6,0.2689,10,0.2309,10
0.1,0.7,0.2662,11,0.2293,10
0.1,0.8,0.2593,10,0.2243,10
0.1,0.9,0.2476,10,0.2125,10
0.1,1.0,0.2269,10,0.1931,10
0.1,1.1,0.2052,10,0.1775,10
0.1,1.2,0.1852,8,0.1614,9
0.2,0.0,0.268,9,0.2243,7
0.2,0.1,0.2687,9,0.2271,8
0.2,0.2,0.2695,10,0.2302,8
0.2,0.3,0.2699,10,0.2333,10
0.2,0.4,0.2711,10,0.234,10
0.2,0.5,0.2722,10,0.2353,10
0.2,0.6,0.2723,11,0.2344,10
0.2,0.7,0.2693,11,0.2329,10
0.2,0.8,0.2621,10,0.2275,10
0.2,0.9,0.2503,10,0.2152,10
0.2,1.0,0.2292,10,0.1945,10
0.2,1.1,0.2072,10,0.1782,10
0.2,1.2,0.1872,9,0.1619,9
0.3,0.0,0.2687,9,0.2254,7
0.3,0.1,0.2696,9,0.2286,8
0.3,0.2,0.2705,10,0.2318,8
0.3,0.3,0.2711,10,0.2347,10
0.3,0.4,0.2725,10,0.2361,10
0.3,0.5,0.2736,10,0.2375,10
0.3,0.6,0.2736,11,0.2363,10
0.3,0.7,0.2707,11,0.2344,10
0.3,0.8,0.264,10,0.2291,10
0.3,0.9,0.2525,10,0.2167,10
0.3,1.0,0.2311,10,0.1954,11
0.3,1.1,0.2088,10,0.1784,10
0.3,1.2,0.1888,9,0.1619,9
0.4,0.0,0.2682,9,0.2251,8
0.4,0.1,0.2693,9,0.2294,8
0.4,0.2,0.2705,10,0.2329,8
0.4,0.3,0.2712,10,0.2355,10
0.4,0.4,0.2727,10,0.2367,10
0.4,0.5,0.2736,10,0.2378,10
0.4,0.6,0.2734,11,0.2364,10
0.4,0.7,0.2708,11,0.2345,10
0.4,0.8,0.2643,10,0.2294,10
0.4,0.9,0.2535,10,0.2171,10
0.4,1.0,0.2323,10,0.1953,10
0.4,1.1,0.2097,10,0.1779,11
0.4,1.2,0.1899,9,0.1613,9
0.5,0.0,0.2663,9,0.2245,8
0.5,0.1,0.2675,9,0.2296,8
0.5,0.2,0.2687,10,0.233,8
0.5,0.3,0.2695,10,0.2352,10
0.5,0.4,0.2709,10,0.236,10
0.5,0.5,0.2719,10,0.2366,10
0.5,0.6,0.2718,11,0.2351,10
0.5,0.7,0.2694,11,0.2331,10
0.5,0.8,0.2637,10,0.2285,10
0.5,0.9,0.2538,10,0.2167,10
0.5,1.0,0.2331,10,0.1948,10
0.5,1.1,0.2105,10,0.1773,11
0.5,1.2,0.1906,9,0.1606,9
0.6,0.0,0.2634,9,0.2228,8
0.6,0.1,0.2646,9,0.2282,8
0.6,0.2,0.2658,10,0.2313,8
0.6,0.3,0.2667,10,0.2333,10
0.6,0.4,0.268,10,0.2338,10
0.6,0.5,0.269,10,0.2342,10
0.6,0.6,0.269,11,0.2325,10
0.6,0.7,0.267,11,0.2305,10
0.6,0.8,0.262,10,0.2264,10
0.6,0.9,0.2531,10,0.2154,10
0.6,1.0,0.2332,10,0.1937,10
0.6,1.1,0.2107,10,0.176,10
0.6,1.2,0.191,9,0.1593,9
0.7,0.0,0.2603,9,0.2212,8
0.7,0.1,0.2616,9,0.2266,8
0.7,0.2,0.263,10,0.2293,8
0.7,0.3,0.2638,10,0.2306,10
0.7,0.4,0.2647,10,0.2305,10
0.7,0.5,0.2656,11,0.2306,10
0.7,0.6,0.2657,11,0.2289,10
0.7,0.7,0.264,11,0.2272,10
0.7,0.8,0.2596,10,0.2236,10
0.7,0.9,0.2516,10,0.2133,10
0.7,1.0,0.2326,10,0.1921,10
0.7,1.1,0.2102,10,0.1745,10
0.7,1.2,0.1907,9,0.1578,9
0.8,0.0,0.2563,9,0.2181,8
0.8,0.1,0.2573,9,0.2236,8
0.8,0.2,0.2586,9,0.2261,8
0.8,0.3,0.2594,10,0.2272,9
0.8,0.4,0.2603,10,0.2268,10
0.8,0.5,0.2611,11,0.2265,10
0.8,0.6,0.2613,11,0.2249,10
0.8,0.7,0.26,10,0.2234,10
0.8,0.8,0.2563,10,0.2203,10
0.8,0.9,0.2496,10,0.2108,10
0.8,1.0,0.2314,10,0.1901,10
0.8,1.1,0.2092,10,0.1727,10
0.8,1.2,0.1898,9,0.156,9
0.9,0.0,0.2527,10,0.2143,8
0.9,0.1,0.2536,10,0.2197,8
0.9,0.2,0.2545,10,0.2221,9
0.9,0.3,0.255,9,0.2231,9
0.9,0.4,0.2557,9,0.2224,9
0.9,0.5,0.2563,10,0.2219,10
0.9,0.6,0.2564,10,0.2205,10
0.9,0.7,0.2553,10,0.2191,10
0.9,0.8,0.2523,10,0.2165,10
