alpha2,alpha3,cal_macro_f1,cal_alive,tune_macro_f1,tune_alive
0.0,0.0,0.2628,8,0.2207,8
0.0,0.1,0.2628,8,0.2226,8
0.0,0.2,0.263,10,0.2266,8
0.0,0.3,0.2623,10,0.2289,9
0.0,0.4,0.2629,10,0.2298,9
0.0,0.5,0.2627,10,0.2312,10
0.0,0.6,0.2624,10,0.2301,10
0.0,0.7,0.2611,11,0.2298,10
0.0,0.8,0.2566,10,0.2257,10
0.0,0.9,0.2456,11,0.2143,10
0.0,1.0,0.2246,11,0.1947,11
0.0,1.1,0.2025,10,0.1794,10
0.0,1.2,0.1843,8,0.1628,9
0.1,0.0,0.2668,8,0.2256,8
0.1,0.1,0.2668,8,0.228,8
0.1,0.2,0.2672,10,0.2326,8
0.1,0.3,0.2668,10,0.2348,9
0.1,0.4,0.2677,10,0.236,9
0.1,0.5,0.268,10,0.237,10
0.1,0.6,0.2676,10,0.2357,10
0.1,0.7,0.2667,12,0.2351,10
0.1,0.8,0.2624,11,0.2303,10
0.1,0.9,0.2512,11,0.2179,10
0.1,1.0,0.2289,11,0.1964,11
0.1,1.1,0.2056,9,0.1802,10
0.1,1.2,0.1872,8,0.1634,10
0.2,0.0,0.269,8,0.2288,8
0.2,0.1,0.2694,9,0.2314,8
0.2,0.2,0.2699,10,0.2363,8
0.2,0.3,0.2698,10,0.2386,9
0.2,0.4,0.2711,10,0.2397,10
0.2,0.5,0.2716,10,0.2407,10
0.2,0.6,0.2714,10,0.2392,10
0.2,0.7,0.2704,12,0.2381,10
0.2,0.8,0.2659,11,0.233,10
0.2,0.9,0.2547,10,0.2204,10
0.2,1.0,0.232,10,0.1977,11
0.2,1.1,0.2082,9,0.1811,10
0.2,1.2,0.1897,8,0.1641,10
0.3,0.0,0.2699,8,0.2304,8
0.3,0.1,0.2708,9,0.2335,8
0.3,0.2,0.2715,10,0.2381,8
0.3,0.3,0.2719,10,0.2407,9
0.3,0.4,0.2731,10,0.2419,9
0.3,0.5,0.2736,10,0.2424,10
0.3,0.6,0.2733,10,0.2408,10
0.3,0.7,0.2721,12,0.2394,10
0.3,0.8,0.2678,11,0.2344,10
0.3,0.9,0.2572,10,0.2218,10
0.3,1.0,0.2345,10,0.1982,11
0.3,1.1,0.2104,10,0.181,10
0.3,1.2,0.1919,8,0.164,10
