,crop,precision,recall,f1-score,support
2101,Rice,0.09285940185220547,0.2097673744620766,0.12873198570127156,296743.0
2204,Cassava,0.05356587978860501,0.43627748528956334,0.09541657189851438,807250.0
2205,Pineapple,0.28636620001690943,0.3743223941815781,0.3244895781288655,714833.0
2302,Rubber,0.9090572958816978,0.21670764023878028,0.3499836513140195,12320950.0
2303,Oil palm,0.156908515692728,0.08516090134900897,0.11040197302928122,490953.0
2403,Durian,0.07870030647898969,0.2798218041202144,0.12284911358442495,353768.0
2404,Rambutan,0.028556987616881475,0.035395458104933435,0.03161060214000979,6385.0
2405,Coconut,0.014995473064735174,0.0190032269630692,0.01676313375715596,13945.0
2407,Mango,0.03702945990180033,0.002635679233468758,0.004921085901496717,68673.0
2413,Longan,0.06691953400162558,0.03762949421084705,0.048171623598244756,19692.0
2416,Jackfruit,0.07018081520073552,0.005341357031231777,0.009927171839778048,42873.0
2419,Mangosteen,0.08124635993011066,0.01444473207351799,0.024528550705525516,19315.0
2420,Langsat,0.0,0.0,0.0,1843.0
micro avg,,0.27541295863222537,0.23056842272492792,0.25100343138916675,15157223.0
macro avg,,0.14433740226361724,0.13203904209679154,0.09752269550758369,15157223.0
weighted avg,,0.764629284490582,0.23056842272492792,0.31401504412591597,15157223.0
