LU_CODE,count,F0_mean,F0_median,F1_mean,F1_median,F2_mean,F2_median,F3_mean,F3_median,F4_mean,F4_median,F5_mean,F5_median,F6_mean,F6_median,F7_mean,F7_median,F8_mean,F8_median,F9_mean,F9_median,F10_mean,F10_median,F11_mean,F11_median,F12_mean,F12_median,F13_mean,F13_median,F14_mean,F14_median,F15_mean,F15_median,F16_mean,F16_median,F17_mean,F17_median,F18_mean,F18_median,F19_mean,F19_median,F20_mean,F20_median,F21_mean,F21_median,F22_mean,F22_median,F23_mean,F23_median,F24_mean,F24_median,F25_mean,F25_median,F26_mean,F26_median,F27_mean,F27_median,F28_mean,F28_median,F29_mean,F29_median,F30_mean,F30_median,F31_mean,F31_median,F32_mean,F32_median,F33_mean,F33_median,F34_mean,F34_median,F35_mean,F35_median,F36_mean,F36_median,F37_mean,F37_median,F38_mean,F38_median,F39_mean,F39_median,F40_mean,F40_median,F41_mean,F41_median,F42_mean,F42_median,F43_mean,F43_median,F44_mean,F44_median,F45_mean,F45_median,F46_mean,F46_median,F47_mean,F47_median,F48_mean,F48_median,F49_mean,F49_median,F50_mean,F50_median,F51_mean,F51_median,F52_mean,F52_median,F53_mean,F53_median,F54_mean,F54_median,F55_mean,F55_median,F56_mean,F56_median,F57_mean,F57_median,F58_mean,F58_median,F59_mean,F59_median,F60_mean,F60_median,F61_mean,F61_median,F62_mean,F62_median,F63_mean,F63_median,F64_mean,F64_median,F65_mean,F65_median,F66_mean,F66_median,F67_mean,F67_median,F68_mean,F68_median,F69_mean,F69_median,F70_mean,F70_median,F71_mean,F71_median,F72_mean,F72_median,F73_mean,F73_median,F74_mean,F74_median,F75_mean,F75_median,F76_mean,F76_median,F77_mean,F77_median,F78_mean,F78_median,F79_mean,F79_median,F80_mean,F80_median,F81_mean,F81_median,F82_mean,F82_median,F83_mean,F83_median,F84_mean,F84_median,F85_mean,F85_median,F86_mean,F86_median,F87_mean,F87_median,F88_mean,F88_median,F89_mean,F89_median,F90_mean,F90_median,F91_mean,F91_median,F92_mean,F92_median,F93_mean,F93_median,F94_mean,F94_median,F95_mean,F95_median,F96_mean,F96_median,F97_mean,F97_median,F98_mean,F98_median,F99_mean,F99_median,F100_mean,F100_median,F101_mean,F101_median,F102_mean,F102_median,F103_mean,F103_median,F104_mean,F104_median,F105_mean,F105_median,F106_mean,F106_median,F107_mean,F107_median,F108_mean,F108_median
2101,93153,169.08103942871094,157.77877807617188,,,,,,,,,4.863443851470947,4.449786186218262,,,4.732967376708984,4.403554916381836,,,,,,,,,4.911935806274414,4.430728912353516,,,4.654342174530029,4.35693359375,,,10.279600143432617,6.558876037597656,,,,,,,,,-0.6298409104347229,-0.6322987675666809,,,-0.6198306083679199,-0.6294561624526978,,,,,,,,,-0.6289374828338623,-0.630820631980896,,,-0.6147154569625854,-0.6256210207939148,,,1.2849409580230713,0.8273622989654541,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,,,0.8838158249855042,0.5390641689300537,,,,,,,,,-9.245708465576172,-9.228574752807617,,,-9.44166088104248,-9.42612361907959,,,,,,,,,-9.60476303100586,-9.593047142028809,,,-9.893611907958984,-9.878454208374023,,,,,,,,,,,-6.587375640869141,-6.477341175079346,,,-6.463308334350586,-6.43419885635376,,,,,,,,,-6.590006351470947,-6.456826210021973,,,-6.387131214141846,-6.382634162902832,,,,,,,,,,,-15.833036422729492,-15.692648887634277,,,-15.904898643493652,-15.787341117858887,,,,,,,,,-16.194686889648438,-16.02726173400879,,,-16.28083038330078,-16.122516632080078,,,,,,,,,,,-6.587375640869141,-6.477341175079346,,,-6.463308334350586,-6.43419885635376,,,,,,,,,-6.590006351470947,-6.456826210021973,,,-6.387131214141846,-6.382634162902832,,
2204,498336,,,,,,,,,,,4.191490650177002,4.036361217498779,,,3.8004183769226074,3.6483893394470215,,,,,,,,,4.009297847747803,3.8549890518188477,,,3.7057061195373535,3.545440196990967,,,,,,,,,,,,,-0.5985823273658752,-0.6023188829421997,,,-0.566102921962738,-0.5694339275360107,,,,,,,,,-0.5837712287902832,-0.5873719453811646,,,-0.5568909645080566,-0.5592644214630127,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,-8.756668090820312,-8.837459564208984,,,-9.261345863342285,-9.37173080444336,,,,,,,,,-8.518876075744629,-8.537962913513184,,,-9.245784759521484,-9.36295223236084,,,,,,,,,,,-6.082557201385498,-6.055172443389893,,,-5.653321743011475,-5.618532657623291,,,,,,,,,-5.884851932525635,-5.8546223640441895,,,-5.537688255310059,-5.490640640258789,,,,,,,,,,,-14.83946418762207,-14.889124870300293,,,-14.914337158203125,-15.00241470336914,,,,,,,,,-14.403645515441895,-14.39443302154541,,,-14.783886909484863,-14.845296859741211,,,,,,,,,,,-6.082557201385498,-6.055172443389893,,,-5.653321743011475,-5.618532657623291,,,,,,,,,-5.884851932525635,-5.8546223640441895,,,-5.537688255310059,-5.490640640258789,,
2205,546939,,,,,,,,,,,3.916870594024658,3.783360481262207,,,3.601473808288574,3.4862241744995117,,,,,,,,,3.7358078956604004,3.616607189178467,,,3.49674391746521,3.375922441482544,,,,,,,,,,,,,-0.5781729817390442,-0.5813519358634949,,,-0.5504426956176758,-0.5538713932037354,,,,,,,,,-0.5628934502601624,-0.5661712884902954,,,-0.5396527647972107,-0.5422784686088562,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,-7.812697410583496,-7.711843967437744,,,-8.125115394592285,-7.975772380828857,,,,,,,,,-7.444285869598389,-7.380546569824219,,,-8.058653831481934,-7.94215202331543,,,,,,,,,,,-5.802135944366455,-5.774446964263916,,,-5.44254732131958,-5.421000957489014,,,,,,,,,-5.6004462242126465,-5.578096389770508,,,-5.309597492218018,-5.278565883636475,,,,,,,,,,,-13.614824295043945,-13.4141206741333,,,-13.567636489868164,-13.351795196533203,,,,,,,,,-13.044893264770508,-12.909296035766602,,,-13.368634223937988,-13.208756446838379,,,,,,,,,,,-5.802135944366455,-5.774446964263916,,,-5.44254732131958,-5.421000957489014,,,,,,,,,-5.6004462242126465,-5.578096389770508,,,-5.309597492218018,-5.278565883636475,,
2302,8502445,,,,,,,,,,,4.566843509674072,4.479643821716309,,,4.148765563964844,4.032312393188477,,,,,,,,,4.481092929840088,4.388978481292725,,,4.035972595214844,3.9195632934570312,,,,,,,,,,,,,-0.607226550579071,-0.6345028281211853,,,-0.5791476964950562,-0.6022988557815552,,,,,,,,,-0.6016069650650024,-0.6282734870910645,,,-0.5712294578552246,-0.5928237438201904,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,-7.985495090484619,-7.862917900085449,,,-8.415465354919434,-8.532995223999023,,,,,,,,,-7.701052188873291,-7.583869457244873,,,-8.459386825561523,-8.62597370147705,,,,,,,,,,,-6.604059219360352,-6.507909774780273,,,-6.052785873413086,-6.053256034851074,,,,,,,,,-6.497870922088623,-6.418375492095947,,,-5.908081531524658,-5.9270148277282715,,,,,,,,,,,-15.190730094909668,-14.385687828063965,,,-15.322629928588867,-14.597259521484375,,,,,,,,,-14.714271545410156,-14.015884399414062,,,-15.280731201171875,-14.561001777648926,,,,,,,,,,,-6.604059219360352,-6.507909774780273,,,-6.052785873413086,-6.053256034851074,,,,,,,,,-6.497870922088623,-6.418375492095947,,,-5.908081531524658,-5.9270148277282715,,
2303,402327,175.0325927734375,166.82647705078125,,,,,,,,,5.573759078979492,5.454658031463623,,,5.245824337005615,5.131603717803955,,,,,,,,,5.26131534576416,5.146978855133057,,,5.0613508224487305,4.944704532623291,,,58.77716064453125,58.09554672241211,,,,,,,,,-0.6813464164733887,-0.6896784901618958,,,-0.6643916368484497,-0.6735483407974243,,,,,,,,,-0.6662534475326538,-0.6740883588790894,,,-0.6543610692024231,-0.6629798412322998,,,3.892444133758545,3.0458755493164062,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,,,2.8231360912323,2.0354526042938232,,,,,,,,,-7.397196292877197,-7.310497760772705,,,-8.119683265686035,-8.06037425994873,,,,,,,,,-7.065773010253906,-6.9799418449401855,,,-8.14198112487793,-8.08554744720459,,,,,,,,,,,-7.320408344268799,-7.363027095794678,,,-7.052389621734619,-7.099973201751709,,,,,,,,,-7.074585437774658,-7.110318660736084,,,-6.896351337432861,-6.9360785484313965,,,,,,,,,,,-14.71783447265625,-14.711429595947266,,,-15.172147750854492,-15.211978912353516,,,,,,,,,-14.14049243927002,-14.122910499572754,,,-15.038341522216797,-15.081212997436523,,,,,,,,,,,-7.320408344268799,-7.363027095794678,,,-7.052389621734619,-7.099973201751709,,,,,,,,,-7.074585437774658,-7.110318660736084,,,-6.896351337432861,-6.9360785484313965,,
2403,303461,181.64085388183594,182.4083251953125,,,,,,,,,4.157679557800293,4.025454998016357,,,3.849919319152832,3.755854368209839,,,,,,,,,4.027642250061035,3.8992395401000977,,,3.7214951515197754,3.6164679527282715,,,29.65222930908203,27.664655685424805,,,,,,,,,-0.5977579951286316,-0.6014384627342224,,,-0.5735545754432678,-0.579149603843689,,,,,,,,,-0.5876415371894836,-0.5911021828651428,,,-0.5620595216751099,-0.5661022663116455,,,5.126928806304932,4.187315940856934,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,,,3.6722757816314697,2.846266269683838,,,,,,,,,-7.802679538726807,-7.731082439422607,,,-8.732994079589844,-8.638200759887695,,,,,,,,,-7.737496852874756,-7.658025741577148,,,-8.867780685424805,-8.786800384521484,,,,,,,,,,,-6.0635552406311035,-6.0432024002075195,,,-5.737099647521973,-5.74448299407959,,,,,,,,,-5.926324367523193,-5.904078960418701,,,-5.588436603546143,-5.577297210693359,,,,,,,,,,,-13.866063117980957,-13.766233444213867,,,-14.470069885253906,-14.382694244384766,,,,,,,,,-13.663785934448242,-13.572113990783691,,,-14.456221580505371,-14.359434127807617,,,,,,,,,,,-6.0635552406311035,-6.0432024002075195,,,-5.737099647521973,-5.74448299407959,,,,,,,,,-5.926324367523193,-5.904078960418701,,,-5.588436603546143,-5.577297210693359,,
2404,5363,179.81756591796875,172.05905151367188,,,,,,,,,4.32049036026001,4.214571952819824,,,4.036252975463867,3.9596498012542725,,,,,,,,,3.977308750152588,3.8722450733184814,,,3.8833110332489014,3.7940962314605713,,,20.283687591552734,15.616253852844238,,,,,,,,,-0.610332190990448,-0.6158108115196228,,,-0.5898377299308777,-0.5965222120285034,,,,,,,,,-0.5841853022575378,-0.5888620615005493,,,-0.577093780040741,-0.5817651748657227,,,3.5986592769622803,3.0580687522888184,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,,,2.5015859603881836,2.1177978515625,,,,,,,,,-7.605406761169434,-7.536168098449707,,,-8.454133987426758,-8.365063667297363,,,,,,,,,-7.72152853012085,-7.713796138763428,,,-8.560452461242676,-8.484115600585938,,,,,,,,,,,-6.234813690185547,-6.241781711578369,,,-5.949376583099365,-5.974278926849365,,,,,,,,,-5.877593040466309,-5.874074459075928,,,-5.780421257019043,-5.781484603881836,,,,,,,,,,,-13.840211868286133,-13.78307819366455,,,-14.403499603271484,-14.322454452514648,,,,,,,,,-13.599109649658203,-13.552385330200195,,,-14.340874671936035,-14.319746017456055,,,,,,,,,,,-6.234813690185547,-6.241781711578369,,,-5.949376583099365,-5.974278926849365,,,,,,,,,-5.877593040466309,-5.874074459075928,,,-5.780421257019043,-5.781484603881836,,
2405,8796,173.7592010498047,163.63027954101562,,,,,,,,,4.63384485244751,4.531955718994141,,,4.458691120147705,4.32319450378418,,,,,,,,,4.597109794616699,4.489465713500977,,,4.249935626983643,4.165606498718262,,,56.78475570678711,56.557777404785156,,,,,,,,,-0.6311745643615723,-0.6378891468048096,,,-0.6168535947799683,-0.6240531802177429,,,,,,,,,-0.6296072602272034,-0.6350299119949341,,,-0.6044666171073914,-0.6121774911880493,,,3.546452522277832,3.1888694763183594,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,,,2.676043748855591,2.3103559017181396,,,,,,,,,-8.173453330993652,-8.166414260864258,,,-8.329438209533691,-8.236091613769531,,,,,,,,,-8.327407836914062,-8.308005332946777,,,-8.619257926940918,-8.629348754882812,,,,,,,,,,,-6.535201549530029,-6.557043075561523,,,-6.343769073486328,-6.355543613433838,,,,,,,,,-6.507699489593506,-6.515824794769287,,,-6.15776252746582,-6.19029426574707,,,,,,,,,,,-14.708670616149902,-14.748741149902344,,,-14.673227310180664,-14.722301483154297,,,,,,,,,-14.83507251739502,-14.920074462890625,,,-14.777002334594727,-14.790077209472656,,,,,,,,,,,-6.535201549530029,-6.557043075561523,,,-6.343769073486328,-6.355543613433838,,,,,,,,,-6.507699489593506,-6.515824794769287,,,-6.15776252746582,-6.19029426574707,,
2407,50907,,,,,,,,,,,4.49794864654541,4.378474712371826,,,4.2639079093933105,4.151338577270508,,,,,,,,,4.360792636871338,4.270755767822266,,,4.166405200958252,4.075089454650879,,,,,,,,,,,,,-0.6230639219284058,-0.6276569962501526,,,-0.6057273149490356,-0.6114138960838318,,,,,,,,,-0.6140714287757874,-0.6199046969413757,,,-0.5992661714553833,-0.605205237865448,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,-8.21688461303711,-8.176007270812988,,,-8.324867248535156,-8.191437721252441,,,,,,,,,-8.499372482299805,-8.454883575439453,,,-8.544641494750977,-8.441865921020508,,,,,,,,,,,-6.412924766540527,-6.40882682800293,,,-6.173020839691162,-6.178855895996094,,,,,,,,,-6.283046245574951,-6.299999713897705,,,-6.08034610748291,-6.095485210418701,,,,,,,,,,,-14.629746437072754,-14.584490776062012,,,-14.497906684875488,-14.41482162475586,,,,,,,,,-14.782495498657227,-14.718595504760742,,,-14.62506103515625,-14.542399406433105,,,,,,,,,,,-6.412924766540527,-6.40882682800293,,,-6.173020839691162,-6.178855895996094,,,,,,,,,-6.283046245574951,-6.299999713897705,,,-6.08034610748291,-6.095485210418701,,
2413,15973,201.93650817871094,219.9482879638672,,,,,,,,,4.239338397979736,4.131277084350586,,,3.8671467304229736,3.7739739418029785,,,,,,,,,4.037033557891846,3.9059484004974365,,,3.637401580810547,3.5602974891662598,,,28.089900970458984,21.642536163330078,,,,,,,,,-0.6031981110572815,-0.6097145676612854,,,-0.5749525427818298,-0.5807758569717407,,,,,,,,,-0.5890552997589111,-0.591590166091919,,,-0.5534873008728027,-0.5606580972671509,,,3.789451837539673,2.909921646118164,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,,,2.7200374603271484,2.0508620738983154,,,,,,,,,-7.759065628051758,-7.718890190124512,,,-8.88028621673584,-8.823667526245117,,,,,,,,,-7.73459529876709,-7.749636650085449,,,-9.156844139099121,-9.100399017333984,,,,,,,,,,,-6.14204216003418,-6.156529426574707,,,-5.75519323348999,-5.765550136566162,,,,,,,,,-5.941928863525391,-5.910632133483887,,,-5.4833173751831055,-5.509096622467041,,,,,,,,,,,-13.90103530883789,-13.898442268371582,,,-14.635534286499023,-14.553997039794922,,,,,,,,,-13.676580429077148,-13.699638366699219,,,-14.640159606933594,-14.581074714660645,,,,,,,,,,,-6.14204216003418,-6.156529426574707,,,-5.75519323348999,-5.765550136566162,,,,,,,,,-5.941928863525391,-5.910632133483887,,,-5.4833173751831055,-5.509096622467041,,
