,crop,precision,recall,f1-score,support
2101,Rice,0.33850479873761025,0.5371179775091578,0.41528616616032393,296743.0
2204,Cassava,0.2435716562670631,0.3823995044905544,0.2975909642602017,807250.0
2205,Pineapple,0.31782316691885804,0.5588689945763556,0.4052083993680949,714833.0
2302,Rubber,0.917952078603803,0.4697616661052922,0.6214807621439745,12320950.0
2303,Oil palm,0.23549793778478353,0.592785867486297,0.3370821654427946,490953.0
2403,Durian,0.10058601634305694,0.5599545464824405,0.17053789073277986,353768.0
2404,Rambutan,0.008656973407308208,0.36851996867658576,0.01691655672941777,6385.0
2405,Coconut,0.007151222463710283,0.2762997490139835,0.01394160663176139,13945.0
2407,Mango,0.026636517014639576,0.1993214218106097,0.04699306845373991,68673.0
2413,Longan,0.0320613654169678,0.2680784074751168,0.05727304781795004,19692.0
2416,Jackfruit,0.021927315715211837,0.08047022601637394,0.03446364085889387,42873.0
2419,Mangosteen,0.037969317491779425,0.17157649495210975,0.06217869338436714,19315.0
2420,Langsat,0.005570053288305081,0.13781877373846987,0.010707360256302166,1843.0
micro avg,,0.5024016824377707,0.47349049360822887,0.48751783536350823,15157223.0
macro avg,,0.1764544938040844,0.3540748921794882,0.19151233248004634,15157223.0
weighted avg,,0.791029209370301,0.47349049360822887,0.5636607265232961,15157223.0
