LU_CODE,count,F0_mean,F0_median,F1_mean,F1_median,F2_mean,F2_median,F3_mean,F3_median,F4_mean,F4_median,F5_mean,F5_median,F6_mean,F6_median,F7_mean,F7_median,F8_mean,F8_median,F9_mean,F9_median,F10_mean,F10_median,F11_mean,F11_median,F12_mean,F12_median,F13_mean,F13_median,F14_mean,F14_median,F15_mean,F15_median,F16_mean,F16_median,F17_mean,F17_median,F18_mean,F18_median,F19_mean,F19_median,F20_mean,F20_median,F21_mean,F21_median,F22_mean,F22_median,F23_mean,F23_median,F24_mean,F24_median,F25_mean,F25_median,F26_mean,F26_median,F27_mean,F27_median,F28_mean,F28_median,F29_mean,F29_median,F30_mean,F30_median,F31_mean,F31_median,F32_mean,F32_median,F33_mean,F33_median,F34_mean,F34_median,F35_mean,F35_median,F36_mean,F36_median,F37_mean,F37_median,F38_mean,F38_median,F39_mean,F39_median,F40_mean,F40_median,F41_mean,F41_median,F42_mean,F42_median,F43_mean,F43_median,F44_mean,F44_median,F45_mean,F45_median,F46_mean,F46_median,F47_mean,F47_median,F48_mean,F48_median,F49_mean,F49_median,F50_mean,F50_median,F51_mean,F51_median,F52_mean,F52_median,F53_mean,F53_median,F54_mean,F54_median,F55_mean,F55_median,F56_mean,F56_median,F57_mean,F57_median,F58_mean,F58_median,F59_mean,F59_median,F60_mean,F60_median,F61_mean,F61_median,F62_mean,F62_median,F63_mean,F63_median,F64_mean,F64_median,F65_mean,F65_median,F66_mean,F66_median,F67_mean,F67_median,F68_mean,F68_median,F69_mean,F69_median,F70_mean,F70_median,F71_mean,F71_median,F72_mean,F72_median,F73_mean,F73_median,F74_mean,F74_median,F75_mean,F75_median,F76_mean,F76_median,F77_mean,F77_median,F78_mean,F78_median,F79_mean,F79_median,F80_mean,F80_median,F81_mean,F81_median,F82_mean,F82_median,F83_mean,F83_median,F84_mean,F84_median,F85_mean,F85_median,F86_mean,F86_median,F87_mean,F87_median,F88_mean,F88_median,F89_mean,F89_median,F90_mean,F90_median,F91_mean,F91_median,F92_mean,F92_median,F93_mean,F93_median,F94_mean,F94_median,F95_mean,F95_median,F96_mean,F96_median,F97_mean,F97_median,F98_mean,F98_median,F99_mean,F99_median,F100_mean,F100_median,F101_mean,F101_median,F102_mean,F102_median,F103_mean,F103_median,F104_mean,F104_median,F105_mean,F105_median,F106_mean,F106_median,F107_mean,F107_median,F108_mean,F108_median
2101,182335,168.56724548339844,156.61436462402344,,,,,,,,,4.887397289276123,4.073520660400391,,,4.806589603424072,4.008820533752441,,,,,,,,,4.893489360809326,4.038919925689697,,,4.70571231842041,3.9704174995422363,,,10.290925979614258,6.580184459686279,,,,,,,,,-0.610785961151123,-0.605105459690094,,,-0.6032737493515015,-0.6003413200378418,,,,,,,,,-0.6090587377548218,-0.6021813154220581,,,-0.5988532304763794,-0.5967079997062683,,,1.1522886753082275,0.7590541839599609,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,,,0.7761535048484802,0.5101327300071716,,,,,,,,,-9.4967622756958,-9.507795333862305,,,-9.670961380004883,-9.722967147827148,,,,,,,,,-9.810991287231445,-9.807242393493652,,,-10.04118824005127,-10.104333877563477,,,,,,,,,,,-6.402387619018555,-6.094005107879639,,,-6.314643859863281,-6.026845932006836,,,,,,,,,-6.387808799743652,-6.055153846740723,,,-6.243343830108643,-5.98062801361084,,,,,,,,,,,-15.899027824401855,-15.638917922973633,,,-15.985663414001465,-15.759001731872559,,,,,,,,,-16.198925018310547,-15.925413131713867,,,-16.28468132019043,-16.032413482666016,,,,,,,,,,,-6.402387619018555,-6.094005107879639,,,-6.314643859863281,-6.026845932006836,,,,,,,,,-6.387808799743652,-6.055153846740723,,,-6.243343830108643,-5.98062801361084,,
2204,592769,,,,,,,,,,,4.373181343078613,4.097357749938965,,,3.979125499725342,3.714891195297241,,,,,,,,,4.163580417633057,3.8999555110931396,,,3.8612778186798096,3.5977048873901367,,,,,,,,,,,,,-0.6063995361328125,-0.6070667505264282,,,-0.5750256180763245,-0.5754896998405457,,,,,,,,,-0.5904836654663086,-0.5911760926246643,,,-0.5646775364875793,-0.5642700791358948,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,-8.886134147644043,-8.941755294799805,,,-9.409147262573242,-9.497183799743652,,,,,,,,,-8.619104385375977,-8.635041236877441,,,-9.389334678649902,-9.477783203125,,,,,,,,,,,-6.214715957641602,-6.120075225830078,,,-5.795062065124512,-5.6966938972473145,,,,,,,,,-5.99767541885376,-5.9048638343811035,,,-5.661376476287842,-5.554265975952148,,,,,,,,,,,-15.100995063781738,-15.017125129699707,,,-15.203917503356934,-15.172508239746094,,,,,,,,,-14.616847038269043,-14.51203727722168,,,-15.050804138183594,-14.994546890258789,,,,,,,,,,,-6.214715957641602,-6.120075225830078,,,-5.795062065124512,-5.6966938972473145,,,,,,,,,-5.99767541885376,-5.9048638343811035,,,-5.661376476287842,-5.554265975952148,,
2205,593515,,,,,,,,,,,3.9641377925872803,3.7925398349761963,,,3.656355381011963,3.503235340118408,,,,,,,,,3.768373489379883,3.6208434104919434,,,3.5413033962249756,3.3877124786376953,,,,,,,,,,,,,-0.5798304677009583,-0.582140326499939,,,-0.5527921915054321,-0.5555712580680847,,,,,,,,,-0.5638654232025146,-0.566559374332428,,,-0.5414169430732727,-0.5434733629226685,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,-7.9040021896362305,-7.798109531402588,,,-8.242424011230469,-8.073071479797363,,,,,,,,,-7.515186786651611,-7.438410758972168,,,-8.171746253967285,-8.026687622070312,,,,,,,,,,,-5.833616256713867,-5.784748077392578,,,-5.483424186706543,-5.442128658294678,,,,,,,,,-5.6207194328308105,-5.582972526550293,,,-5.341590404510498,-5.293393611907959,,,,,,,,,,,-13.737529754638672,-13.509373664855957,,,-13.725800514221191,-13.456744194030762,,,,,,,,,-13.135878562927246,-12.971758842468262,,,-13.513662338256836,-13.298874855041504,,,,,,,,,,,-5.833616256713867,-5.784748077392578,,,-5.483424186706543,-5.442128658294678,,,,,,,,,-5.6207194328308105,-5.582972526550293,,,-5.341590404510498,-5.293393611907959,,
2302,9592380,,,,,,,,,,,4.564952373504639,4.480884552001953,,,4.160621166229248,4.030208110809326,,,,,,,,,4.4866790771484375,4.396030426025391,,,4.051087856292725,3.915156841278076,,,,,,,,,,,,,-0.5973684787750244,-0.6345848441123962,,,-0.5708231329917908,-0.6021353602409363,,,,,,,,,-0.5922498106956482,-0.6287598013877869,,,-0.5632081627845764,-0.5924642086029053,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,-8.020225524902344,-7.883100509643555,,,-8.390856742858887,-8.539701461791992,,,,,,,,,-7.746742248535156,-7.607200622558594,,,-8.430933952331543,-8.63508415222168,,,,,,,,,,,-6.630484580993652,-6.509121894836426,,,-6.055610179901123,-6.050996780395508,,,,,,,,,-6.526322841644287,-6.425333023071289,,,-5.903578758239746,-5.922186374664307,,,,,,,,,,,-15.315057754516602,-14.41064739227295,,,-15.413653373718262,-14.604133605957031,,,,,,,,,-14.86633014678955,-14.051101684570312,,,-15.369804382324219,-14.566152572631836,,,,,,,,,,,-6.630484580993652,-6.509121894836426,,,-6.055610179901123,-6.050996780395508,,,,,,,,,-6.526322841644287,-6.425333023071289,,,-5.903578758239746,-5.922186374664307,,
2303,449609,174.52398681640625,165.81797790527344,,,,,,,,,5.6003618240356445,5.465765953063965,,,5.266335964202881,5.143375396728516,,,,,,,,,5.288278102874756,5.157863616943359,,,5.088120937347412,4.960352897644043,,,58.34318542480469,57.97636795043945,,,,,,,,,-0.6813033223152161,-0.690214216709137,,,-0.663783848285675,-0.6741957664489746,,,,,,,,,-0.6664976477622986,-0.674647867679596,,,-0.6539300680160522,-0.6638504862785339,,,3.8724358081817627,3.0155296325683594,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,,,2.809683084487915,2.0148520469665527,,,,,,,,,-7.401613235473633,-7.300525188446045,,,-8.133909225463867,-8.07002067565918,,,,,,,,,-7.0772600173950195,-6.984241008758545,,,-8.153236389160156,-8.094016075134277,,,,,,,,,,,-7.328217029571533,-7.371939182281494,,,-7.053564548492432,-7.110092639923096,,,,,,,,,-7.085635185241699,-7.119378566741943,,,-6.901536464691162,-6.949627876281738,,,,,,,,,,,-14.730171203613281,-14.724332809448242,,,-15.187538146972656,-15.234549522399902,,,,,,,,,-14.163095474243164,-14.14101505279541,,,-15.05488109588623,-15.10258674621582,,,,,,,,,,,-7.328217029571533,-7.371939182281494,,,-7.053564548492432,-7.110092639923096,,,,,,,,,-7.085635185241699,-7.119378566741943,,,-6.901536464691162,-6.949627876281738,,
2403,326991,180.54769897460938,180.31246948242188,,,,,,,,,4.168237209320068,4.019374847412109,,,3.8683273792266846,3.760349750518799,,,,,,,,,4.033692836761475,3.891789674758911,,,3.7389869689941406,3.619338274002075,,,30.518888473510742,27.884668350219727,,,,,,,,,-0.5974761247634888,-0.6009320020675659,,,-0.5742053389549255,-0.5795536637306213,,,,,,,,,-0.5870870351791382,-0.5904494524002075,,,-0.562646210193634,-0.5663782358169556,,,5.084500312805176,4.1477813720703125,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,,,3.6351161003112793,2.810567855834961,,,,,,,,,-7.851672649383545,-7.765191078186035,,,-8.773384094238281,-8.664987564086914,,,,,,,,,-7.789378643035889,-7.6928277015686035,,,-8.90945816040039,-8.815276145935059,,,,,,,,,,,-6.064846992492676,-6.036322593688965,,,-5.749785423278809,-5.749797821044922,,,,,,,,,-5.923650741577148,-5.895666122436523,,,-5.60015344619751,-5.58096981048584,,,,,,,,,,,-13.916351318359375,-13.79924201965332,,,-14.523218154907227,-14.416359901428223,,,,,,,,,-13.7131986618042,-13.604785919189453,,,-14.509678840637207,-14.39419937133789,,,,,,,,,,,-6.064846992492676,-6.036322593688965,,,-5.749785423278809,-5.749797821044922,,,,,,,,,-5.923650741577148,-5.895666122436523,,,-5.60015344619751,-5.58096981048584,,
2404,5837,178.97854614257812,170.2037353515625,,,,,,,,,4.327691555023193,4.190855503082275,,,4.055695056915283,3.9719693660736084,,,,,,,,,4.001124858856201,3.8788840770721436,,,3.897859573364258,3.7980802059173584,,,20.81125831604004,15.66447639465332,,,,,,,,,-0.6092209815979004,-0.6140353083610535,,,-0.5909035205841064,-0.5975049734115601,,,,,,,,,-0.5848350524902344,-0.5892015099525452,,,-0.5773219466209412,-0.5821288228034973,,,3.5428249835968018,3.028472900390625,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,,,2.4547879695892334,2.090956449508667,,,,,,,,,-7.666454792022705,-7.571162700653076,,,-8.489745140075684,-8.392407417297363,,,,,,,,,-7.773011684417725,-7.759226322174072,,,-8.597244262695312,-8.498202323913574,,,,,,,,,,,-6.227174758911133,-6.21534538269043,,,-5.965673446655273,-5.987961292266846,,,,,,,,,-5.891919136047363,-5.879184246063232,,,-5.788181781768799,-5.7868876457214355,,,,,,,,,,,-13.893617630004883,-13.832234382629395,,,-14.45542049407959,-14.359193801879883,,,,,,,,,-13.664894104003906,-13.601664543151855,,,-14.385406494140625,-14.350054740905762,,,,,,,,,,,-6.227174758911133,-6.21534538269043,,,-5.965673446655273,-5.987961292266846,,,,,,,,,-5.891919136047363,-5.879184246063232,,,-5.788181781768799,-5.7868876457214355,,
2405,9270,170.48098754882812,157.55856323242188,,,,,,,,,4.660884380340576,4.52487850189209,,,4.563704967498779,4.41178035736084,,,,,,,,,4.617942810058594,4.499870300292969,,,4.3835906982421875,4.250502586364746,,,57.59384536743164,57.70329284667969,,,,,,,,,-0.6311249732971191,-0.6375726461410522,,,-0.6226911544799805,-0.6300525665283203,,,,,,,,,-0.6299780607223511,-0.6357313990592957,,,-0.6123261451721191,-0.6184089779853821,,,3.6548948287963867,3.2881736755371094,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,,,2.802800178527832,2.3897647857666016,,,,,,,,,-8.126768112182617,-8.11862564086914,,,-8.260276794433594,-8.174570083618164,,,,,,,,,-8.260186195373535,-8.274170875549316,,,-8.530296325683594,-8.537622451782227,,,,,,,,,,,-6.543436050415039,-6.553352355957031,,,-6.433809757232666,-6.442934513092041,,,,,,,,,-6.518332004547119,-6.5253143310546875,,,-6.276281356811523,-6.279561996459961,,,,,,,,,,,-14.670231819152832,-14.719255447387695,,,-14.694080352783203,-14.741289138793945,,,,,,,,,-14.778504371643066,-14.858882904052734,,,-14.806551933288574,-14.807733535766602,,,,,,,,,,,-6.543436050415039,-6.553352355957031,,,-6.433809757232666,-6.442934513092041,,,,,,,,,-6.518332004547119,-6.5253143310546875,,,-6.276281356811523,-6.279561996459961,,
2407,50750,,,,,,,,,,,4.495284557342529,4.349870681762695,,,4.3064985275268555,4.174361705780029,,,,,,,,,4.35034704208374,4.242920398712158,,,4.19351863861084,4.091485023498535,,,,,,,,,,,,,-0.6220436692237854,-0.6255950331687927,,,-0.6082596778869629,-0.6132184267044067,,,,,,,,,-0.6124945282936096,-0.617905855178833,,,-0.6007956266403198,-0.6065196990966797,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,-8.205248832702637,-8.176919937133789,,,-8.298417091369629,-8.160501480102539,,,,,,,,,-8.488438606262207,-8.44255542755127,,,-8.523938179016113,-8.415379524230957,,,,,,,,,,,-6.402492523193359,-6.37995719909668,,,-6.210899829864502,-6.203350067138672,,,,,,,,,-6.265007495880127,-6.271286487579346,,,-6.103816986083984,-6.112787246704102,,,,,,,,,,,-14.607664108276367,-14.557746887207031,,,-14.509320259094238,-14.411905288696289,,,,,,,,,-14.753556251525879,-14.679696083068848,,,-14.627778053283691,-14.530475616455078,,,,,,,,,,,-6.402492523193359,-6.37995719909668,,,-6.210899829864502,-6.203350067138672,,,,,,,,,-6.265007495880127,-6.271286487579346,,,-6.103816986083984,-6.112787246704102,,
2413,17637,200.6927490234375,218.61302185058594,,,,,,,,,4.271299839019775,4.140121936798096,,,3.888373374938965,3.779186964035034,,,,,,,,,4.057058811187744,3.9072790145874023,,,3.682542324066162,3.5861620903015137,,,30.53701400756836,22.82927703857422,,,,,,,,,-0.6043857932090759,-0.6103246212005615,,,-0.5763747692108154,-0.5812576413154602,,,,,,,,,-0.5893337726593018,-0.5917276740074158,,,-0.5566376447677612,-0.5633856058120728,,,3.9016733169555664,3.043625831604004,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,,,2.802562952041626,2.125408411026001,,,,,,,,,-7.793654441833496,-7.750594615936279,,,-8.904747009277344,-8.848292350769043,,,,,,,,,-7.779366493225098,-7.789910793304443,,,-9.161826133728027,-9.095723152160645,,,,,,,,,,,-6.16403865814209,-6.164789199829102,,,-5.775681972503662,-5.771722793579102,,,,,,,,,-5.95163631439209,-5.913761138916016,,,-5.527810096740723,-5.541721820831299,,,,,,,,,,,-13.957611083984375,-13.964729309082031,,,-14.680448532104492,-14.590245246887207,,,,,,,,,-13.73103141784668,-13.742975234985352,,,-14.689634323120117,-14.625591278076172,,,,,,,,,,,-6.16403865814209,-6.164789199829102,,,-5.775681972503662,-5.771722793579102,,,,,,,,,-5.95163631439209,-5.913761138916016,,,-5.527810096740723,-5.541721820831299,,
