,precision,recall,f1-score,support,train_unique_support,train_final_support,test_support
2403,0.585817765916889,0.7317142857142858,0.6506881219563837,10500.0,49000,49000,10500
2404,0.17156105100463678,0.43415906127770537,0.24593796159527326,767.0,3578,20000,767
2407,0.8264765784114053,0.8234577922077922,0.8249644236633462,2464.0,11499,20000,2464
2413,0.3785926660059465,0.366954851104707,0.3726829268292683,2082.0,9715,20000,2082
2416,0.49122807017543857,0.1314878892733564,0.2074478455839345,4046.0,18879,20000,4046
2419,0.41569282136894825,0.22422332282755517,0.29131324948815446,2221.0,10364,20000,2221
2420,0.11326860841423948,0.8974358974358975,0.20114942528735633,39.0,184,20000,39
accuracy,0.5368235453682354,0.5368235453682354,0.5368235453682354,0.5368235453682354,,,
macro avg,0.42609108018535774,0.5156332999773284,0.39916913634338813,22119.0,,,
weighted avg,0.543538229214539,0.5368235453682354,0.5119437329256576,22119.0,,,
