,Rice,Cassava,Pineapple,Para rubber,Oil palm,Durian,Rambutan,Coconut,Mango,Longan,Jackfruit,Mangosteen,Langsat,Reservoir,Others
Rice,64027,2908,1239,2030,691,4023,3086,1145,3280,748,507,354,653,4312,54551
Cassava,19561,274256,89178,15753,2965,20578,3906,3882,15543,2435,4432,842,1159,1811,103944
Pineapple,11540,96832,256682,7655,2056,12620,1682,1885,10768,1626,2596,1298,823,650,66876
Para rubber,106415,569192,466980,7438181,617498,517500,102849,143891,155053,60847,82164,41417,41191,12866,1604677
Oil palm,3282,15571,14413,12166,65435,25619,8944,2090,18796,36535,9261,8312,3376,1006,79550
Durian,1499,4581,2024,3567,682,53856,4399,339,3795,3631,3685,3820,2994,1158,36812
Rambutan,36,64,56,128,128,79,75,6,11,7,5,8,4,4,1207
Coconut,354,1099,909,1,2,491,123,54,1312,212,186,53,50,60,3742
Mango,338,3284,965,656,260,100,32,768,823,32,27,9,16,42,21296
Longan,85,338,86,258,98,290,21,59,40,290,28,43,34,50,2416
Jackfruit,251,887,486,800,402,813,61,94,168,142,440,84,87,54,2786
Mangosteen,167,105,158,150,60,268,48,13,35,53,18,139,38,36,4648
Langsat,4,8,5,61,23,10,0,1,1,0,0,1,48,0,302
Reservoir,3607,1516,2050,729,738,1297,433,370,2038,436,328,154,171,429851,34139
Others,153749,375434,169068,143396,56650,215514,61822,44730,129546,41034,23613,24437,27196,215975,5391525
