,Rice,Cassava,Pineapple,Para rubber,Oil palm,Durian,Rambutan,Coconut,Mango,Longan,Jackfruit,Mangosteen,Langsat,Reservoir,Others
Rice,0.446,0.0203,0.0086,0.0141,0.0048,0.028,0.0215,0.008,0.0228,0.0052,0.0035,0.0025,0.0045,0.03,0.38
Cassava,0.0349,0.4895,0.1592,0.0281,0.0053,0.0367,0.007,0.0069,0.0277,0.0043,0.0079,0.0015,0.0021,0.0032,0.1855
Pineapple,0.0243,0.2036,0.5397,0.0161,0.0043,0.0265,0.0035,0.004,0.0226,0.0034,0.0055,0.0027,0.0017,0.0014,0.1406
Para rubber,0.0089,0.0476,0.039,0.6219,0.0516,0.0433,0.0086,0.012,0.013,0.0051,0.0069,0.0035,0.0034,0.0011,0.1342
Oil palm,0.0108,0.0512,0.0474,0.04,0.215,0.0842,0.0294,0.0069,0.0618,0.12,0.0304,0.0273,0.0111,0.0033,0.2614
Durian,0.0118,0.0361,0.016,0.0281,0.0054,0.4246,0.0347,0.0027,0.0299,0.0286,0.0291,0.0301,0.0236,0.0091,0.2902
Rambutan,0.0198,0.0352,0.0308,0.0704,0.0704,0.0435,0.0413,0.0033,0.0061,0.0039,0.0028,0.0044,0.0022,0.0022,0.6639
Coconut,0.0409,0.1271,0.1051,0.0001,0.0002,0.0568,0.0142,0.0062,0.1517,0.0245,0.0215,0.0061,0.0058,0.0069,0.4327
Mango,0.0118,0.1146,0.0337,0.0229,0.0091,0.0035,0.0011,0.0268,0.0287,0.0011,0.0009,0.0003,0.0006,0.0015,0.7434
Longan,0.0206,0.0817,0.0208,0.0624,0.0237,0.0701,0.0051,0.0143,0.0097,0.0701,0.0068,0.0104,0.0082,0.0121,0.5841
Jackfruit,0.0332,0.1174,0.0643,0.1059,0.0532,0.1076,0.0081,0.0124,0.0222,0.0188,0.0582,0.0111,0.0115,0.0071,0.3688
Mangosteen,0.0281,0.0177,0.0266,0.0253,0.0101,0.0451,0.0081,0.0022,0.0059,0.0089,0.003,0.0234,0.0064,0.0061,0.783
Langsat,0.0086,0.0172,0.0108,0.1315,0.0496,0.0216,0.0,0.0022,0.0022,0.0,0.0,0.0022,0.1034,0.0,0.6509
Reservoir,0.0075,0.0032,0.0043,0.0015,0.0015,0.0027,0.0009,0.0008,0.0043,0.0009,0.0007,0.0003,0.0004,0.8995,0.0714
Others,0.0217,0.0531,0.0239,0.0203,0.008,0.0305,0.0087,0.0063,0.0183,0.0058,0.0033,0.0035,0.0038,0.0305,0.7622
