,Rice,Cassava,Pineapple,Para rubber,Oil palm,Durian,Rambutan,Coconut,Mango,Longan,Jackfruit,Mangosteen,Langsat,Reservoir,Others
Rice,0.2474,0.003,0.0019,0.0016,0.0029,0.0026,0.0,0.0084,0.0104,0.0055,0.0055,0.0013,0.0104,0.0065,0.0074
Cassava,0.0503,0.2444,0.1063,0.0112,0.0136,0.012,0.0312,0.0345,0.039,0.0181,0.033,0.0057,0.0097,0.0027,0.014
Pineapple,0.0325,0.0873,0.3088,0.0072,0.0119,0.0119,0.0045,0.0328,0.0315,0.009,0.0194,0.0061,0.0076,0.001,0.009
Para rubber,0.2039,0.3239,0.3426,0.912,0.4959,0.365,0.1339,0.522,0.2897,0.3685,0.4082,0.2458,0.2218,0.0193,0.2166
Oil palm,0.0084,0.012,0.015,0.005,0.2413,0.0369,0.0402,0.0469,0.0831,0.0937,0.0667,0.0375,0.0285,0.0015,0.0107
Durian,0.004,0.0039,0.0024,0.0039,0.0133,0.1548,0.0536,0.0143,0.0192,0.0698,0.1011,0.1145,0.0751,0.0017,0.005
Rambutan,0.0001,0.0,0.0,0.0,0.0002,0.0003,0.0045,0.0001,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0002
Coconut,0.0012,0.0009,0.0011,0.0001,0.0005,0.0014,0.0,0.004,0.0073,0.0024,0.0018,0.0011,0.0,0.0001,0.0005
Mango,0.0007,0.0028,0.0011,0.0002,0.0007,0.0003,0.0,0.0021,0.0184,0.0006,0.0008,0.0002,0.0007,0.0001,0.0029
Longan,0.0001,0.0002,0.0001,0.0001,0.0005,0.0013,0.0,0.0002,0.0003,0.0065,0.0005,0.003,0.0,0.0001,0.0003
Jackfruit,0.0006,0.0006,0.0004,0.0002,0.0009,0.0027,0.0045,0.0008,0.0012,0.0034,0.0174,0.0051,0.0035,0.0001,0.0004
Mangosteen,0.0005,0.0,0.0001,0.0,0.0003,0.0013,0.0045,0.0002,0.0,0.0018,0.001,0.0087,0.0007,0.0001,0.0006
Langsat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0021,0.0,0.0
Reservoir,0.0126,0.0012,0.0024,0.0005,0.0034,0.0014,0.0045,0.0038,0.0082,0.0044,0.003,0.0013,0.0007,0.6436,0.0046
Others,0.4375,0.3197,0.2178,0.0579,0.2145,0.4079,0.7188,0.33,0.4917,0.4164,0.3414,0.5695,0.6391,0.3234,0.7278
