,Rice,Cassava,Pineapple,Para rubber,Oil palm,Durian,Rambutan,Coconut,Mango,Longan,Jackfruit,Mangosteen,Langsat,Reservoir,Others,Forest
Rice,0.414,0.0193,0.0096,0.1111,0.0103,0.0034,0.0,0.0211,0.0005,0.0002,0.0003,0.0,0.0001,0.03,0.3704,0.0096
Cassava,0.0216,0.4084,0.1384,0.203,0.0125,0.004,0.0,0.0222,0.0005,0.0002,0.0004,0.0001,0.0,0.0032,0.1707,0.0148
Pineapple,0.0164,0.1718,0.4737,0.1528,0.0128,0.0047,0.0,0.0248,0.0004,0.0001,0.0003,0.0001,0.0,0.0014,0.1342,0.0064
Para rubber,0.0041,0.0254,0.0209,0.771,0.0212,0.0057,0.0,0.0157,0.0002,0.0002,0.0002,0.0001,0.0,0.0011,0.0565,0.0777
Oil palm,0.0066,0.037,0.036,0.1656,0.4058,0.0227,0.0,0.0555,0.0018,0.0019,0.0016,0.0007,0.0001,0.0033,0.0603,0.2011
Durian,0.0075,0.0284,0.0136,0.3124,0.0538,0.2284,0.0001,0.0405,0.001,0.0034,0.0058,0.0048,0.0009,0.0091,0.2094,0.0808
Rambutan,0.0116,0.0231,0.0198,0.1678,0.0693,0.0281,0.0006,0.0127,0.0,0.0,0.0006,0.0006,0.0,0.0022,0.2371,0.4268
Coconut,0.0335,0.0937,0.0905,0.1055,0.0304,0.0304,0.0,0.1667,0.0057,0.0017,0.0015,0.0007,0.0,0.0069,0.3583,0.0744
Mango,0.0063,0.0927,0.0272,0.0824,0.013,0.0022,0.0,0.0265,0.0043,0.0001,0.0002,0.0,0.0,0.0015,0.5523,0.191
Longan,0.0068,0.0513,0.0162,0.1782,0.0573,0.058,0.0,0.021,0.0005,0.0097,0.001,0.0039,0.0,0.0121,0.3677,0.2164
Jackfruit,0.0197,0.0795,0.0406,0.2911,0.0622,0.0668,0.0001,0.039,0.0011,0.0028,0.0168,0.0036,0.0007,0.0071,0.2283,0.1404
Mangosteen,0.0222,0.0067,0.0133,0.0817,0.0224,0.0416,0.0002,0.0118,0.0,0.0019,0.0012,0.0077,0.0002,0.0061,0.4808,0.3022
Langsat,0.0022,0.0172,0.0108,0.2478,0.0323,0.0194,0.0,0.0108,0.0,0.0,0.0022,0.0,0.0065,0.0,0.3254,0.3254
Reservoir,0.0064,0.0023,0.0036,0.0095,0.0036,0.0006,0.0,0.0028,0.0001,0.0001,0.0,0.0,0.0,0.8995,0.0515,0.02
Others,0.0206,0.0588,0.0312,0.1008,0.0151,0.0145,0.0,0.0225,0.0006,0.0004,0.0005,0.0005,0.0002,0.0419,0.6293,0.0629
Forest,0.0005,0.0012,0.0007,0.0379,0.0166,0.0015,0.0,0.0026,0.0001,0.0002,0.0001,0.0001,0.0,0.0021,0.0277,0.9088
