population,n_pixels,accuracy,kappa,f1_weighted,f1_macro
baseline/all,24323769,0.6633,0.5247,0.7062,0.2794
baseline/held_out,21180058,0.6599,0.4965,0.7141,0.2264
baseline/matched,303948,0.5138,0.4529,0.5245,0.3083
em_s2only/all,24323769,0.6908,0.5462,0.7244,0.2942
em_s2only/held_out,21180058,0.6965,0.5296,0.7378,0.2451
em_s2only/matched,303948,0.4929,0.4294,0.4925,0.2905
oracle_s2only/all,24323769,0.6902,0.5412,0.7232,0.2846
oracle_s2only/held_out,21180058,0.6989,0.5284,0.7392,0.243
oracle_s2only/matched,303948,0.4663,0.4014,0.4635,0.2722
em/all,24323769,0.7097,0.559,0.7275,0.2457
em/held_out,21180058,0.725,0.5552,0.7515,0.2187
em/matched,303948,0.4192,0.3487,0.3687,0.2205
oracle/all,24323769,0.7505,0.5982,0.7461,0.2891
oracle/held_out,21180058,0.7669,0.5973,0.7693,0.2619
oracle/matched,303948,0.4749,0.4008,0.4534,0.2618
