rule,econ_t,alpha,econ_recall,econ_precision,econ_f1,forest_f1,water_f1,others_f1,macro_f1,accuracy,kappa
baseline (saved),0.4,0.0,0.8529,0.8871,0.8696,0.7058,0.7504,0.6858,0.7529,0.806,0.6403
thresh,0.2,0.0,0.922,0.8243,0.8704,0.7255,0.7515,0.5667,0.7285,0.7974,0.5921
thresh,0.25,0.0,0.915,0.8352,0.8733,0.7232,0.7506,0.5968,0.736,0.8023,0.6069
thresh,0.3,0.0,0.9057,0.8462,0.8749,0.7201,0.7498,0.6225,0.7418,0.8057,0.6189
thresh,0.32,0.0,0.9011,0.8506,0.8751,0.7185,0.7494,0.6315,0.7436,0.8065,0.6227
thresh,0.34,0.0,0.896,0.8551,0.8751,0.7167,0.7491,0.64,0.7452,0.8071,0.6261
thresh,0.36,0.0,0.8907,0.8596,0.8749,0.715,0.7488,0.6479,0.7466,0.8074,0.629
thresh,0.38,0.0,0.8851,0.864,0.8744,0.7133,0.7486,0.6552,0.7479,0.8076,0.6316
thresh,0.4,0.0,0.8792,0.8685,0.8738,0.7117,0.7485,0.6619,0.749,0.8075,0.6338
thresh,0.45,0.0,0.8636,0.8795,0.8715,0.7081,0.7484,0.6764,0.7511,0.8066,0.6378
thresh,0.5,0.0,0.8529,0.8871,0.8696,0.7058,0.7484,0.6853,0.7523,0.8059,0.6401
thresh,0.6,0.0,0.8529,0.8871,0.8696,0.7058,0.7484,0.6853,0.7523,0.8059,0.6401
prior,,0.0,0.8529,0.8871,0.8696,0.7058,0.7504,0.6858,0.7529,0.806,0.6403
prior,,0.2,0.8634,0.8841,0.8737,0.719,0.7762,0.6895,0.7646,0.8124,0.6486
prior,,0.4,0.873,0.8811,0.877,0.7305,0.7973,0.6923,0.7743,0.8177,0.6551
prior,,0.552,0.8799,0.8787,0.8793,0.7384,0.8096,0.6938,0.7803,0.8211,0.6591
prior,,0.6,0.8819,0.8779,0.8799,0.7406,0.813,0.6941,0.7819,0.822,0.6602
prior,,0.8,0.8901,0.8745,0.8822,0.749,0.8244,0.6951,0.7877,0.8255,0.6639
prior,,0.858,0.8924,0.8735,0.8828,0.7511,0.8268,0.6953,0.789,0.8264,0.6646
prior,,1.0,0.8978,0.8709,0.8841,0.7555,0.8314,0.6954,0.7916,0.8282,0.6661
