,alpha=0.0,alpha=0.552,alpha=0.8,alpha=1.0,delta_0_to_1
Rice,0.59,0.6399,0.6594,0.6744,0.0844
Cassava,0.8112,0.8361,0.8458,0.8534,0.0422
Pineapple,0.858,0.8757,0.8829,0.8886,0.0306
Para rubber,0.8648,0.8903,0.9,0.9072,0.0424
Oil palm,0.7353,0.8139,0.8413,0.8606,0.1253
Durian,0.7007,0.7405,0.7562,0.768,0.0673
Rambutan,0.3339,0.4565,0.5061,0.5396,0.2057
Coconut,0.5604,0.5984,0.6163,0.6269,0.0665
Mango,0.2552,0.3178,0.3468,0.3708,0.1156
Longan,0.4038,0.4944,0.5237,0.5515,0.1477
Jackfruit,0.6241,0.6871,0.7136,0.733,0.1089
Mangosteen,0.2109,0.2869,0.3155,0.3396,0.1287
Langsat,0.3491,0.5065,0.5668,0.5927,0.2436
