LU_CODE,count,F0_mean,F0_median,F1_mean,F1_median,F2_mean,F2_median,F3_mean,F3_median,F4_mean,F4_median,F5_mean,F5_median,F6_mean,F6_median,F7_mean,F7_median,F8_mean,F8_median,F9_mean,F9_median,F10_mean,F10_median,F11_mean,F11_median,F12_mean,F12_median,F13_mean,F13_median,F14_mean,F14_median,F15_mean,F15_median,F16_mean,F16_median,F17_mean,F17_median,F18_mean,F18_median,F19_mean,F19_median,F20_mean,F20_median,F21_mean,F21_median,F22_mean,F22_median,F23_mean,F23_median
2101,206343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2204,679116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2205,630602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2302,10684953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2303,378237,,,-0.25928086042404175,-0.28671276569366455,,,,,0.5774917602539062,0.597750186920166,,,,,0.5304551720619202,0.5476996898651123,,,,,-0.2941626012325287,-0.32381975650787354,,,,,0.8020270466804504,0.8431606292724609,,,,,-0.7277867197990417,-0.7485390901565552,,,,,0.5661128163337708,0.5107770562171936,,,,,0.36155083775520325,0.3796096742153168,,
2403,295490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2404,4478,,,-0.17533047497272491,-0.19458141922950745,-0.15511715412139893,-0.17619481682777405,,,0.5208072066307068,0.5335659980773926,0.4827806055545807,0.49309980869293213,,,0.47036024928092957,0.480508416891098,0.4375115931034088,0.44244202971458435,,,-0.2149420827627182,-0.23484960198402405,-0.19456300139427185,-0.21684908866882324,,,0.7397196888923645,0.7740256786346436,0.7290003895759583,0.7639145851135254,,,-0.6793634295463562,-0.697893500328064,-0.6747507452964783,-0.6940693259239197,,,0.6642274856567383,0.6196274161338806,0.6952505707740784,0.6435866355895996,,,0.31527620553970337,0.3223142623901367,0.324041485786438,0.3274887204170227
2405,8082,,,-0.13145746290683746,-0.13558810949325562,-0.08498410135507584,-0.09310132265090942,,,0.46001049876213074,0.4567711651325226,0.4213307499885559,0.4209122061729431,,,0.4056316018104553,0.3979475200176239,0.36061692237854004,0.3574407696723938,,,-0.17921213805675507,-0.1831626147031784,-0.12762628495693207,-0.13754117488861084,,,0.6676691770553589,0.6880680322647095,0.6139618754386902,0.6341944932937622,,,-0.6254173517227173,-0.6326985955238342,-0.5834531188011169,-0.5881497263908386,,,0.7154561877250671,0.6903815269470215,0.7963379621505737,0.7581747770309448,,,0.2829396724700928,0.28964704275131226,0.2543350160121918,0.2596312165260315
2407,35703,,,,,-0.054345373064279556,-0.05667105317115784,,,,,0.4219137728214264,0.4311774671077728,,,,,0.3607044517993927,0.36842960119247437,,,,,-0.08630263805389404,-0.09006374329328537,,,,,0.6215254664421082,0.6472242474555969,,,,,-0.5845024585723877,-0.6019046306610107,,,,,0.8635517358779907,0.8347517848014832,,,,,0.26758864521980286,0.2768133878707886
2413,15831,,,-0.19188396632671356,-0.21863991022109985,,,,,0.5212613344192505,0.5402592420578003,,,,,0.4697507917881012,0.4868742823600769,,,,,-0.2318265587091446,-0.2608882784843445,,,,,0.7507294416427612,0.7858238816261292,,,,,-0.6900236010551453,-0.7086246013641357,,,,,0.6440472602844238,0.5861805081367493,,,,,0.3238304555416107,0.3338050842285156,,
2416,38505,,,-0.11857161670923233,-0.1250806450843811,,,,,0.4698374569416046,0.4811795651912689,,,,,0.42338892817497253,0.43131187558174133,,,,,-0.1576462835073471,-0.16577094793319702,,,,,0.7009984850883484,0.7265886664390564,,,,,-0.663796067237854,-0.6777551174163818,,,,,0.7544764876365662,0.7156000137329102,,,,,0.2919837534427643,0.29170098900794983,,
2419,12229,,,-0.19662970304489136,-0.21656233072280884,,,,,0.5003631114959717,0.5167812705039978,,,,,0.45420610904693604,0.46823805570602417,,,,,-0.23894140124320984,-0.2580855190753937,,,,,0.7457556128501892,0.7855468988418579,,,,,-0.6947383880615234,-0.718623161315918,,,,,0.6350191235542297,0.5897141695022583,,,,,0.3151286840438843,0.32310664653778076,,
2420,1370,-0.2072022557258606,-0.22757428884506226,-0.20451800525188446,-0.22426319122314453,-0.18525129556655884,-0.2113107144832611,0.568653404712677,0.5888886451721191,0.5387667417526245,0.5525462627410889,0.5256637930870056,0.5378724336624146,0.49684154987335205,0.5166864395141602,0.489638090133667,0.5047661662101746,0.4782814681529999,0.4879511296749115,-0.247298926115036,-0.2725929617881775,-0.239999920129776,-0.2599998712539673,-0.21945911645889282,-0.24125997722148895,0.7454109787940979,0.7754887342453003,0.7794371247291565,0.8167252540588379,0.7721491456031799,0.8000984191894531,-0.6733683347702026,-0.6951262354850769,-0.7110772728919983,-0.7310301065444946,-0.7089518308639526,-0.7278010845184326,0.6156765222549438,0.5715921521186829,0.6255263090133667,0.5872994065284729,0.6548707485198975,0.6112633943557739,0.33186522126197815,0.3393903076648712,0.32253050804138184,0.33153486251831055,0.3180767595767975,0.3240826427936554
