,precision,recall,f1-score,support,train_unique_support,train_final_support,test_support
2403,0.6404163052905464,0.7032380952380952,0.6703586019064911,10500.0,49000,49000,10500
2404,0.17252657399836469,0.41453831041257366,0.24364896073903003,509.0,2372,20000,509
2407,0.6457661881043071,0.7835051546391752,0.7079987150658529,2813.0,13127,20000,2813
2413,0.3963771976558338,0.37144283574638043,0.3835051546391753,2003.0,9346,20000,2003
2416,0.5832432432432433,0.2361050328227571,0.33613707165109036,4570.0,21327,21327,4570
2419,0.2915335463258786,0.23145212428662015,0.25804171085189115,1577.0,7359,20000,1577
2420,0.13709677419354838,0.8242424242424242,0.23509075194468454,165.0,772,20000,165
accuracy,0.5476351809188237,0.5476351809188237,0.5476351809188237,0.5476351809188237,,,
macro avg,0.40956568983024605,0.5092177110554323,0.40496870954260217,22137.0,,,
weighted avg,0.5678484906571541,0.5476351809188237,0.5377608538097585,22137.0,,,
