,Rice,Cassava,Pineapple,Para rubber,Oil palm,Durian,Rambutan,Coconut,Mango,Longan,Jackfruit,Mangosteen,Langsat,Reservoir,Others
Rice,0.4269,0.0323,0.0138,0.0857,0.0078,0.0184,0.0,0.0025,0.0016,0.0006,0.0005,0.0,0.0,0.03,0.38
Cassava,0.0191,0.4774,0.155,0.1289,0.0076,0.0178,0.0,0.0027,0.0017,0.0004,0.0006,0.0,0.0,0.0032,0.1855
Pineapple,0.0129,0.2006,0.5236,0.0905,0.0086,0.0162,0.0,0.0035,0.0014,0.0002,0.0005,0.0,0.0,0.0014,0.1406
Para rubber,0.0045,0.0391,0.0302,0.7564,0.0094,0.0211,0.0,0.0028,0.0005,0.0003,0.0003,0.0,0.0,0.0011,0.1342
Oil palm,0.0066,0.0506,0.0458,0.1678,0.3683,0.076,0.0,0.0104,0.0051,0.0025,0.0018,0.0002,0.0,0.0033,0.2614
Durian,0.0085,0.0422,0.0185,0.1792,0.0235,0.4173,0.0,0.003,0.002,0.0015,0.004,0.0009,0.0001,0.0091,0.2902
Rambutan,0.0154,0.0292,0.0281,0.1557,0.0473,0.0578,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0022,0.6639
Coconut,0.0341,0.1194,0.1167,0.0923,0.0318,0.0887,0.0,0.0541,0.0175,0.0025,0.0032,0.0,0.0,0.0069,0.4327
Mango,0.0057,0.1088,0.032,0.0789,0.0089,0.0082,0.0,0.0039,0.0085,0.0002,0.0002,0.0,0.0,0.0015,0.7434
Longan,0.0089,0.0803,0.0201,0.1378,0.0368,0.1035,0.0,0.0022,0.0012,0.0104,0.0019,0.0007,0.0,0.0121,0.5841
Jackfruit,0.0209,0.1149,0.056,0.2246,0.045,0.1391,0.0,0.0057,0.0029,0.0016,0.0118,0.0013,0.0003,0.0071,0.3688
Mangosteen,0.0239,0.0155,0.0217,0.0593,0.014,0.0694,0.0,0.0008,0.001,0.001,0.001,0.003,0.0002,0.0061,0.783
Langsat,0.0,0.0237,0.0129,0.2306,0.0108,0.0647,0.0,0.0,0.0,0.0,0.0,0.0,0.0065,0.0,0.6509
Reservoir,0.0066,0.0031,0.0045,0.0083,0.0031,0.0025,0.0,0.0004,0.0004,0.0001,0.0001,0.0,0.0,0.8995,0.0714
Others,0.015,0.0534,0.0261,0.0703,0.011,0.0267,0.0,0.0025,0.0013,0.0004,0.0004,0.0001,0.0,0.0305,0.7622
