,Rice,Cassava,Pineapple,Para rubber,Oil palm,Durian,Rambutan,Coconut,Mango,Longan,Jackfruit,Mangosteen,Langsat,Reservoir,Others
Rice,55629,4275,2095,21267,916,401,0,74,2,10,22,0,0,4312,54551
Cassava,6697,220146,76286,144883,3789,1964,0,664,5,16,39,1,0,1811,103944
Pineapple,4131,78096,220230,98141,4544,1882,0,1008,4,3,24,0,0,650,66876
Para rubber,28694,276568,229093,9661702,75526,53767,0,17132,42,321,324,7,2,12866,1604677
Oil palm,1344,10448,10349,83477,110367,6315,0,1388,17,42,49,4,0,1006,79550
Durian,594,3321,1665,52232,4746,25920,0,266,1,12,112,3,0,1158,36812
Rambutan,14,40,37,409,68,39,0,0,0,0,0,0,0,4,1207
Coconut,192,760,799,2210,395,231,0,257,1,1,0,0,0,60,3742
Mango,100,2551,771,3544,164,123,0,41,13,2,1,0,0,42,21296
Longan,18,191,65,930,182,267,0,8,0,8,0,1,0,50,2416
Jackfruit,97,563,284,2821,341,560,0,21,0,1,27,0,0,54,2786
Mangosteen,120,32,76,644,111,265,0,2,0,2,0,0,0,36,4648
Langsat,0,9,4,135,4,10,0,0,0,0,0,0,0,0,302
Reservoir,2694,1082,1801,6518,1434,266,0,66,2,2,2,0,0,429851,34139
Others,74403,294230,162099,789219,69630,69218,0,6464,80,241,520,82,3,215975,5391525
