,Rice,Cassava,Pineapple,Para rubber,Oil palm,Durian,Rambutan,Coconut,Mango,Longan,Jackfruit,Mangosteen,Langsat,Reservoir,Others,Forest
Rice,0.3184,0.0048,0.003,0.002,0.0034,0.0025,0.0,0.0027,0.012,0.0151,0.0196,0.0,0.0,0.0065,0.0126,0.0004
Cassava,0.0383,0.2467,0.1081,0.0133,0.0139,0.0122,0.0,0.0242,0.0299,0.0242,0.0348,0.0102,0.0,0.0027,0.0227,0.0026
Pineapple,0.0236,0.0875,0.3121,0.009,0.0167,0.0117,0.0,0.0368,0.024,0.0045,0.0214,0.0,0.0,0.001,0.0151,0.001
Para rubber,0.1642,0.3099,0.3247,0.889,0.2774,0.3335,0.0,0.6255,0.2515,0.4856,0.2893,0.0714,0.4,0.0193,0.1603,0.291
Oil palm,0.0077,0.0117,0.0147,0.0077,0.4054,0.0392,0.0,0.0507,0.1018,0.0635,0.0438,0.0408,0.0,0.0015,0.0044,0.0192
Durian,0.0034,0.0037,0.0024,0.0048,0.0174,0.1608,0.0,0.0097,0.006,0.0182,0.1,0.0306,0.0,0.0017,0.0063,0.0032
Rambutan,0.0001,0.0,0.0001,0.0,0.0002,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002
Coconut,0.0011,0.0009,0.0011,0.0002,0.0015,0.0014,0.0,0.0094,0.006,0.0015,0.0,0.0,0.0,0.0001,0.0007,0.0002
Mango,0.0006,0.0029,0.0011,0.0003,0.0006,0.0008,0.0,0.0015,0.0778,0.003,0.0009,0.0,0.0,0.0001,0.0038,0.0017
Longan,0.0001,0.0002,0.0001,0.0001,0.0007,0.0017,0.0,0.0003,0.0,0.0121,0.0,0.0102,0.0,0.0001,0.0004,0.0003
Jackfruit,0.0006,0.0006,0.0004,0.0003,0.0013,0.0035,0.0,0.0008,0.0,0.0015,0.0241,0.0,0.0,0.0001,0.0004,0.0003
Mangosteen,0.0007,0.0,0.0001,0.0001,0.0004,0.0016,0.0,0.0001,0.0,0.003,0.0,0.0,0.0,0.0001,0.0007,0.0006
Langsat,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reservoir,0.0154,0.0012,0.0026,0.0006,0.0053,0.0016,0.0,0.0024,0.012,0.003,0.0018,0.0,0.0,0.6436,0.0058,0.003
Others,0.4211,0.3271,0.2279,0.0637,0.1829,0.4101,0.0,0.2306,0.4731,0.3343,0.4509,0.7347,0.6,0.3169,0.7534,0.0994
Forest,0.0047,0.0026,0.0018,0.0089,0.0729,0.0192,0.0,0.0054,0.006,0.0303,0.0134,0.102,0.0,0.0064,0.0133,0.5769
