,Rice,Cassava,Pineapple,Para rubber,Oil palm,Durian,Rambutan,Coconut,Mango,Longan,Jackfruit,Mangosteen,Langsat,Reservoir,Others,Forest
Rice,0.3875,0.0298,0.0146,0.1481,0.0064,0.0028,0.0,0.0005,0.0,0.0001,0.0002,0.0,0.0,0.03,0.3704,0.0096
Cassava,0.012,0.3929,0.1362,0.2586,0.0068,0.0035,0.0,0.0012,0.0,0.0,0.0001,0.0,0.0,0.0032,0.1707,0.0148
Pineapple,0.0087,0.1642,0.4631,0.2064,0.0096,0.004,0.0,0.0021,0.0,0.0,0.0001,0.0,0.0,0.0014,0.1342,0.0064
Para rubber,0.0024,0.0231,0.0192,0.8078,0.0063,0.0045,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0011,0.0565,0.0777
Oil palm,0.0044,0.0343,0.034,0.2743,0.3626,0.0207,0.0,0.0046,0.0001,0.0001,0.0002,0.0,0.0,0.0033,0.0603,0.2011
Durian,0.0047,0.0262,0.0131,0.4118,0.0374,0.2043,0.0,0.0021,0.0,0.0001,0.0009,0.0,0.0,0.0091,0.2094,0.0808
Rambutan,0.0077,0.022,0.0204,0.225,0.0374,0.0215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022,0.2371,0.4268
Coconut,0.0222,0.0879,0.0924,0.2556,0.0457,0.0267,0.0,0.0297,0.0001,0.0001,0.0,0.0,0.0,0.0069,0.3583,0.0744
Mango,0.0035,0.089,0.0269,0.1237,0.0057,0.0043,0.0,0.0014,0.0005,0.0001,0.0,0.0,0.0,0.0015,0.5523,0.191
Longan,0.0044,0.0462,0.0157,0.2249,0.044,0.0646,0.0,0.0019,0.0,0.0019,0.0,0.0002,0.0,0.0121,0.3677,0.2164
Jackfruit,0.0128,0.0745,0.0376,0.3734,0.0451,0.0741,0.0,0.0028,0.0,0.0001,0.0036,0.0,0.0,0.0071,0.2283,0.1404
Mangosteen,0.0202,0.0054,0.0128,0.1085,0.0187,0.0446,0.0,0.0003,0.0,0.0003,0.0,0.0,0.0,0.0061,0.4808,0.3022
Langsat,0.0,0.0194,0.0086,0.2909,0.0086,0.0216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3254,0.3254
Reservoir,0.0056,0.0023,0.0038,0.0136,0.003,0.0006,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.8995,0.0515,0.02
Others,0.0146,0.0578,0.0319,0.1372,0.0099,0.0131,0.0,0.0013,0.0,0.0,0.0001,0.0,0.0,0.0419,0.6293,0.0629
Forest,0.0004,0.0012,0.0006,0.0478,0.0098,0.0015,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0021,0.0277,0.9088
