,Rice,Cassava,Pineapple,Para rubber,Oil palm,Durian,Rambutan,Coconut,Mango,Longan,Jackfruit,Mangosteen,Langsat,Reservoir,Others
Rice,0.3051,0.0046,0.0028,0.0018,0.0035,0.0028,0.0,0.0034,0.018,0.0165,0.018,0.0,0.0,0.0065,0.0074
Cassava,0.0391,0.2395,0.1054,0.012,0.0141,0.0132,0.0,0.024,0.0499,0.032,0.0373,0.0068,0.0,0.0027,0.014
Pineapple,0.0237,0.0853,0.3036,0.0079,0.0161,0.0124,0.0,0.0368,0.0374,0.0055,0.0248,0.0,0.0,0.001,0.009
Para rubber,0.1744,0.3243,0.3404,0.8963,0.2875,0.3604,0.0,0.6159,0.2399,0.4707,0.3242,0.0959,0.5,0.0193,0.2166
Oil palm,0.0078,0.0119,0.015,0.0073,0.3964,0.0407,0.0,0.0522,0.0832,0.0667,0.0453,0.0342,0.0,0.0015,0.0107
Durian,0.0036,0.0039,0.0025,0.0044,0.016,0.1463,0.0,0.0092,0.0111,0.0256,0.087,0.0205,0.0,0.0017,0.005
Rambutan,0.0001,0.0,0.0001,0.0,0.0002,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002
Coconut,0.0011,0.0008,0.0011,0.0002,0.0014,0.0016,0.0,0.0098,0.0042,0.0018,0.0006,0.0,0.0,0.0001,0.0005
Mango,0.0006,0.0028,0.0011,0.0003,0.0007,0.0008,0.0,0.0015,0.0416,0.0018,0.0012,0.0,0.0,0.0001,0.0029
Longan,0.0001,0.0002,0.0001,0.0001,0.0006,0.0014,0.0,0.0003,0.0,0.0091,0.0,0.0137,0.0,0.0001,0.0003
Jackfruit,0.0006,0.0007,0.0004,0.0002,0.0012,0.0031,0.0,0.0007,0.0,0.0027,0.0199,0.0,0.0,0.0001,0.0004
Mangosteen,0.0007,0.0,0.0001,0.0001,0.0004,0.0015,0.0,0.0001,0.0,0.0018,0.0,0.0,0.0,0.0001,0.0006
Langsat,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reservoir,0.0148,0.0012,0.0025,0.0006,0.0051,0.0017,0.0,0.0025,0.0153,0.0027,0.0031,0.0,0.0,0.6436,0.0046
Others,0.4282,0.3246,0.225,0.0688,0.2566,0.4139,0.0,0.2436,0.4993,0.3629,0.4385,0.8288,0.5,0.3234,0.7278
