alpha2,alpha3,econ13_macro_f1,classes_alive,crop_macro_f1_flat,flat15_macro_f1,accuracy,kappa,econ13_macro_precision,econ13_macro_recall
0.0,0.0,0.1678,12,0.1462,0.2264,0.6599,0.4965,0.1607,0.236
0.0,0.1,0.1723,13,0.1501,0.2297,0.6745,0.5117,0.1645,0.2388
0.0,0.2,0.1762,13,0.1535,0.2327,0.6835,0.5212,0.17,0.2397
0.0,0.3,0.1796,13,0.1564,0.2352,0.6889,0.5268,0.1774,0.2376
0.0,0.4,0.1822,13,0.1589,0.2373,0.692,0.5301,0.1866,0.2353
0.0,0.45,0.1833,13,0.1599,0.2382,0.6931,0.5312,0.1917,0.2342
0.0,0.5,0.1843,13,0.1608,0.239,0.6938,0.532,0.1972,0.2334
0.0,0.55,0.1849,13,0.1615,0.2396,0.6944,0.5326,0.2023,0.2321
0.0,0.552,0.1849,13,0.1615,0.2397,0.6945,0.5326,0.2025,0.232
0.0,0.6,0.1852,13,0.162,0.2401,0.6949,0.5331,0.2074,0.2308
0.0,0.65,0.1855,12,0.1624,0.2404,0.6952,0.5334,0.2121,0.2296
0.0,0.7,0.1854,12,0.1625,0.2405,0.6955,0.5336,0.2166,0.2285
0.0,0.8,0.1849,10,0.1625,0.2405,0.6958,0.5339,0.2236,0.2268
0.0,0.858,0.1851,10,0.1627,0.2407,0.696,0.534,0.229,0.2263
0.0,0.9,0.1851,9,0.1628,0.2408,0.696,0.534,0.2328,0.2259
0.0,1.0,0.1849,9,0.163,0.2409,0.6961,0.534,0.2322,0.2249
0.1,0.0,0.1721,13,0.1495,0.2292,0.6656,0.5025,0.1633,0.24
0.1,0.1,0.1772,13,0.1538,0.233,0.6808,0.5183,0.1676,0.2427
0.1,0.2,0.1818,13,0.1577,0.2364,0.6903,0.5283,0.1735,0.2434
0.1,0.3,0.1858,13,0.1611,0.2393,0.696,0.5344,0.1809,0.2414
0.1,0.4,0.1889,13,0.164,0.2418,0.6994,0.538,0.1898,0.2388
0.1,0.45,0.1902,13,0.1651,0.2428,0.7006,0.5392,0.1947,0.2379
0.1,0.5,0.1912,13,0.1662,0.2437,0.7015,0.5401,0.1996,0.2368
0.1,0.55,0.1918,13,0.1669,0.2443,0.7022,0.5408,0.2046,0.2355
0.1,0.552,0.1918,13,0.167,0.2444,0.7022,0.5408,0.2048,0.2355
0.1,0.6,0.1922,13,0.1675,0.2448,0.7027,0.5413,0.2093,0.2344
0.1,0.65,0.1925,13,0.1679,0.2452,0.7031,0.5416,0.2143,0.2335
0.1,0.7,0.1922,13,0.1679,0.2452,0.7034,0.5419,0.2181,0.2324
0.1,0.8,0.1918,10,0.168,0.2452,0.7038,0.5422,0.224,0.2307
0.1,0.858,0.1918,10,0.1682,0.2454,0.704,0.5423,0.2281,0.2301
0.1,0.9,0.1918,9,0.1683,0.2455,0.704,0.5424,0.2281,0.2297
0.1,1.0,0.1914,9,0.1683,0.2456,0.7041,0.5424,0.2314,0.2284
0.2,0.0,0.1764,13,0.1527,0.232,0.6711,0.5081,0.1662,0.2431
0.2,0.1,0.1819,13,0.1574,0.2361,0.6868,0.5245,0.1707,0.2458
0.2,0.2,0.187,13,0.1616,0.2397,0.6968,0.5351,0.1767,0.2465
0.2,0.3,0.1914,13,0.1652,0.2429,0.7029,0.5416,0.1841,0.2444
0.2,0.4,0.1948,13,0.1682,0.2455,0.7067,0.5455,0.1924,0.2418
0.2,0.45,0.1963,13,0.1696,0.2466,0.708,0.5469,0.1969,0.2409
0.2,0.5,0.1972,13,0.1706,0.2475,0.709,0.5479,0.2014,0.2394
0.2,0.55,0.1979,13,0.1714,0.2482,0.7098,0.5486,0.206,0.2383
0.2,0.552,0.1979,13,0.1715,0.2483,0.7098,0.5487,0.2062,0.2383
0.2,0.6,0.1983,13,0.1721,0.2488,0.7104,0.5492,0.2104,0.2373
0.2,0.65,0.1986,13,0.1726,0.2492,0.7108,0.5497,0.2154,0.2363
0.2,0.7,0.198,12,0.1724,0.249,0.7112,0.55,0.2177,0.2351
0.2,0.8,0.1979,10,0.1727,0.2493,0.7117,0.5504,0.2225,0.2335
0.2,0.858,0.1978,10,0.1728,0.2494,0.7119,0.5505,0.2256,0.2327
0.2,0.9,0.1978,10,0.1729,0.2495,0.712,0.5505,0.2285,0.2322
0.2,1.0,0.1973,9,0.1729,0.2495,0.7121,0.5505,0.2307,0.2309
0.3,0.0,0.1806,13,0.1559,0.2348,0.6764,0.5133,0.1695,0.2457
0.3,0.1,0.1865,13,0.1607,0.239,0.6928,0.5305,0.1741,0.2483
0.3,0.2,0.192,13,0.1652,0.2428,0.7033,0.5417,0.1802,0.2489
0.3,0.3,0.1967,13,0.169,0.2461,0.7099,0.5487,0.1874,0.2468
0.3,0.4,0.2004,13,0.1721,0.2488,0.714,0.553,0.1953,0.244
0.3,0.45,0.2019,13,0.1736,0.2501,0.7154,0.5545,0.1998,0.243
0.3,0.5,0.203,13,0.1747,0.2511,0.7166,0.5556,0.2044,0.2416
0.3,0.55,0.2036,13,0.1755,0.2518,0.7174,0.5565,0.2088,0.2402
0.3,0.552,0.2037,13,0.1756,0.2518,0.7175,0.5565,0.2091,0.2402
0.3,0.6,0.2042,13,0.1763,0.2525,0.7181,0.5571,0.2138,0.2392
0.3,0.65,0.2046,13,0.177,0.2531,0.7187,0.5576,0.2212,0.2382
0.3,0.7,0.204,12,0.1768,0.2529,0.7191,0.558,0.2214,0.2368
0.3,0.8,0.2037,10,0.1769,0.253,0.7197,0.5585,0.2232,0.2349
0.3,0.858,0.2034,10,0.177,0.253,0.7199,0.5586,0.2255,0.234
0.3,0.9,0.2032,10,0.177,0.2531,0.7201,0.5587,0.228,0.2333
0.3,1.0,0.2026,9,0.177,0.253,0.7203,0.5587,0.2318,0.2318
0.4,0.0,0.1847,13,0.1589,0.2374,0.6814,0.5181,0.1734,0.2466
0.4,0.1,0.191,13,0.164,0.2418,0.6986,0.5362,0.1781,0.249
0.4,0.2,0.1968,13,0.1685,0.2457,0.7098,0.5481,0.1841,0.2494
0.4,0.3,0.2016,13,0.1724,0.2491,0.7169,0.5556,0.1912,0.2472
0.4,0.4,0.2051,13,0.1754,0.2517,0.7213,0.5603,0.1987,0.2442
0.4,0.45,0.2066,13,0.1767,0.2528,0.7229,0.5619,0.2026,0.243
0.4,0.5,0.2078,13,0.1779,0.2538,0.7242,0.5632,0.2071,0.2417
0.4,0.55,0.2083,13,0.1786,0.2545,0.7252,0.5642,0.2106,0.2401
0.4,0.552,0.2082,12,0.1786,0.2544,0.7252,0.5642,0.2094,0.24
0.4,0.6,0.2088,12,0.1794,0.2551,0.726,0.5649,0.2128,0.2389
0.4,0.65,0.2092,12,0.18,0.2557,0.7266,0.5655,0.2166,0.2378
0.4,0.7,0.2088,11,0.1801,0.2557,0.7271,0.5659,0.218,0.2365
0.4,0.8,0.2086,10,0.1804,0.256,0.7278,0.5665,0.2234,0.2343
0.4,0.858,0.2083,10,0.1805,0.2561,0.7281,0.5667,0.2259,0.2333
0.4,0.9,0.208,10,0.1804,0.256,0.7283,0.5668,0.2279,0.2325
0.4,1.0,0.2072,10,0.1802,0.2559,0.7286,0.5668,0.2323,0.2309
0.45,0.0,0.1868,13,0.1605,0.2388,0.6838,0.5203,0.1757,0.2458
0.45,0.1,0.1932,13,0.1656,0.2432,0.7016,0.5389,0.1804,0.2482
0.45,0.2,0.1991,13,0.1702,0.2471,0.7131,0.5512,0.1864,0.2485
0.45,0.3,0.2039,13,0.174,0.2505,0.7204,0.559,0.1933,0.2462
0.45,0.4,0.2073,13,0.1769,0.253,0.7251,0.5639,0.2006,0.2433
0.45,0.45,0.2087,12,0.1781,0.254,0.7267,0.5656,0.2039,0.2421
0.45,0.5,0.2097,12,0.1792,0.255,0.7281,0.5669,0.2076,0.2407
0.45,0.55,0.2102,12,0.1799,0.2556,0.7291,0.568,0.2107,0.2392
0.45,0.552,0.2103,12,0.18,0.2557,0.7292,0.568,0.2109,0.2391
0.45,0.6,0.2108,12,0.1808,0.2563,0.73,0.5688,0.2141,0.238
0.45,0.65,0.2112,12,0.1813,0.2568,0.7306,0.5694,0.2175,0.2368
0.45,0.7,0.2111,10,0.1816,0.257,0.7312,0.5699,0.2189,0.2357
0.45,0.8,0.2109,10,0.182,0.2574,0.732,0.5705,0.2235,0.2334
0.45,0.858,0.2107,10,0.1821,0.2575,0.7323,0.5707,0.2267,0.2323
0.45,0.9,0.2103,10,0.182,0.2574,0.7325,0.5708,0.2287,0.2315
0.45,1.0,0.2095,10,0.1818,0.2572,0.7328,0.5709,0.2334,0.2297
0.5,0.0,0.1888,13,0.1621,0.2401,0.6862,0.5224,0.1784,0.2448
0.5,0.1,0.1954,13,0.1672,0.2446,0.7045,0.5416,0.183,0.247
0.5,0.2,0.2014,13,0.1718,0.2486,0.7164,0.5543,0.189,0.2472
0.5,0.3,0.2062,13,0.1756,0.2519,0.7239,0.5623,0.196,0.245
0.5,0.4,0.2095,12,0.1784,0.2543,0.7288,0.5674,0.2029,0.2421
0.5,0.45,0.2109,12,0.1797,0.2554,0.7305,0.5692,0.2063,0.2408
0.5,0.5,0.2119,12,0.1807,0.2563,0.7319,0.5706,0.2099,0.2394
0.5,0.55,0.2123,12,0.1814,0.2568,0.733,0.5717,0.2128,0.2377
0.5,0.552,0.2124,12,0.1814,0.2569,0.7331,0.5718,0.213,0.2377
0.5,0.6,0.2129,12,0.1822,0.2576,0.7339,0.5726,0.2164,0.2366
0.5,0.65,0.2132,12,0.1827,0.258,0.7347,0.5733,0.2197,0.2353
0.5,0.7,0.213,10,0.1829,0.2582,0.7353,0.5738,0.2204,0.234
0.5,0.8,0.213,10,0.1835,0.2587,0.7361,0.5745,0.2248,0.2318
0.5,0.858,0.2128,10,0.1836,0.2588,0.7365,0.5748,0.2279,0.2306
0.5,0.9,0.2125,10,0.1835,0.2587,0.7367,0.5749,0.2299,0.2298
0.5,1.0,0.2116,10,0.1833,0.2585,0.737,0.575,0.2346,0.228
0.55,0.0,0.1909,13,0.1637,0.2415,0.6884,0.5243,0.1815,0.2429
0.55,0.1,0.1977,13,0.1689,0.2461,0.7073,0.5442,0.1861,0.2451
0.55,0.2,0.2037,13,0.1736,0.2501,0.7196,0.5572,0.1921,0.2453
0.55,0.3,0.2084,13,0.1773,0.2533,0.7274,0.5656,0.1991,0.2429
0.55,0.4,0.2116,12,0.1799,0.2556,0.7325,0.5709,0.2054,0.2401
0.55,0.45,0.2131,12,0.1813,0.2567,0.7343,0.5727,0.2092,0.2389
0.55,0.5,0.2141,12,0.1823,0.2576,0.7358,0.5742,0.2129,0.2375
0.55,0.55,0.2144,12,0.1829,0.2582,0.7369,0.5754,0.2158,0.2359
0.55,0.552,0.2144,12,0.1829,0.2582,0.737,0.5755,0.2159,0.2358
0.55,0.6,0.215,12,0.1837,0.2588,0.7379,0.5763,0.2194,0.2347
0.55,0.65,0.2153,12,0.1842,0.2593,0.7387,0.5771,0.2228,0.2334
0.55,0.7,0.2151,10,0.1843,0.2594,0.7393,0.5776,0.2227,0.2321
0.55,0.8,0.2151,10,0.1849,0.2599,0.7402,0.5784,0.2266,0.2297
0.55,0.858,0.2149,10,0.185,0.26,0.7406,0.5787,0.2298,0.2284
0.55,0.9,0.2146,10,0.185,0.26,0.7409,0.5788,0.2318,0.2276
0.55,1.0,0.2138,10,0.1848,0.2598,0.7413,0.579,0.2367,0.2257
0.552,0.0,0.191,13,0.1637,0.2416,0.6885,0.5244,0.1816,0.2429
0.552,0.1,0.1978,13,0.169,0.2461,0.7075,0.5443,0.1862,0.245
0.552,0.2,0.2038,13,0.1736,0.2501,0.7197,0.5573,0.1923,0.2452
0.552,0.3,0.2085,13,0.1774,0.2534,0.7276,0.5657,0.1992,0.2429
0.552,0.4,0.2117,12,0.18,0.2557,0.7326,0.571,0.2055,0.2401
0.552,0.45,0.2132,12,0.1813,0.2568,0.7344,0.5729,0.2093,0.2388
0.552,0.5,0.2142,12,0.1824,0.2577,0.7359,0.5744,0.2131,0.2375
0.552,0.55,0.2145,12,0.1829,0.2582,0.7371,0.5756,0.2159,0.2358
0.552,0.552,0.2145,12,0.183,0.2582,0.7371,0.5756,0.2161,0.2357
0.552,0.6,0.2151,12,0.1837,0.2589,0.7381,0.5765,0.2195,0.2346
0.552,0.65,0.2154,12,0.1842,0.2593,0.7388,0.5772,0.223,0.2333
0.552,0.7,0.2152,10,0.1843,0.2594,0.7395,0.5778,0.2228,0.232
0.552,0.8,0.2152,10,0.1849,0.2599,0.7404,0.5786,0.2267,0.2296
0.552,0.858,0.2149,10,0.185,0.26,0.7408,0.5788,0.2298,0.2283
0.552,0.9,0.2147,10,0.185,0.26,0.741,0.579,0.2319,0.2275
0.552,1.0,0.2139,10,0.1848,0.2599,0.7414,0.5791,0.2368,0.2256
0.6,0.0,0.1927,13,0.1651,0.2428,0.6905,0.526,0.1849,0.2402
0.6,0.1,0.1996,13,0.1705,0.2474,0.7101,0.5465,0.1895,0.2422
0.6,0.2,0.2057,13,0.1751,0.2514,0.7227,0.5599,0.1956,0.2423
0.6,0.3,0.2102,13,0.1787,0.2546,0.7308,0.5686,0.2025,0.2399
0.6,0.4,0.2134,12,0.1814,0.2568,0.736,0.5741,0.2086,0.2374
0.6,0.45,0.2148,12,0.1826,0.2579,0.7379,0.576,0.2124,0.2361
0.6,0.5,0.2159,12,0.1836,0.2588,0.7394,0.5776,0.2163,0.2349
0.6,0.55,0.2163,12,0.1843,0.2594,0.7407,0.5788,0.2192,0.2333
0.6,0.552,0.2163,12,0.1843,0.2594,0.7407,0.5789,0.2194,0.2333
0.6,0.6,0.2169,12,0.185,0.26,0.7417,0.5798,0.2231,0.232
0.6,0.65,0.2171,12,0.1855,0.2604,0.7425,0.5806,0.2268,0.2307
0.6,0.7,0.2168,10,0.1855,0.2604,0.7432,0.5812,0.2253,0.2293
0.6,0.8,0.2169,10,0.1861,0.261,0.7442,0.582,0.229,0.2269
0.6,0.858,0.2168,10,0.1863,0.2611,0.7446,0.5823,0.2321,0.2256
0.6,0.9,0.2165,10,0.1863,0.2611,0.7449,0.5825,0.2342,0.2247
0.6,1.0,0.2157,10,0.1861,0.261,0.7453,0.5827,0.239,0.2226
0.65,0.0,0.1942,13,0.1664,0.2439,0.6923,0.5274,0.1887,0.2369
0.65,0.1,0.2012,13,0.1718,0.2486,0.7126,0.5486,0.1933,0.2387
0.65,0.2,0.2072,13,0.1764,0.2526,0.7256,0.5624,0.1993,0.2387
0.65,0.3,0.2116,13,0.1799,0.2556,0.734,0.5713,0.2061,0.2365
0.65,0.4,0.215,12,0.1826,0.2579,0.7394,0.577,0.2123,0.2344
0.65,0.45,0.2162,12,0.1838,0.2589,0.7413,0.579,0.216,0.233
0.65,0.5,0.2172,12,0.1847,0.2597,0.7429,0.5806,0.2198,0.2316
