crop,lu_code,true_px,recall_after_stage1,recall_after_stage2,recall_final,lost_at_stage1,lost_at_stage2,lost_at_stage3
Rice,2101,49838,0.7941,0.3446,0.3066,0.2059,0.4496,0.038
Cassava,2204,178464,0.8899,0.4881,0.2889,0.1101,0.4018,0.1992
Pineapple,2205,139979,0.9351,0.6173,0.5168,0.0649,0.3178,0.1005
Rubber,2302,3235887,0.9474,0.8754,0.8743,0.0526,0.0721,0.0011
OilPalm,2303,89353,0.919,0.6419,0.4028,0.081,0.2771,0.2392
Durian,2403,73052,0.9093,0.3528,0.352,0.0907,0.5565,0.0008
Rambutan,2404,1625,0.8665,0.1378,0.0,0.1335,0.7286,0.1378
Coconut,2405,2947,0.679,0.2579,0.0,0.321,0.4211,0.2579
Mango,2407,13346,0.6445,0.0364,0.0187,0.3555,0.6081,0.0177
Longan,2413,1709,0.928,0.3183,0.0,0.072,0.6097,0.3183
Jackfruit,2416,10054,0.955,0.2051,0.0004,0.045,0.75,0.2047
Mangosteen,2419,4122,0.8702,0.2763,0.0027,0.1298,0.5939,0.2737
Langsat,2420,191,0.6806,0.1414,0.0,0.3194,0.5393,0.1414
