stage,class,half,n,pred_prevalence,obs_prevalence,prev_ratio,ece,brier
stage1 (superclass),economic,cal,2195222,0.642682,0.647841,0.992,0.0347,0.113754
stage1 (superclass),water,cal,2195222,0.006933,0.004588,1.5111,0.00234,0.004601
stage1 (superclass),others,cal,2195222,0.220658,0.224224,0.9841,0.0195,0.095504
stage1 (superclass),forest,cal,2195222,0.129727,0.123347,1.0517,0.00821,0.045081
stage1 (superclass),economic,tune,1785984,0.630787,0.601805,1.0482,0.05182,0.12104
stage1 (superclass),water,tune,1785984,0.006237,0.005638,1.1061,0.00237,0.005601
stage1 (superclass),others,tune,1785984,0.287378,0.333863,0.8608,0.04933,0.116598
stage1 (superclass),forest,tune,1785984,0.075599,0.058694,1.288,0.0169,0.03407
stage2 (subclass + sink),orchards,cal,1578566,0.037123,0.029479,1.2593,0.00764,0.023082
stage2 (subclass + sink),plantation,cal,1578566,0.673642,0.685442,0.9828,0.04995,0.112032
stage2 (subclass + sink),field,cal,1578566,0.123297,0.122936,1.0029,0.01123,0.060711
stage2 (subclass + sink),sink,cal,1578566,0.165939,0.162143,1.0234,0.01778,0.098887
stage2 (subclass + sink),orchards,tune,1259489,0.045924,0.04852,0.9465,0.00428,0.032845
stage2 (subclass + sink),plantation,tune,1259489,0.647593,0.639545,1.0126,0.05209,0.121342
stage2 (subclass + sink),field,tune,1259489,0.12373,0.111774,1.107,0.01695,0.06863
stage2 (subclass + sink),sink,tune,1259489,0.182752,0.200161,0.913,0.02202,0.118375
stage3 orchards,Durian,cal,46535,0.742856,0.755646,0.9831,0.04339,0.131382
stage3 orchards,Rambutan,cal,46535,0.006455,0.005265,1.226,0.00152,0.004723
stage3 orchards,Mango,cal,46535,0.107535,0.099237,1.0836,0.03006,0.041587
stage3 orchards,Longan,cal,46535,0.049214,0.048179,1.0215,0.00634,0.044604
stage3 orchards,Jackfruit,cal,46535,0.065296,0.065069,1.0035,0.00867,0.057664
stage3 orchards,Mangosteen,cal,46535,0.028558,0.026539,1.0761,0.00256,0.024841
stage3 orchards,Langsat,cal,46535,8.6e-05,6.4e-05,1.3349,2e-05,6.4e-05
stage3 orchards,Durian,tune,61110,0.770488,0.8883,0.8674,0.11863,0.109248
stage3 orchards,Rambutan,tune,61110,0.008545,0.008329,1.0259,0.00097,0.007404
stage3 orchards,Mango,tune,61110,0.071328,0.029341,2.431,0.04199,0.030056
stage3 orchards,Longan,tune,61110,0.054232,0.015169,3.5751,0.03906,0.017011
stage3 orchards,Jackfruit,tune,61110,0.069178,0.038521,1.7959,0.03066,0.03926
stage3 orchards,Mangosteen,tune,61110,0.026128,0.020291,1.2876,0.00584,0.019958
stage3 orchards,Langsat,tune,61110,0.000102,4.9e-05,2.0794,5e-05,4.9e-05
stage3 plantation,Rubber,cal,1082015,0.963232,0.962907,1.0003,0.00343,0.012719
stage3 plantation,OilPalm,cal,1082015,0.035138,0.035975,0.9767,0.00292,0.011882
stage3 plantation,Coconut,cal,1082015,0.001629,0.001118,1.4571,0.00051,0.00112
stage3 plantation,Rubber,tune,805500,0.948048,0.870397,1.0892,0.07765,0.089513
stage3 plantation,OilPalm,tune,805500,0.050206,0.128941,0.3894,0.07873,0.089495
stage3 plantation,Coconut,tune,805500,0.001745,0.000662,2.6374,0.00108,0.000686
stage3 field,Rice,cal,194063,0.087175,0.093341,0.9339,0.01288,0.029463
stage3 field,Cassava,cal,194063,0.407177,0.405894,1.0032,0.03467,0.175854
stage3 field,Pineapple,cal,194063,0.505648,0.500765,1.0098,0.04404,0.170679
stage3 field,Rice,tune,140778,0.174639,0.230398,0.758,0.05576,0.061256
stage3 field,Cassava,tune,140778,0.372254,0.435622,0.8545,0.0644,0.176714
stage3 field,Pineapple,tune,140778,0.453106,0.33398,1.3567,0.11913,0.167207
