class,within,cal,tune,test,max_over_min
Durian,orchards,0.698571,0.876043,0.701755,1.254
Rambutan,orchards,0.006732,0.008894,0.01561,2.319
Mango,orchards,0.163047,0.044038,0.128205,3.702
Longan,orchards,0.045326,0.014101,0.016417,3.214
Jackfruit,orchards,0.059202,0.036344,0.096581,2.657
Mangosteen,orchards,0.027052,0.02045,0.039597,1.936
Langsat,orchards,7.2e-05,0.00013,0.001835,25.553
Rubber,plantation,0.96099,0.869039,0.972267,1.119
OilPalm,plantation,0.037305,0.130137,0.026847,4.847
Coconut,plantation,0.001705,0.000825,0.000885,2.068
Rice,field,0.097723,0.279002,0.135326,2.855
Cassava,field,0.407191,0.414138,0.484586,1.19
Pineapple,field,0.495086,0.306859,0.380087,1.613
economic,all,0.647841,0.601805,0.690978,1.148
water,all,0.004588,0.005638,0.00701,1.528
others,all,0.224224,0.333863,0.194977,1.712
forest,all,0.123347,0.058694,0.107035,2.102
