alpha2,alpha3,cal_macro_f1,cal_alive,tune_macro_f1,tune_alive
0.0,0.0,0.253,8,0.2067,7
0.0,0.1,0.2539,8,0.2079,7
0.0,0.2,0.2544,8,0.2091,7
0.0,0.3,0.2557,8,0.2116,9
0.0,0.4,0.2563,8,0.2123,10
0.0,0.5,0.2584,9,0.2124,10
0.0,0.6,0.2579,10,0.213,10
0.0,0.7,0.2559,9,0.2127,10
0.0,0.8,0.251,9,0.2102,10
0.0,0.9,0.2401,9,0.2,10
0.0,1.0,0.2171,10,0.1804,10
0.0,1.1,0.1931,9,0.1644,10
0.0,1.2,0.175,7,0.1474,8
0.1,0.0,0.2551,9,0.2092,7
0.1,0.1,0.2562,9,0.2104,7
0.1,0.2,0.257,9,0.2117,7
0.1,0.3,0.2587,9,0.2141,9
0.1,0.4,0.26,9,0.2149,10
0.1,0.5,0.2631,11,0.2155,10
0.1,0.6,0.263,11,0.2163,10
0.1,0.7,0.2612,10,0.2163,10
0.1,0.8,0.2558,10,0.2135,10
0.1,0.9,0.2446,10,0.2027,10
0.1,1.0,0.2207,10,0.1812,11
0.1,1.1,0.1961,10,0.1645,10
0.1,1.2,0.1778,9,0.1472,9
0.2,0.0,0.2551,9,0.2099,7
0.2,0.1,0.2564,9,0.2112,7
0.2,0.2,0.2574,9,0.2125,7
0.2,0.3,0.2594,9,0.215,9
0.2,0.4,0.2611,9,0.2162,10
0.2,0.5,0.2647,11,0.2168,10
0.2,0.6,0.2652,10,0.2177,10
0.2,0.7,0.2638,10,0.2179,10
0.2,0.8,0.2584,10,0.2153,10
0.2,0.9,0.2469,10,0.2042,10
0.2,1.0,0.2225,10,0.1813,11
0.2,1.1,0.1975,10,0.1635,10
0.2,1.2,0.1788,9,0.1462,9
0.3,0.0,0.2536,10,0.2089,7
0.3,0.1,0.255,10,0.2101,7
0.3,0.2,0.2561,10,0.2116,8
0.3,0.3,0.2583,10,0.214,9
0.3,0.4,0.2603,10,0.2153,10
0.3,0.5,0.2643,10,0.216,10
0.3,0.6,0.2652,10,0.2173,10
0.3,0.7,0.2644,10,0.2179,10
0.3,0.8,0.2588,10,0.2151,10
0.3,0.9,0.2475,10,0.2039,10
0.3,1.0,0.2233,10,0.1802,11
0.3,1.1,0.198,10,0.1618,11
0.3,1.2,0.1792,9,0.1447,9
0.4,0.0,0.2508,10,0.2065,7
0.4,0.1,0.2522,10,0.2076,7
0.4,0.2,0.2534,10,0.2096,9
0.4,0.3,0.2557,10,0.2121,9
0.4,0.4,0.2578,10,0.2135,10
0.4,0.5,0.262,10,0.2144,10
0.4,0.6,0.2634,10,0.2156,11
0.4,0.7,0.2628,10,0.2168,11
0.4,0.8,0.2573,10,0.2134,11
0.4,0.9,0.2469,10,0.2024,11
0.4,1.0,0.2233,10,0.1786,11
0.4,1.1,0.1978,10,0.1598,11
0.4,1.2,0.1788,9,0.1427,9
0.5,0.0,0.2472,10,0.2031,7
0.5,0.1,0.2485,10,0.2043,7
0.5,0.2,0.2497,10,0.2064,9
0.5,0.3,0.2523,10,0.2088,9
0.5,0.4,0.2543,10,0.2101,10
0.5,0.5,0.2585,10,0.211,11
0.5,0.6,0.2599,10,0.2122,11
0.5,0.7,0.2594,10,0.2131,11
0.5,0.8,0.2543,10,0.2099,11
0.5,0.9,0.2449,10,0.1996,10
0.5,1.0,0.2222,10,0.1759,11
0.5,1.1,0.1967,10,0.1571,11
0.5,1.2,0.1777,9,0.1401,9
0.6,0.0,0.243,10,0.1992,7
0.6,0.1,0.2443,10,0.2003,7
0.6,0.2,0.2455,10,0.2025,9
0.6,0.3,0.2479,10,0.2057,9
0.6,0.4,0.2498,10,0.2067,11
0.6,0.5,0.2537,10,0.2073,11
0.6,0.6,0.2552,10,0.2083,11
0.6,0.7,0.2547,10,0.2088,11
0.6,0.8,0.25,10,0.2058,11
0.6,0.9,0.2417,10,0.1963,10
0.6,1.0,0.2201,10,0.1731,11
0.6,1.1,0.1948,10,0.1542,11
0.6,1.2,0.1758,9,0.1373,10
0.7,0.0,0.2386,10,0.1952,7
0.7,0.1,0.2397,10,0.1962,7
0.7,0.2,0.2408,10,0.1987,9
0.7,0.3,0.243,10,0.2018,10
0.7,0.4,0.2446,10,0.2027,11
0.7,0.5,0.2482,10,0.2032,11
0.7,0.6,0.2496,10,0.2039,11
0.7,0.7,0.2491,10,0.204,11
0.7,0.8,0.2448,10,0.2012,11
0.7,0.9,0.2376,10,0.1923,10
0.7,1.0,0.2171,10,0.1697,10
0.7,1.1,0.1921,10,0.1509,11
0.7,1.2,0.1733,9,0.1343,10
0.8,0.0,0.2344,10,0.1912,8
0.8,0.1,0.2355,10,0.192,8
0.8,0.2,0.2365,10,0.1946,10
0.8,0.3,0.2383,10,0.1979,10
0.8,0.4,0.2397,10,0.1988,10
