variant,crop,support,precision,recall,f1
water_only,rice,49822,0.6152,0.3899,0.4773
water_only,cassava,178453,0.5892,0.3526,0.4412
water_only,pineapple,139979,0.5573,0.5443,0.5507
water_only,rubber,199995,0.5777,0.8189,0.6775
water_only,oil_palm,89339,0.651,0.4837,0.555
water_only,durian,73047,0.648,0.4278,0.5154
water_only,rambutan,1625,0.0359,0.0197,0.0254
water_only,coconut,2947,0.0136,0.0458,0.021
water_only,mango,13346,0.1736,0.056,0.0847
water_only,longan,1709,0.0104,0.0053,0.007
water_only,jackfruit,10054,0.1635,0.0738,0.1017
water_only,mangosteen,4122,0.0334,0.0129,0.0186
water_only,longkong,191,0.0,0.0,0.0
water_only,others,861743,0.8027,0.8672,0.8337
water_plus_others,rice,44166,0.6152,0.4398,0.5129
water_plus_others,cassava,165601,0.5892,0.38,0.462
water_plus_others,pineapple,134586,0.5573,0.5661,0.5617
water_plus_others,rubber,197185,0.5777,0.8305,0.6814
water_plus_others,oil_palm,88200,0.651,0.49,0.5591
water_plus_others,durian,69080,0.648,0.4523,0.5328
water_plus_others,rambutan,1583,0.0359,0.0202,0.0259
water_plus_others,coconut,2471,0.0136,0.0546,0.0218
water_plus_others,mango,11240,0.1736,0.0665,0.0961
water_plus_others,longan,1641,0.0104,0.0055,0.0072
water_plus_others,jackfruit,9804,0.1635,0.0757,0.1035
water_plus_others,mangosteen,3911,0.0334,0.0136,0.0193
water_plus_others,longkong,147,0.0,0.0,0.0
water_plus_others,others,422687,0.6747,0.7292,0.7009
