model,feature,index,month,baseline_macro_f1,importance,std
stage1,BSI_47PQQ_2018-10-31.tif,BSI,Oct,0.6422,0.1063,0.00189
stage1,BSI_47PQQ_2018-11-30.tif,BSI,Nov,0.6422,0.16886,0.00117
stage1,BSI_47PQQ_2018-12-31.tif,BSI,Dec,0.6422,0.09664,0.00478
stage1,EVI_47PQQ_2018-10-31.tif,EVI,Oct,0.6422,0.11072,0.00209
stage1,EVI_47PQQ_2018-11-30.tif,EVI,Nov,0.6422,0.10469,0.00059
stage1,EVI_47PQQ_2018-12-31.tif,EVI,Dec,0.6422,0.05039,0.0002
stage1,MSAVI_47PQQ_2018-10-31.tif,MSAVI,Oct,0.6422,0.10607,0.0004
stage1,MSAVI_47PQQ_2018-11-30.tif,MSAVI,Nov,0.6422,0.13265,0.00059
stage1,MSAVI_47PQQ_2018-12-31.tif,MSAVI,Dec,0.6422,0.13324,0.00148
stage1,NDBI_47PQQ_2018-10-31.tif,NDBI,Oct,0.6422,0.06103,0.001
stage1,NDBI_47PQQ_2018-11-30.tif,NDBI,Nov,0.6422,0.0362,0.0011
stage1,NDBI_47PQQ_2018-12-31.tif,NDBI,Dec,0.6422,0.10385,0.00078
stage1,NDVI_47PQQ_2018-10-31.tif,NDVI,Oct,0.6422,0.06509,0.00034
stage1,NDVI_47PQQ_2018-11-30.tif,NDVI,Nov,0.6422,0.04531,0.00114
stage1,NDVI_47PQQ_2018-12-31.tif,NDVI,Dec,0.6422,0.03131,0.00021
stage1,NDWI_47PQQ_2018-10-31.tif,NDWI,Oct,0.6422,0.12521,0.00208
stage1,NDWI_47PQQ_2018-11-30.tif,NDWI,Nov,0.6422,0.07355,0.00078
stage1,NDWI_47PQQ_2018-12-31.tif,NDWI,Dec,0.6422,0.05442,0.00032
stage1,SWIR_NIR_47PQQ_2018-10-31.tif,SWIR_NIR,Oct,0.6422,0.01486,0.00173
stage1,SWIR_NIR_47PQQ_2018-11-30.tif,SWIR_NIR,Nov,0.6422,0.00547,0.00089
stage1,SWIR_NIR_47PQQ_2018-12-31.tif,SWIR_NIR,Dec,0.6422,0.02287,0.00196
