model,index,importance_3date_sum
stage1,MSAVI,0.37196
stage1,BSI,0.3718
stage1,EVI,0.2658
stage1,NDWI,0.25318
stage1,NDBI,0.20108
stage1,B11,0.19427
stage1,SWIR_RATIO,0.17865
stage1,NDVI,0.14171
stage1,SWIR_NIR,0.0432
stage1,MTCI,0.02262
stage3_orchards,MSAVI,0.20474
stage3_orchards,BSI,0.17242
stage3_orchards,EVI,0.1166
stage3_orchards,NDWI,0.10361
stage3_orchards,NDBI,0.10034
stage3_orchards,SWIR_RATIO,0.08653
stage3_orchards,B11,0.08322
stage3_orchards,NDVI,0.06875
stage3_orchards,SWIR_NIR,0.06684
stage3_orchards,MTCI,0.03936
