alpha2,alpha3,cal_macro_f1,cal_alive,tune_macro_f1,tune_alive
0.0,0.0,0.2618,8,0.214,7
0.0,0.1,0.2625,9,0.216,7
0.0,0.2,0.2631,10,0.218,8
0.0,0.3,0.2633,10,0.2196,9
0.0,0.4,0.2641,10,0.2205,10
0.0,0.5,0.2645,10,0.2219,10
0.0,0.6,0.2645,10,0.2223,10
0.0,0.7,0.2623,11,0.2216,10
0.0,0.8,0.2558,10,0.2178,10
0.0,0.9,0.2442,10,0.2067,10
0.0,1.0,0.2235,10,0.1876,10
0.0,1.1,0.2015,9,0.172,10
0.0,1.2,0.1813,8,0.1558,9
0.1,0.0,0.2643,8,0.2175,7
0.1,0.1,0.2655,9,0.2196,8
0.1,0.2,0.2664,10,0.2216,8
0.1,0.3,0.2671,10,0.2236,10
0.1,0.4,0.2679,10,0.2248,10
0.1,0.5,0.269,10,0.2266,10
0.1,0.6,0.2696,10,0.2266,10
0.1,0.7,0.2673,10,0.2256,10
0.1,0.8,0.2607,10,0.2213,10
0.1,0.9,0.2484,10,0.2095,10
0.1,1.0,0.2267,10,0.1891,10
0.1,1.1,0.204,10,0.1728,10
0.1,1.2,0.1837,8,0.1563,9
0.2,0.0,0.2648,8,0.2192,7
0.2,0.1,0.2664,9,0.2215,8
0.2,0.2,0.2675,10,0.2238,8
0.2,0.3,0.2683,10,0.2262,10
0.2,0.4,0.2697,10,0.228,10
0.2,0.5,0.2711,10,0.2298,10
0.2,0.6,0.2717,10,0.2291,10
0.2,0.7,0.2695,10,0.2283,10
0.2,0.8,0.2627,10,0.2236,10
0.2,0.9,0.2505,10,0.2113,10
0.2,1.0,0.2286,10,0.1901,11
0.2,1.1,0.2055,10,0.173,11
0.2,1.2,0.185,8,0.1563,10
0.3,0.0,0.264,8,0.2189,7
0.3,0.1,0.2656,9,0.2216,8
0.3,0.2,0.2669,9,0.224,8
0.3,0.3,0.2681,10,0.2267,10
0.3,0.4,0.2695,10,0.2283,10
0.3,0.5,0.2711,10,0.2302,10
0.3,0.6,0.272,10,0.2294,10
0.3,0.7,0.2697,10,0.2285,10
0.3,0.8,0.263,10,0.2239,10
0.3,0.9,0.2514,10,0.2115,10
0.3,1.0,0.2295,10,0.1898,11
0.3,1.1,0.206,10,0.1722,11
0.3,1.2,0.1854,8,0.1555,9
0.4,0.0,0.2617,8,0.2174,7
0.4,0.1,0.2633,9,0.2204,8
0.4,0.2,0.2647,9,0.223,8
0.4,0.3,0.2661,9,0.2256,10
0.4,0.4,0.2674,9,0.2271,10
0.4,0.5,0.2691,10,0.2289,10
0.4,0.6,0.2698,9,0.2279,10
0.4,0.7,0.2677,10,0.227,10
0.4,0.8,0.2615,10,0.2226,10
0.4,0.9,0.2508,10,0.2106,10
0.4,1.0,0.2295,10,0.1887,10
0.4,1.1,0.206,10,0.1709,11
0.4,1.2,0.1855,8,0.154,9
0.5,0.0,0.2588,9,0.2155,7
0.5,0.1,0.2605,9,0.2184,8
0.5,0.2,0.262,9,0.2213,8
0.5,0.3,0.2633,9,0.2241,10
0.5,0.4,0.2648,9,0.2252,10
0.5,0.5,0.2664,10,0.2271,10
0.5,0.6,0.2672,9,0.226,10
0.5,0.7,0.2652,10,0.2247,10
0.5,0.8,0.2596,10,0.2205,10
0.5,0.9,0.2497,10,0.209,10
0.5,1.0,0.229,10,0.1872,10
0.5,1.1,0.2056,10,0.1693,11
0.5,1.2,0.1854,9,0.1523,9
0.6,0.0,0.255,9,0.2122,7
0.6,0.1,0.2566,9,0.2152,8
0.6,0.2,0.2581,9,0.2183,8
0.6,0.3,0.2594,9,0.2209,10
0.6,0.4,0.2609,9,0.222,10
0.6,0.5,0.2623,9,0.2235,10
0.6,0.6,0.263,10,0.2223,10
0.6,0.7,0.2612,10,0.221,10
0.6,0.8,0.2562,10,0.2173,10
0.6,0.9,0.2474,10,0.2065,10
0.6,1.0,0.2276,10,0.1851,10
0.6,1.1,0.2045,10,0.1672,10
0.6,1.2,0.1844,9,0.1502,9
0.7,0.0,0.251,9,0.2084,7
0.7,0.1,0.2524,9,0.2115,8
0.7,0.2,0.2538,9,0.2147,8
0.7,0.3,0.2548,9,0.2173,10
0.7,0.4,0.2562,9,0.218,10
0.7,0.5,0.2574,9,0.219,10
0.7,0.6,0.2579,10,0.2178,10
0.7,0.7,0.2563,10,0.2168,10
0.7,0.8,0.2521,10,0.2134,10
0.7,0.9,0.2444,10,0.2035,10
0.7,1.0,0.2255,10,0.1825,10
0.7,1.1,0.2027,10,0.1647,10
0.7,1.2,0.1828,9,0.1477,9
0.8,0.0,0.2465,9,0.2044,7
0.8,0.1,0.2478,9,0.2076,8
0.8,0.2,0.2491,9,0.2107,8
0.8,0.3,0.25,9,0.2132,10
0.8,0.4,0.2511,9,0.2137,10
0.8,0.5,0.2522,9,0.2144,10
0.8,0.6,0.2527,10,0.2136,10
0.8,0.7,0.2514,10,0.2125,10
0.8,0.8,0.2477,10,0.2095,10
0.8,0.9,0.2408,10,0.2003,10
0.8,1.0,0.223,10,0.1798,10
0.8,1.1,0.2006,10,0.1622,10
0.8,1.2,0.1809,9,0.1454,9
0.9,0.0,0.2414,9,0.2007,8
0.9,0.1,0.2425,9,0.2042,8
0.9,0.2,0.2434,9,0.2073,8
0.9,0.3,0.2442,9,0.2093,9
