crop,lu_code,tune_support,f1_learned_route,f1_oracle_route,delta
Rice,2101,45411,0.4471,0.7732,0.3261
Cassava,2204,67406,0.3365,0.6446,0.3081
Pineapple,2205,49945,0.4071,0.6615,0.2545
Rubber,2302,732519,0.808,0.9158,0.1078
OilPalm,2303,109693,0.3666,0.4888,0.1222
Durian,2403,60574,0.4643,0.8187,0.3544
Rambutan,2404,615,0.0508,0.1752,0.1243
Coconut,2405,695,0.0013,0.0289,0.0276
Mango,2407,3045,0.0348,0.3004,0.2655
Longan,2413,975,0.0029,0.003,0.0001
Jackfruit,2416,2513,0.0313,0.0595,0.0283
Mangosteen,2419,1414,0.0312,0.0504,0.0192
Langsat,2420,9,0.0,0.0,0.0
MACRO,0,1785984,0.2294,0.3785,0.1491
