operating_point,crop,lu_code,tune_candidates,routed_to_true_group
argmax,Rice,2101,35216,0.4359
argmax,Cassava,2204,61119,0.5015
argmax,Pineapple,2205,47217,0.7034
argmax,Rubber,2302,697610,0.9156
argmax,OilPalm,2303,103923,0.8507
argmax,Durian,2403,53726,0.3745
argmax,Rambutan,2404,495,0.2101
argmax,Coconut,2405,564,0.2996
argmax,Mango,2407,1829,0.0344
argmax,Longan,2413,920,0.475
argmax,Jackfruit,2416,2324,0.2608
argmax,Mangosteen,2419,1214,0.4769
argmax,Langsat,2420,7,0.0
alpha2=0.3,Rice,2101,35216,0.4722
alpha2=0.3,Cassava,2204,61119,0.5839
alpha2=0.3,Pineapple,2205,47217,0.7713
alpha2=0.3,Rubber,2302,697610,0.8539
alpha2=0.3,OilPalm,2303,103923,0.7619
alpha2=0.3,Durian,2403,53726,0.5904
alpha2=0.3,Rambutan,2404,495,0.3778
alpha2=0.3,Coconut,2405,564,0.1365
alpha2=0.3,Mango,2407,1829,0.1099
alpha2=0.3,Longan,2413,920,0.6902
alpha2=0.3,Jackfruit,2416,2324,0.4419
alpha2=0.3,Mangosteen,2419,1214,0.6096
alpha2=0.3,Langsat,2420,7,0.2857
