group,crop,lu_code,rows,mass_before,share_before,mass_after,share_after,weight
orchards,Durian,2403,133481,133481.0,0.667405,77975.3,0.389877,0.5842
orchards,Rambutan,2404,2422,2422.0,0.01211,10503.51,0.052518,4.3367
orchards,Mango,2407,24192,24192.0,0.12096,33195.81,0.165979,1.3722
orchards,Longan,2413,10477,10477.0,0.052385,21845.69,0.109228,2.0851
orchards,Jackfruit,2416,20899,20899.0,0.104495,30853.9,0.15427,1.4763
orchards,Mangosteen,2419,7350,7350.0,0.03675,18297.47,0.091487,2.4895
orchards,Langsat,2420,1179,1179.0,0.005895,7328.32,0.036642,6.2157
plantation,Rubber,2302,193381,193381.0,0.966905,165123.21,0.825616,0.8539
plantation,OilPalm,2303,6463,6463.0,0.032315,30186.89,0.150934,4.6707
plantation,Coconut,2405,156,156.0,0.00078,4689.9,0.023449,30.0635
field,Rice,2101,28774,28774.0,0.14387,44959.23,0.224796,1.5625
field,Cassava,2204,90439,90439.0,0.452195,79707.03,0.398535,0.8813
field,Pineapple,2205,80787,80787.0,0.403935,75333.74,0.376669,0.9325
sink,(non-crop),0,200000,200000.0,1.0,200000.0,1.0,1.0
