crop,tune_candidates,M5_route,control_route,treatment_route,shift,M5_f1,control_f1,treatment_f1
Rice,35216,0.4722,0.4722,0.5481,0.0759,0.4471,0.4471,0.4863
Cassava,61119,0.5839,0.5839,0.561,-0.0229,0.3365,0.3365,0.3282
Pineapple,47217,0.7713,0.7713,0.755,-0.0163,0.4071,0.4071,0.4089
Rubber,697610,0.8539,0.8539,0.8541,0.0002,0.808,0.808,0.8073
OilPalm,103923,0.7619,0.7619,0.8334,0.0715,0.3666,0.3666,0.4209
Durian,53726,0.5904,0.5904,0.5683,-0.0221,0.4643,0.4643,0.4615
Rambutan,495,0.3778,0.3778,0.4242,0.0464,0.0508,0.0508,0.0859
Coconut,564,0.1365,0.1365,0.266,0.1295,0.0013,0.0013,0.001
Mango,1829,0.1099,0.1099,0.1033,-0.0066,0.0348,0.0348,0.0349
Longan,920,0.6902,0.6902,0.6783,-0.0119,0.0029,0.0029,0.0031
Jackfruit,2324,0.4419,0.4419,0.4092,-0.0327,0.0313,0.0313,0.0245
Mangosteen,1214,0.6096,0.6096,0.5898,-0.0198,0.0312,0.0312,0.0251
Langsat,7,0.2857,0.2857,0.2857,0.0,0.0,0.0,0.0
