crop,lu_code,tune_support,f1_learned_route,f1_oracle_route,delta
Rice,2101,45411,0.4863,0.7701,0.2838
Cassava,2204,67406,0.3282,0.6425,0.3143
Pineapple,2205,49945,0.4089,0.6606,0.2518
Rubber,2302,732519,0.8073,0.9209,0.1137
OilPalm,2303,109693,0.4209,0.4873,0.0664
Durian,2403,60574,0.4615,0.8454,0.3839
Rambutan,2404,615,0.0859,0.2057,0.1198
Coconut,2405,695,0.001,0.0281,0.0271
Mango,2407,3045,0.0349,0.3218,0.2869
Longan,2413,975,0.0031,0.0034,0.0003
Jackfruit,2416,2513,0.0245,0.0487,0.0241
Mangosteen,2419,1414,0.0251,0.0404,0.0153
Langsat,2420,9,0.0,0.0,0.0
MACRO,0,1785984,0.2375,0.3827,0.1452
