operating_point,crop,lu_code,tune_candidates,routed_to_true_group
argmax,Rice,2101,35216,0.5101
argmax,Cassava,2204,61119,0.482
argmax,Pineapple,2205,47217,0.6868
argmax,Rubber,2302,697610,0.9189
argmax,OilPalm,2303,103923,0.8997
argmax,Durian,2403,53726,0.3358
argmax,Rambutan,2404,495,0.2283
argmax,Coconut,2405,564,0.4379
argmax,Mango,2407,1829,0.0323
argmax,Longan,2413,920,0.4272
argmax,Jackfruit,2416,2324,0.222
argmax,Mangosteen,2419,1214,0.4465
argmax,Langsat,2420,7,0.0
alpha2=0.3,Rice,2101,35216,0.5481
alpha2=0.3,Cassava,2204,61119,0.561
alpha2=0.3,Pineapple,2205,47217,0.755
alpha2=0.3,Rubber,2302,697610,0.8541
alpha2=0.3,OilPalm,2303,103923,0.8334
alpha2=0.3,Durian,2403,53726,0.5683
alpha2=0.3,Rambutan,2404,495,0.4242
alpha2=0.3,Coconut,2405,564,0.266
alpha2=0.3,Mango,2407,1829,0.1033
alpha2=0.3,Longan,2413,920,0.6783
alpha2=0.3,Jackfruit,2416,2324,0.4092
alpha2=0.3,Mangosteen,2419,1214,0.5898
alpha2=0.3,Langsat,2420,7,0.2857
