alpha2,alpha3,cal_macro_f1,cal_alive,tune_macro_f1,tune_alive
0.0,0.0,0.2552,7,0.2114,7
0.0,0.1,0.2555,8,0.2129,7
0.0,0.2,0.2553,8,0.2144,7
0.0,0.3,0.2555,9,0.2156,8
0.0,0.4,0.2559,10,0.217,9
0.0,0.5,0.256,10,0.2178,10
0.0,0.6,0.2555,10,0.2184,10
0.0,0.7,0.2542,9,0.2185,10
0.0,0.8,0.2494,9,0.2154,10
0.0,0.9,0.2384,9,0.2061,11
0.0,1.0,0.2194,9,0.1886,11
0.0,1.1,0.2009,9,0.1746,10
0.0,1.2,0.185,8,0.1624,10
0.1,0.0,0.2574,8,0.2149,7
0.1,0.1,0.258,8,0.2172,8
0.1,0.2,0.2582,8,0.2186,8
0.1,0.3,0.2586,9,0.2201,8
0.1,0.4,0.259,9,0.2218,10
0.1,0.5,0.2597,10,0.2227,10
0.1,0.6,0.2597,10,0.2234,10
0.1,0.7,0.2585,9,0.2228,10
0.1,0.8,0.2535,9,0.2203,11
0.1,0.9,0.2423,9,0.21,11
0.1,1.0,0.2223,10,0.1908,11
0.1,1.1,0.2027,9,0.1757,10
0.1,1.2,0.1868,8,0.1635,10
0.2,0.0,0.2576,8,0.2165,7
0.2,0.1,0.2585,8,0.2187,8
0.2,0.2,0.2589,8,0.2204,8
0.2,0.3,0.2597,9,0.2219,8
0.2,0.4,0.2605,9,0.2239,10
0.2,0.5,0.2618,10,0.2248,10
0.2,0.6,0.262,10,0.2261,10
0.2,0.7,0.2612,9,0.226,11
0.2,0.8,0.256,10,0.2228,11
0.2,0.9,0.2447,10,0.212,11
0.2,1.0,0.2243,10,0.1917,11
0.2,1.1,0.204,10,0.1757,10
0.2,1.2,0.1879,8,0.1633,10
0.3,0.0,0.2568,8,0.2162,7
0.3,0.1,0.2578,8,0.2187,8
0.3,0.2,0.2584,8,0.2208,8
0.3,0.3,0.2595,9,0.2225,8
0.3,0.4,0.2605,9,0.2244,10
0.3,0.5,0.2621,10,0.2255,10
0.3,0.6,0.2626,9,0.2272,11
0.3,0.7,0.2619,9,0.2272,11
0.3,0.8,0.2567,10,0.2235,11
0.3,0.9,0.2458,10,0.2123,11
0.3,1.0,0.2255,10,0.1916,11
0.3,1.1,0.2047,10,0.175,11
0.3,1.2,0.1886,9,0.1624,10
0.4,0.0,0.2551,8,0.2144,7
0.4,0.1,0.2561,8,0.2171,8
0.4,0.2,0.2567,8,0.2192,8
0.4,0.3,0.2579,9,0.2213,8
0.4,0.4,0.259,9,0.2233,10
0.4,0.5,0.261,9,0.2245,10
0.4,0.6,0.2617,9,0.2261,11
0.4,0.7,0.2609,9,0.2262,11
0.4,0.8,0.256,10,0.2224,11
0.4,0.9,0.2459,10,0.2115,11
0.4,1.0,0.2261,10,0.1907,11
0.4,1.1,0.2051,10,0.1737,11
0.4,1.2,0.189,9,0.1608,10
0.5,0.0,0.2525,8,0.2124,7
0.5,0.1,0.2534,8,0.2154,8
0.5,0.2,0.254,8,0.2178,8
0.5,0.3,0.2553,9,0.2201,8
0.5,0.4,0.2565,9,0.222,10
0.5,0.5,0.2584,9,0.2228,11
0.5,0.6,0.2593,9,0.2239,11
0.5,0.7,0.2587,9,0.2238,11
0.5,0.8,0.2544,10,0.2199,11
0.5,0.9,0.2451,10,0.2096,11
0.5,1.0,0.226,10,0.189,11
0.5,1.1,0.2049,10,0.1718,11
0.5,1.2,0.1887,9,0.1589,10
0.6,0.0,0.2494,8,0.2095,7
0.6,0.1,0.2502,8,0.2123,8
0.6,0.2,0.2507,8,0.2146,8
0.6,0.3,0.252,9,0.2169,8
0.6,0.4,0.2533,9,0.2191,10
0.6,0.5,0.2551,9,0.22,11
0.6,0.6,0.256,9,0.221,11
0.6,0.7,0.2552,9,0.2205,11
0.6,0.8,0.2516,10,0.2168,11
0.6,0.9,0.2432,10,0.2073,11
0.6,1.0,0.225,10,0.1871,11
0.6,1.1,0.2041,10,0.1698,11
0.6,1.2,0.1879,9,0.1568,10
0.7,0.0,0.2461,8,0.2063,8
0.7,0.1,0.2468,8,0.2088,8
0.7,0.2,0.2471,8,0.2112,8
0.7,0.3,0.2483,9,0.2135,8
0.7,0.4,0.2495,9,0.2153,10
0.7,0.5,0.2512,9,0.2163,11
0.7,0.6,0.2522,9,0.2168,11
0.7,0.7,0.2514,9,0.2161,11
0.7,0.8,0.2484,10,0.213,11
0.7,0.9,0.241,10,0.2043,11
0.7,1.0,0.2238,10,0.1846,11
0.7,1.1,0.2032,10,0.1674,11
0.7,1.2,0.1872,9,0.1544,10
0.8,0.0,0.2421,8,0.2029,8
0.8,0.1,0.2425,8,0.2054,8
0.8,0.2,0.2428,8,0.2075,8
0.8,0.3,0.244,9,0.2097,8
0.8,0.4,0.245,9,0.2113,9
0.8,0.5,0.2467,9,0.212,11
0.8,0.6,0.2477,9,0.2124,11
0.8,0.7,0.2471,9,0.2117,11
0.8,0.8,0.2445,10,0.2089,11
0.8,0.9,0.238,10,0.201,11
0.8,1.0,0.2217,10,0.1821,11
0.8,1.1,0.2015,10,0.165,11
0.8,1.2,0.1857,9,0.152,10
0.9,0.0,0.2371,8,0.1988,8
0.9,0.1,0.2374,8,0.2011,8
0.9,0.2,0.2376,8,0.2031,8
0.9,0.3,0.2387,9,0.2051,8
0.9,0.4,0.2396,9,0.2065,9
0.9,0.5,0.2411,9,0.2072,10
0.9,0.6,0.2419,9,0.2075,11
0.9,0.7,0.2413,9,0.2069,11
0.9,0.8,0.2393,10,0.2045,11
0.9,0.9,0.2338,10,0.1974,11
0.9,1.0,0.2187,10,0.1791,11
