population,crop,support,precision,recall,f1
natural,rice,296743,0.3477,0.5837,0.4358
natural,cassava,807250,0.2736,0.5181,0.3581
natural,pineapple,714833,0.3488,0.5962,0.4401
natural,rubber,12320950,0.9663,0.6588,0.7835
natural,oil_palm,490953,0.1943,0.3526,0.2506
natural,durian,353768,0.1797,0.5364,0.2692
natural,rambutan,6385,0.0101,0.3294,0.0196
natural,coconut,13945,0.0065,0.0458,0.0113
natural,mango,68673,0.0511,0.2328,0.0838
natural,longan,19692,0.0398,0.3696,0.0719
natural,jackfruit,42873,0.0608,0.2854,0.1002
natural,mangosteen,19315,0.0334,0.2085,0.0575
natural,longkong,1843,0.0191,0.5893,0.0371
natural,others,9166546,0.7812,0.8136,0.7971
capped_200k,rice,200000,0.8456,0.5837,0.6906
capped_200k,cassava,200000,0.5486,0.5175,0.5326
capped_200k,pineapple,200000,0.653,0.597,0.6238
capped_200k,rubber,200000,0.7745,0.6598,0.7125
capped_200k,oil_palm,200000,0.7894,0.3533,0.4882
capped_200k,durian,200000,0.6134,0.5374,0.5729
capped_200k,rambutan,6385,0.0811,0.3294,0.1302
capped_200k,coconut,13945,0.1116,0.0458,0.065
capped_200k,mango,68673,0.3303,0.2328,0.2731
capped_200k,longan,19692,0.2,0.3696,0.2596
capped_200k,jackfruit,42873,0.3167,0.2854,0.3003
capped_200k,mangosteen,19315,0.1747,0.2085,0.1901
capped_200k,longkong,1843,0.1237,0.5893,0.2045
capped_200k,others,200000,0.369,0.8139,0.5078
