,Rice,Cassava,Pineapple,Para rubber,Oil palm,Durian,Rambutan,Coconut,Mango,Longan,Jackfruit,Mangosteen,Langsat,Reservoir,Others
Rice,66997,2199,900,2333,819,4405,1652,296,2040,761,616,305,354,4203,55617
Cassava,15669,275234,92771,19066,4041,18104,2861,1711,12085,2574,5509,1101,804,1862,107151
Pineapple,7762,85155,272242,9941,2479,10581,1366,896,7679,1621,2991,1184,690,708,69648
Para rubber,89696,493973,418177,7848737,592963,492216,97068,59865,105490,67715,91673,40605,24097,12847,1525831
Oil palm,3445,15566,14887,10702,84864,27185,8967,1151,14672,22379,14886,8188,1980,1166,74364
Durian,1188,3204,1662,3839,721,55124,5053,156,2798,3990,4858,4582,1750,1382,35492
Rambutan,46,43,43,114,74,53,114,4,7,3,2,6,6,5,1253
Coconut,342,1082,821,8,9,511,115,56,1071,230,281,86,23,43,3957
Mango,316,2954,689,742,236,68,24,290,935,21,34,15,5,54,22998
Longan,107,246,82,304,100,227,20,19,33,406,49,34,17,80,2321
Jackfruit,218,703,400,921,426,686,47,80,126,125,725,72,53,71,2566
Mangosteen,173,95,134,178,57,272,41,3,22,57,30,211,23,37,4365
Langsat,2,3,4,71,20,5,3,0,0,3,1,1,47,0,285
Reservoir,3528,1463,1936,939,947,1197,330,205,1338,271,286,260,80,433041,32036
Others,153430,362146,166386,164911,72770,213110,54386,23789,103064,41766,35533,34668,15123,213522,5419085
