,Rice,Cassava,Pineapple,Para rubber,Oil palm,Durian,Rambutan,Coconut,Mango,Longan,Jackfruit,Mangosteen,Langsat,Reservoir,Others
Rice,0.1954,0.0018,0.0009,0.0003,0.0011,0.0053,0.0096,0.0033,0.0081,0.0054,0.0039,0.0033,0.0079,0.0063,0.0076
Cassava,0.0457,0.2212,0.0955,0.0024,0.0053,0.022,0.0166,0.0193,0.0481,0.0181,0.035,0.0121,0.0178,0.0028,0.0146
Pineapple,0.0226,0.0684,0.2803,0.0012,0.0033,0.0128,0.0079,0.0101,0.0305,0.0114,0.019,0.013,0.0153,0.0011,0.0095
Para rubber,0.2616,0.3971,0.4306,0.9734,0.7797,0.5975,0.5642,0.6763,0.4197,0.4771,0.5821,0.4447,0.5349,0.0192,0.2074
Oil palm,0.01,0.0125,0.0153,0.0013,0.1116,0.033,0.0521,0.013,0.0584,0.1577,0.0945,0.0897,0.0439,0.0017,0.0101
Durian,0.0035,0.0026,0.0017,0.0005,0.0009,0.0669,0.0294,0.0018,0.0111,0.0281,0.0308,0.0502,0.0388,0.0021,0.0048
Rambutan,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0007,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0002
Coconut,0.001,0.0009,0.0008,0.0,0.0,0.0006,0.0007,0.0006,0.0043,0.0016,0.0018,0.0009,0.0005,0.0001,0.0005
Mango,0.0009,0.0024,0.0007,0.0001,0.0003,0.0001,0.0001,0.0033,0.0037,0.0001,0.0002,0.0002,0.0001,0.0001,0.0031
Longan,0.0003,0.0002,0.0001,0.0,0.0001,0.0003,0.0001,0.0002,0.0001,0.0029,0.0003,0.0004,0.0004,0.0001,0.0003
Jackfruit,0.0006,0.0006,0.0004,0.0001,0.0006,0.0008,0.0003,0.0009,0.0005,0.0009,0.0046,0.0008,0.0012,0.0001,0.0003
Mangosteen,0.0005,0.0001,0.0001,0.0,0.0001,0.0003,0.0002,0.0,0.0001,0.0004,0.0002,0.0023,0.0005,0.0001,0.0006
Langsat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0
Reservoir,0.0103,0.0012,0.002,0.0001,0.0012,0.0015,0.0019,0.0023,0.0053,0.0019,0.0018,0.0028,0.0018,0.6473,0.0044
Others,0.4474,0.2911,0.1713,0.0205,0.0957,0.2587,0.3161,0.2687,0.41,0.2943,0.2256,0.3796,0.3357,0.3192,0.7366
