,Rice,Cassava,Pineapple,Para rubber,Oil palm,Durian,Rambutan,Coconut,Mango,Longan,Jackfruit,Mangosteen,Langsat,Reservoir,Others
Rice,0.4669,0.0153,0.0063,0.0163,0.0057,0.0307,0.0115,0.0021,0.0142,0.0053,0.0043,0.0021,0.0025,0.0293,0.3876
Cassava,0.028,0.491,0.1655,0.034,0.0072,0.0323,0.0051,0.0031,0.0216,0.0046,0.0098,0.002,0.0014,0.0033,0.1912
Pineapple,0.0163,0.1793,0.5732,0.0209,0.0052,0.0223,0.0029,0.0019,0.0162,0.0034,0.0063,0.0025,0.0015,0.0015,0.1466
Para rubber,0.0075,0.0413,0.035,0.6562,0.0496,0.0412,0.0081,0.005,0.0088,0.0057,0.0077,0.0034,0.002,0.0011,0.1276
Oil palm,0.0113,0.0511,0.0489,0.0352,0.2788,0.0893,0.0295,0.0038,0.0482,0.0735,0.0489,0.0269,0.0065,0.0038,0.2443
Durian,0.0094,0.0255,0.0132,0.0305,0.0057,0.4382,0.0402,0.0012,0.0222,0.0317,0.0386,0.0364,0.0139,0.011,0.2821
Rambutan,0.0259,0.0243,0.0243,0.0643,0.0417,0.0299,0.0643,0.0023,0.0039,0.0017,0.0011,0.0034,0.0034,0.0028,0.7067
Coconut,0.0396,0.1253,0.0951,0.0009,0.001,0.0592,0.0133,0.0065,0.124,0.0266,0.0325,0.01,0.0027,0.005,0.4583
Mango,0.0108,0.1005,0.0235,0.0253,0.008,0.0023,0.0008,0.0099,0.0318,0.0007,0.0012,0.0005,0.0002,0.0018,0.7828
Longan,0.0265,0.0608,0.0203,0.0752,0.0247,0.0561,0.0049,0.0047,0.0082,0.1004,0.0121,0.0084,0.0042,0.0198,0.5738
Jackfruit,0.0302,0.0974,0.0554,0.1276,0.059,0.095,0.0065,0.0111,0.0175,0.0173,0.1004,0.01,0.0073,0.0098,0.3555
Mangosteen,0.0304,0.0167,0.0235,0.0312,0.01,0.0477,0.0072,0.0005,0.0039,0.01,0.0053,0.037,0.004,0.0065,0.7661
Langsat,0.0045,0.0067,0.009,0.1596,0.0449,0.0112,0.0067,0.0,0.0,0.0067,0.0022,0.0022,0.1056,0.0,0.6404
Reservoir,0.0074,0.0031,0.0041,0.002,0.002,0.0025,0.0007,0.0004,0.0028,0.0006,0.0006,0.0005,0.0002,0.9062,0.067
Others,0.0217,0.0512,0.0235,0.0233,0.0103,0.0301,0.0077,0.0034,0.0146,0.0059,0.005,0.0049,0.0021,0.0302,0.7661
