,Rice,Cassava,Pineapple,Para rubber,Oil palm,Durian,Rambutan,Coconut,Mango,Longan,Jackfruit,Mangosteen,Langsat,Reservoir,Others,Forest
Rice,66997,2199,900,2333,819,4405,1652,296,2040,761,616,305,354,4203,54375,1242
Cassava,15669,275234,92771,19066,4041,18104,2861,1711,12085,2574,5509,1101,804,1862,99254,7897
Pineapple,7762,85155,272242,9941,2479,10581,1366,896,7679,1621,2991,1184,690,708,66416,3232
Para rubber,89696,493973,418177,7848737,592963,492216,97068,59865,105490,67715,91673,40605,24097,12847,633893,891938
Oil palm,3445,15566,14887,10702,84864,27185,8967,1151,14672,22379,14886,8188,1980,1166,17903,56461
Durian,1188,3204,1662,3839,721,55124,5053,156,2798,3990,4858,4582,1750,1382,25351,10141
Rambutan,46,43,43,114,74,53,114,4,7,3,2,6,6,5,362,891
Coconut,342,1082,821,8,9,511,115,56,1071,230,281,86,23,43,3366,591
Mango,316,2954,689,742,236,68,24,290,935,21,34,15,5,54,18215,4783
Longan,107,246,82,304,100,227,20,19,33,406,49,34,17,80,1550,771
Jackfruit,218,703,400,921,426,686,47,80,126,125,725,72,53,71,1670,896
Mangosteen,173,95,134,178,57,272,41,3,22,57,30,211,23,37,2529,1836
Langsat,2,3,4,71,20,5,3,0,0,3,1,1,47,0,150,135
Reservoir,3528,1463,1936,939,947,1197,330,205,1338,271,286,260,80,433041,23794,8242
Others,152110,355887,164503,119176,43646,201071,47477,20748,97365,36328,32080,29665,13535,210023,3225276,297835
Forest,1320,6259,1883,45735,29124,12039,6909,3041,5699,5438,3453,5003,1588,3499,50419,1845555
