,crop,precision,recall,f1-score,support
2101,Rice,0.3477412359956632,0.5836565647715363,0.43582120349319264,296743.0
2204,Cassava,0.2735825111503323,0.518071229482812,0.3580737907037275,807250.0
2205,Pineapple,0.34879290152934334,0.5962077855946774,0.4401119412618176,714833.0
2302,Rubber,0.9663383272763292,0.6587881616271473,0.7834617852617338,12320950.0
2303,Oil palm,0.19434565506340482,0.352620311923952,0.2505831428122718,490953.0
2403,Durian,0.17968025028501736,0.5363854277379525,0.2691872292253611,353768.0
2404,Rambutan,0.010116851316441447,0.3293657008613939,0.019630722126801583,6385.0
2405,Coconut,0.006456110572259942,0.04582287558264611,0.01131764685045297,13945.0
2407,Mango,0.051081924685390426,0.2328280401322208,0.08378222594843848,68673.0
2413,Longan,0.03981468313441489,0.36964249441397523,0.07188638810156335,19692.0
2416,Jackfruit,0.060761354269086,0.28540106827140627,0.10019201559051959,42873.0
2419,Mangosteen,0.03336674425732486,0.2085425834843386,0.0575288858420098,19315.0
2420,Langsat,0.019147360626256216,0.5892566467715681,0.03708953057495603,1843.0
micro avg,,0.6456645924868799,0.6294510544576668,0.6374547430904842,15157223.0
macro avg,,0.1947096853970203,0.40819914543504826,0.2245128082917574,15157223.0
weighted avg,,0.8343405153853635,0.6294510544576668,0.7004689278376722,15157223.0
