LU_CODE,count,F0_mean,F0_median,F1_mean,F1_median,F2_mean,F2_median,F3_mean,F3_median,F4_mean,F4_median,F5_mean,F5_median,F6_mean,F6_median,F7_mean,F7_median,F8_mean,F8_median,F9_mean,F9_median,F10_mean,F10_median,F11_mean,F11_median,F12_mean,F12_median,F13_mean,F13_median,F14_mean,F14_median,F15_mean,F15_median,F16_mean,F16_median,F17_mean,F17_median,F18_mean,F18_median,F19_mean,F19_median,F20_mean,F20_median,F21_mean,F21_median,F22_mean,F22_median,F23_mean,F23_median
2101,204725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2204,675165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2205,626996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2302,10764716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2303,385297,,,-0.2607845962047577,-0.2898413836956024,,,,,0.578295111656189,0.5988559722900391,,,,,0.5312266945838928,0.5488678216934204,,,,,-0.2955951392650604,-0.32669925689697266,,,,,0.8030499219894409,0.8440654277801514,,,,,-0.7288302183151245,-0.7499978542327881,,,,,0.5641916990280151,0.5074984431266785,,,,,0.36213672161102295,0.3804667592048645,,
2403,297112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2404,4397,,,-0.16811172664165497,-0.1847655177116394,-0.14791887998580933,-0.16595132648944855,,,0.5139503479003906,0.5261030197143555,0.4760051369667053,0.4868899881839752,,,0.46341365575790405,0.4724256098270416,0.43036189675331116,0.437372624874115,,,-0.20822742581367493,-0.22451752424240112,-0.18805524706840515,-0.2069491744041443,,,0.7337650060653687,0.7655609846115112,0.7202534675598145,0.7547261714935303,,,-0.6758047342300415,-0.6939623355865479,-0.6685516238212585,-0.6868598461151123,,,0.6729568839073181,0.6332940459251404,0.7042913436889648,0.6570675373077393,,,0.31090620160102844,0.31781190633773804,0.319684773683548,0.32300257682800293
2405,7736,,,-0.13224370777606964,-0.13661497831344604,-0.08539652824401855,-0.09367051720619202,,,0.46198561787605286,0.4593955874443054,0.42221835255622864,0.4217780828475952,,,0.407827764749527,0.4011625051498413,0.36171284317970276,0.35871565341949463,,,-0.1798323541879654,-0.18353286385536194,-0.12816177308559418,-0.1386614292860031,,,0.6690223217010498,0.6904463768005371,0.6137465834617615,0.6346116065979004,,,-0.6270399689674377,-0.6347957849502563,-0.5838517546653748,-0.5888190269470215,,,0.7149515748023987,0.6898530721664429,0.7961826920509338,0.756445586681366,,,0.28213223814964294,0.28849688172340393,0.2544974386692047,0.25923871994018555
2407,33020,,,-0.09552609920501709,-0.09632283449172974,,,,,0.469014436006546,0.47293907403945923,,,,,0.4099544584751129,0.41258519887924194,,,,,-0.1326017528772354,-0.13311737775802612,,,,,0.6712498664855957,0.6923263072967529,,,,,-0.619230329990387,-0.6357948780059814,,,,,0.78218674659729,0.7650395631790161,,,,,0.2864726483821869,0.2900247573852539,,
2413,15934,,,-0.18949347734451294,-0.21571004390716553,,,,,0.5181773900985718,0.5375779271125793,,,,,0.4671221673488617,0.4843083918094635,,,,,-0.22944243252277374,-0.2578270435333252,,,,,0.7490676641464233,0.7844489216804504,,,,,-0.6896581649780273,-0.7087382674217224,,,,,0.6476252675056458,0.5900408625602722,,,,,0.32264766097068787,0.3330180048942566,,
2416,38760,,,-0.12020041048526764,-0.12625673413276672,,,,,0.4709416329860687,0.4819481074810028,,,,,0.4243837893009186,0.43207669258117676,,,,,-0.15925833582878113,-0.16690883040428162,,,,,0.702274739742279,0.7277277708053589,,,,,-0.6647159457206726,-0.678656816482544,,,,,0.7519484162330627,0.7139269113540649,,,,,0.29243341088294983,0.2921859323978424,,
2419,12694,,,-0.19813527166843414,-0.21794483065605164,,,,,0.5008844137191772,0.5167310237884521,,,,,0.45457571744918823,0.46828222274780273,,,,,-0.24028849601745605,-0.2589194178581238,,,,,0.7476020455360413,0.7862361073493958,,,,,-0.6957197189331055,-0.7193682193756104,,,,,0.6326711177825928,0.5886613130569458,,,,,0.3146857023239136,0.3223288059234619,,
2420,1403,-0.20780830085277557,-0.2273349165916443,-0.20561273396015167,-0.2280643880367279,-0.18708381056785583,-0.21463091671466827,0.5703372955322266,0.5909932851791382,0.5399366021156311,0.5556829571723938,0.5268750786781311,0.5412391424179077,0.4965769052505493,0.5158656239509583,0.4910902678966522,0.5075201988220215,0.47963592410087585,0.49057528376579285,-0.2480810433626175,-0.2724926173686981,-0.24106699228286743,-0.2619614005088806,-0.2214277982711792,-0.24416875839233398,0.7432293891906738,0.7748773694038391,0.7802883982658386,0.8191843032836914,0.7727909684181213,0.80210280418396,-0.671195924282074,-0.6941697597503662,-0.7117335200309753,-0.7310594916343689,-0.7093439102172852,-0.7288880944252014,0.6142062544822693,0.5717160701751709,0.6243912577629089,0.584831714630127,0.6517415046691895,0.6074962615966797,0.33142030239105225,0.3392654061317444,0.3231072425842285,0.33198267221450806,0.3187352120876312,0.3247443735599518
