,precision,recall,f1-score,support,train_unique_support,train_final_support,test_support
2403,0.6841372912801484,0.7023809523809523,0.6931390977443609,10500.0,49000,49000,10500
2404,0.2326283987915408,0.5866666666666667,0.3331530557057869,525.0,2448,20000,525
2407,0.7364364981504316,0.8309565217391305,0.7808465435528681,2875.0,13417,20000,2875
2413,0.4932652113330237,0.5152838427947598,0.5040341718082582,2061.0,9620,20000,2061
2416,0.6523775216138329,0.3857294994675186,0.4848079239726944,4695.0,21910,21910,4695
2419,0.3574193548387097,0.33677811550151976,0.34679186228482,1645.0,7677,20000,1645
2420,0.2276923076923077,0.8409090909090909,0.3583535108958838,176.0,820,20000,176
accuracy,0.6071539796236153,0.6071539796236153,0.6071539796236153,0.6071539796236153,,,
macro avg,0.4834223690999993,0.5998149556370913,0.5001608808520961,22477.0,,,
weighted avg,0.6286598366947297,0.6071539796236153,0.6071241783067424,22477.0,,,
