,Rice,Cassava,Pineapple,Para rubber,Oil palm,Durian,Rambutan,Coconut,Mango,Longan,Jackfruit,Mangosteen,Langsat,Reservoir,Others
Rice,56905,2766,1436,20901,1312,273,0,55,17,10,2,0,0,4203,55617
Cassava,4751,207286,72082,159149,6921,1086,0,138,35,9,46,27,0,1862,107151
Pineapple,2426,61586,218526,114737,6326,746,0,192,18,4,26,0,0,708,69648
Para rubber,20109,158474,143588,9967364,98637,31604,1,1396,164,300,521,117,0,12847,1525831
Oil palm,1161,6932,7802,80976,127356,4249,0,217,63,44,59,13,0,1166,74364
Durian,458,1684,1041,52127,6621,26757,0,30,4,38,142,23,0,1382,35492
Rambutan,15,14,26,365,43,52,0,0,0,0,0,0,0,5,1253
Coconut,185,745,648,1860,855,122,0,206,3,5,5,1,0,43,3957
Mango,85,2186,567,3008,325,80,0,19,54,0,4,1,0,54,22998
Longan,26,105,46,915,290,239,0,0,0,20,1,2,0,80,2321
Jackfruit,85,338,175,2933,463,501,0,3,1,1,78,4,0,71,2566
Mangosteen,103,30,41,709,132,266,0,1,0,1,4,9,0,37,4365
Langsat,1,4,2,137,2,13,0,0,0,0,1,0,0,0,285
Reservoir,2563,748,1407,6227,1683,89,0,56,2,0,4,1,0,433041,32036
Others,67159,244447,135152,822189,111583,56498,2,2054,352,482,706,456,2,213522,5419085
