,Rice,Cassava,Pineapple,Para rubber,Oil palm,Durian,Rambutan,Coconut,Mango,Longan,Jackfruit,Mangosteen,Langsat,Reservoir,Others,Forest
Rice,0.3647,0.004,0.0025,0.0019,0.0036,0.0022,0.0,0.0126,0.0238,0.0109,0.0013,0.0,0.0,0.0063,0.0129,0.0004
Cassava,0.0304,0.3016,0.1237,0.0142,0.0191,0.0089,0.0,0.0316,0.0491,0.0098,0.0288,0.0413,0.0,0.0028,0.0235,0.0025
Pineapple,0.0155,0.0896,0.3751,0.0102,0.0174,0.0061,0.0,0.044,0.0252,0.0044,0.0163,0.0,0.0,0.0011,0.0157,0.001
Para rubber,0.1289,0.2306,0.2465,0.8873,0.2721,0.2578,0.3333,0.3197,0.23,0.3282,0.3258,0.1789,0.0,0.0192,0.1501,0.2847
Oil palm,0.0074,0.0101,0.0134,0.0072,0.3513,0.0347,0.0,0.0497,0.0884,0.0481,0.0369,0.0199,0.0,0.0017,0.0042,0.018
Durian,0.0029,0.0025,0.0018,0.0046,0.0183,0.2183,0.0,0.0069,0.0056,0.0416,0.0888,0.0352,0.0,0.0021,0.006,0.0032
Rambutan,0.0001,0.0,0.0,0.0,0.0001,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0003
Coconut,0.0012,0.0011,0.0011,0.0002,0.0024,0.001,0.0,0.0472,0.0042,0.0055,0.0031,0.0015,0.0,0.0001,0.0008,0.0002
Mango,0.0005,0.0032,0.001,0.0003,0.0009,0.0007,0.0,0.0044,0.0757,0.0,0.0025,0.0015,0.0,0.0001,0.0043,0.0015
Longan,0.0002,0.0002,0.0001,0.0001,0.0008,0.0019,0.0,0.0,0.0,0.0219,0.0006,0.0031,0.0,0.0001,0.0004,0.0002
Jackfruit,0.0005,0.0005,0.0003,0.0003,0.0013,0.0041,0.0,0.0007,0.0014,0.0011,0.0488,0.0061,0.0,0.0001,0.0004,0.0003
Mangosteen,0.0007,0.0,0.0001,0.0001,0.0004,0.0022,0.0,0.0002,0.0,0.0011,0.0025,0.0138,0.0,0.0001,0.0006,0.0006
Langsat,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0
Reservoir,0.0164,0.0011,0.0024,0.0006,0.0046,0.0007,0.0,0.0128,0.0028,0.0,0.0025,0.0015,0.0,0.6473,0.0056,0.0026
Others,0.4268,0.3531,0.2304,0.0645,0.2391,0.447,0.6667,0.4353,0.4698,0.4114,0.3821,0.5948,1.0,0.3139,0.7635,0.0951
Forest,0.0036,0.0025,0.0016,0.0087,0.0686,0.014,0.0,0.035,0.0238,0.116,0.0594,0.1024,0.0,0.0052,0.0119,0.5892
