alpha2,alpha3,econ13_macro_f1,classes_alive,crop_macro_f1_flat,flat15_macro_f1,accuracy,kappa,econ13_macro_precision,econ13_macro_recall
0.0,0.0,0.1823,13,0.1574,0.2368,0.6827,0.5226,0.1726,0.2577
0.0,0.1,0.1867,13,0.1612,0.2401,0.6932,0.5341,0.1768,0.2597
0.0,0.2,0.1907,13,0.1646,0.2431,0.7004,0.5419,0.1822,0.2597
0.0,0.3,0.1943,13,0.1677,0.2457,0.7052,0.5471,0.1891,0.2587
0.0,0.4,0.1974,13,0.1704,0.2481,0.7083,0.5504,0.1972,0.2575
0.0,0.45,0.1986,13,0.1715,0.249,0.7094,0.5516,0.2017,0.2559
0.0,0.5,0.1999,13,0.1726,0.25,0.7102,0.5525,0.2064,0.2549
0.0,0.55,0.2008,13,0.1735,0.2508,0.7109,0.5532,0.2111,0.2534
0.0,0.552,0.2009,13,0.1735,0.2508,0.7109,0.5532,0.2113,0.2534
0.0,0.6,0.2019,13,0.1744,0.2516,0.7115,0.5537,0.2162,0.2523
0.0,0.65,0.2027,13,0.1752,0.2523,0.7119,0.5542,0.2207,0.251
0.0,0.7,0.2035,13,0.176,0.2529,0.7122,0.5545,0.2263,0.2497
0.0,0.8,0.2037,12,0.1767,0.2535,0.7127,0.5549,0.2326,0.2466
0.0,0.858,0.2037,12,0.1769,0.2538,0.7129,0.5551,0.2366,0.2451
0.0,0.9,0.2031,12,0.1767,0.2535,0.713,0.5552,0.2403,0.2438
0.0,1.0,0.2029,12,0.177,0.2538,0.7132,0.5553,0.2474,0.2421
0.1,0.0,0.1869,13,0.1608,0.2398,0.6894,0.5297,0.1759,0.2616
0.1,0.1,0.1917,13,0.1648,0.2432,0.7001,0.5415,0.1802,0.2634
0.1,0.2,0.1962,13,0.1685,0.2464,0.7076,0.5497,0.1857,0.2633
0.1,0.3,0.2003,13,0.1718,0.2493,0.7127,0.5552,0.1924,0.2623
0.1,0.4,0.2039,13,0.1749,0.252,0.716,0.5588,0.2004,0.2609
0.1,0.45,0.2054,13,0.1762,0.2531,0.7172,0.5601,0.2047,0.2593
0.1,0.5,0.2068,13,0.1775,0.2543,0.7181,0.5611,0.2095,0.258
0.1,0.55,0.2079,13,0.1786,0.2552,0.7189,0.5619,0.2143,0.2565
0.1,0.552,0.208,13,0.1786,0.2552,0.7189,0.5619,0.2145,0.2565
0.1,0.6,0.2091,13,0.1796,0.2561,0.7195,0.5625,0.2198,0.2551
0.1,0.65,0.21,13,0.1805,0.2569,0.72,0.563,0.2247,0.2539
0.1,0.7,0.2107,13,0.1813,0.2576,0.7204,0.5633,0.2305,0.2527
0.1,0.8,0.2109,13,0.1821,0.2582,0.7209,0.5639,0.2422,0.2495
0.1,0.858,0.2107,13,0.1823,0.2584,0.7212,0.564,0.2485,0.2481
0.1,0.9,0.2098,13,0.1819,0.258,0.7213,0.5641,0.2524,0.2466
0.1,1.0,0.2094,13,0.182,0.2581,0.7215,0.5643,0.2597,0.2448
0.2,0.0,0.1916,13,0.1641,0.2427,0.6958,0.5364,0.1795,0.2638
0.2,0.1,0.1967,13,0.1683,0.2463,0.7068,0.5486,0.1839,0.2657
0.2,0.2,0.2015,13,0.1721,0.2496,0.7146,0.5571,0.1893,0.2656
0.2,0.3,0.2059,13,0.1757,0.2527,0.7199,0.563,0.1958,0.2644
0.2,0.4,0.2101,13,0.1791,0.2556,0.7234,0.5668,0.2035,0.2629
0.2,0.45,0.2117,13,0.1805,0.2568,0.7247,0.5682,0.2076,0.2612
0.2,0.5,0.2134,13,0.182,0.2581,0.7258,0.5693,0.2122,0.2599
0.2,0.55,0.2145,13,0.1831,0.2591,0.7266,0.5702,0.2168,0.2581
0.2,0.552,0.2145,13,0.1831,0.2591,0.7266,0.5702,0.217,0.2579
0.2,0.6,0.2156,13,0.1842,0.2601,0.7273,0.5709,0.222,0.2566
0.2,0.65,0.2167,13,0.1853,0.261,0.7278,0.5714,0.2272,0.2555
0.2,0.7,0.2172,13,0.1861,0.2617,0.7283,0.5719,0.2328,0.2542
0.2,0.8,0.2171,13,0.1867,0.2622,0.7289,0.5725,0.2443,0.2513
0.2,0.858,0.2164,13,0.1865,0.262,0.7292,0.5727,0.2493,0.2495
0.2,0.9,0.2158,13,0.1863,0.2618,0.7294,0.5728,0.2537,0.2484
0.2,1.0,0.2156,13,0.1866,0.2621,0.7297,0.573,0.2678,0.2467
0.3,0.0,0.1963,13,0.1675,0.2456,0.702,0.5428,0.1836,0.2653
0.3,0.1,0.2017,13,0.1718,0.2493,0.7133,0.5554,0.1881,0.267
0.3,0.2,0.2067,13,0.1757,0.2527,0.7213,0.5643,0.1934,0.2668
0.3,0.3,0.2114,13,0.1794,0.2559,0.7269,0.5704,0.1996,0.2655
0.3,0.4,0.2159,13,0.1829,0.2589,0.7307,0.5745,0.207,0.2637
0.3,0.45,0.2175,13,0.1844,0.2602,0.7321,0.576,0.2107,0.2619
0.3,0.5,0.2193,13,0.186,0.2616,0.7332,0.5772,0.215,0.2605
0.3,0.55,0.2205,13,0.1872,0.2626,0.7341,0.5782,0.2194,0.2586
0.3,0.552,0.2206,13,0.1872,0.2627,0.7342,0.5782,0.2196,0.2586
0.3,0.6,0.2218,13,0.1885,0.2638,0.7349,0.579,0.2243,0.2574
0.3,0.65,0.2227,13,0.1895,0.2647,0.7355,0.5796,0.2297,0.2561
