,Rice,Cassava,Pineapple,Para rubber,Oil palm,Durian,Rambutan,Coconut,Mango,Longan,Jackfruit,Mangosteen,Langsat,Reservoir,Others,Forest
Rice,64188,2299,632,1717,628,5261,1581,29,2734,597,685,909,215,5179,55603,1479
Cassava,17530,281521,88804,19460,4055,17046,2732,333,9545,2643,4556,1483,334,2045,101213,6877
Pineapple,7203,82138,276875,10360,2479,10233,1429,236,5482,1336,2738,1749,503,709,68754,2862
Para rubber,92596,412831,422423,8092247,578554,483648,81693,14524,94994,74598,100657,53596,11545,17206,559129,870295
Oil palm,3238,14109,16204,8074,76305,30561,8622,164,11584,25471,16575,7015,1190,1208,17028,67147
Durian,1471,2956,1428,3949,757,55817,4547,16,2349,3642,4984,4636,713,1233,25364,11908
Rambutan,52,35,41,104,49,41,122,1,0,4,8,3,0,6,314,1115
Coconut,375,1178,855,1,4,439,110,43,951,177,198,226,8,27,3485,625
Mango,336,2304,526,931,228,51,17,112,921,16,41,15,1,76,19570,4541
Longan,70,229,98,402,230,175,22,13,21,445,35,28,2,77,1381,758
Jackfruit,221,600,436,867,326,591,46,4,94,108,855,74,10,82,1921,1102
Mangosteen,149,69,115,199,89,249,28,0,15,35,22,301,7,35,2066,2191
Langsat,2,9,4,69,8,5,0,0,0,1,1,1,41,0,100,288
Reservoir,3548,1730,1550,1055,1011,1347,340,35,975,414,335,268,26,430731,25747,8745
Others,168553,342077,127768,104887,35815,210919,48622,4819,86091,36305,36412,37732,7374,204360,3306364,288627
Forest,1442,3502,1230,37781,32183,14392,6622,800,4287,6889,4688,4206,576,3152,53765,1851449
