,Rice,Cassava,Pineapple,Para rubber,Oil palm,Durian,Rambutan,Coconut,Mango,Longan,Jackfruit,Mangosteen,Langsat,Reservoir,Others,Forest
Rice,0.1778,0.002,0.0007,0.0002,0.0009,0.0063,0.0101,0.0014,0.0124,0.0039,0.004,0.0081,0.0095,0.0078,0.0131,0.0005
Cassava,0.0486,0.2453,0.0946,0.0023,0.0055,0.0205,0.0175,0.0158,0.0434,0.0173,0.0264,0.0132,0.0148,0.0031,0.0239,0.0022
Pineapple,0.02,0.0716,0.2949,0.0013,0.0034,0.0123,0.0091,0.0112,0.0249,0.0088,0.0158,0.0156,0.0223,0.0011,0.0162,0.0009
Para rubber,0.2565,0.3597,0.4499,0.9771,0.7896,0.5822,0.5219,0.6874,0.4317,0.4886,0.5825,0.4775,0.5121,0.0258,0.1318,0.2789
Oil palm,0.009,0.0123,0.0173,0.001,0.1041,0.0368,0.0551,0.0078,0.0526,0.1668,0.0959,0.0625,0.0528,0.0018,0.004,0.0215
Durian,0.0041,0.0026,0.0015,0.0005,0.001,0.0672,0.029,0.0008,0.0107,0.0239,0.0288,0.0413,0.0316,0.0019,0.006,0.0038
Rambutan,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0004
Coconut,0.001,0.001,0.0009,0.0,0.0,0.0005,0.0007,0.002,0.0043,0.0012,0.0011,0.002,0.0004,0.0,0.0008,0.0002
Mango,0.0009,0.002,0.0006,0.0001,0.0003,0.0001,0.0001,0.0053,0.0042,0.0001,0.0002,0.0001,0.0,0.0001,0.0046,0.0015
Longan,0.0002,0.0002,0.0001,0.0,0.0003,0.0002,0.0001,0.0006,0.0001,0.0029,0.0002,0.0002,0.0001,0.0001,0.0003,0.0002
Jackfruit,0.0006,0.0005,0.0005,0.0001,0.0004,0.0007,0.0003,0.0002,0.0004,0.0007,0.0049,0.0007,0.0004,0.0001,0.0005,0.0004
Mangosteen,0.0004,0.0001,0.0001,0.0,0.0001,0.0003,0.0002,0.0,0.0001,0.0002,0.0001,0.0027,0.0003,0.0001,0.0005,0.0007
Langsat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018,0.0,0.0,0.0001
Reservoir,0.0098,0.0015,0.0017,0.0001,0.0014,0.0016,0.0022,0.0017,0.0044,0.0027,0.0019,0.0024,0.0012,0.6466,0.0061,0.0028
Others,0.4669,0.2981,0.1361,0.0127,0.0489,0.2539,0.3106,0.2281,0.3912,0.2378,0.2107,0.3362,0.3271,0.3068,0.7795,0.0925
Forest,0.004,0.0031,0.0013,0.0046,0.0439,0.0173,0.0423,0.0379,0.0195,0.0451,0.0271,0.0375,0.0255,0.0047,0.0127,0.5934
